STUDY ACCESSION	PUBMEDID	FIRST AUTHOR	DATE	INITIAL SAMPLE DESCRIPTION	REPLICATION SAMPLE DESCRIPTION	STAGE	NUMBER OF INDIVDUALS	BROAD ANCESTRAL CATEGORY	COUNTRY OF ORIGIN	COUNTRY OF RECRUITMENT	ADDITONAL ANCESTRY DESCRIPTION
GCST004421	27989323	Ahola-Olli AV	2016-12-13	3,531 Finnish ancestry individuals	NA	initial	3531	European	NR	Finland	
GCST004422	27989323	Ahola-Olli AV	2016-12-13	7,118 Finnish ancestry individuals	NA	initial	7118	European	NR	Finland	
GCST004420	27989323	Ahola-Olli AV	2016-12-13	3,631 Finnish ancestry individuals	NA	initial	3631	European	NR	Finland	
GCST004460	27989323	Ahola-Olli AV	2016-12-13	8,153 Finnish ancestry individuals	NA	initial	8153	European	NR	Finland	
GCST004459	27989323	Ahola-Olli AV	2016-12-13	7,565 Finnish ancestry individuals	NA	initial	7565	European	NR	Finland	
GCST004458	27989323	Ahola-Olli AV	2016-12-13	7,904 Finnish ancestry individuals	NA	initial	7904	European	NR	Finland	
GCST004457	27989323	Ahola-Olli AV	2016-12-13	3,505 Finnish ancestry individuals	NA	initial	3505	European	NR	Finland	
GCST004449	27989323	Ahola-Olli AV	2016-12-13	8,292 Finnish ancestry individuals	NA	initial	8292	European	NR	Finland	
GCST004456	27989323	Ahola-Olli AV	2016-12-13	7,701 Finnish ancestry individuals	NA	initial	7701	European	NR	Finland	
GCST004448	27989323	Ahola-Olli AV	2016-12-13	3,309 Finnish ancestry individuals	NA	initial	3309	European	NR	Finland	
GCST004447	27989323	Ahola-Olli AV	2016-12-13	3,638 Finnish ancestry individuals	NA	initial	3638	European	NR	Finland	
GCST004455	27989323	Ahola-Olli AV	2016-12-13	3,475 Finnish ancestry individuals	NA	initial	3475	European	NR	Finland	
GCST004454	27989323	Ahola-Olli AV	2016-12-13	3,677 Finnish ancestry individuals	NA	initial	3677	European	NR	Finland	
GCST004453	27989323	Ahola-Olli AV	2016-12-13	8,124 Finnish ancestry individuals	NA	initial	8124	European	NR	Finland	
GCST004452	27989323	Ahola-Olli AV	2016-12-13	3,364 Finnish ancestry individuals	NA	initial	3364	European	NR	Finland	
GCST004446	27989323	Ahola-Olli AV	2016-12-13	8,189 Finnish ancestry individuals	NA	initial	8189	European	NR	Finland	
GCST004451	27989323	Ahola-Olli AV	2016-12-13	3,409 Finnish ancestry individuals	NA	initial	3409	European	NR	Finland	
GCST004445	27989323	Ahola-Olli AV	2016-12-13	3,526 Finnish ancestry individuals	NA	initial	3526	European	NR	Finland	
GCST004450	27989323	Ahola-Olli AV	2016-12-13	3,634 Finnish ancestry individuals	NA	initial	3634	European	NR	Finland	
GCST004444	27989323	Ahola-Olli AV	2016-12-13	7,681 Finnish ancestry individuals	NA	initial	7681	European	NR	Finland	
GCST004443	27989323	Ahola-Olli AV	2016-12-13	3,557 Finnish ancestry individuals	NA	initial	3557	European	NR	Finland	
GCST004442	27989323	Ahola-Olli AV	2016-12-13	7,760 Finnish ancestry individuals	NA	initial	7760	European	NR	Finland	
GCST004441	27989323	Ahola-Olli AV	2016-12-13	3,636 Finnish ancestry individuals	NA	initial	3636	European	NR	Finland	
GCST004423	27989323	Ahola-Olli AV	2016-12-13	3,494 Finnish ancestry individuals	NA	initial	3494	European	NR	Finland	
GCST004440	27989323	Ahola-Olli AV	2016-12-13	3,685 Finnish ancestry individuals	NA	initial	3685	European	NR	Finland	
GCST004533	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004530	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004531	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Northern Greek, Cretan
GCST004532	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004762	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004534	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004543	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Northern Greek, Cretan
GCST004544	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Northern Greek, Cretan
GCST004535	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004759	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004551	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004552	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004554	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004555	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004556	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004536	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Northern Greek, Cretan
GCST004539	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004540	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004541	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004542	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004545	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004546	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Northern Greek, Cretan
GCST004547	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004548	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST004550	28548082	Southam L	2017-05-26	up to 1,476 Mylopotamos (founder/genetic isolate) individuals, up to 1,737 Pomak (founder/genetic isolate) individuals	NA	initial	3213	European	NR	Greece	Cretan, Northern Greek
GCST005591	29471430	Tanikawa C	2018-02-17	6,692 Japanese ancestry cases, 27,178 Japanese ancestry controls	3,713 Japanese ancestry cases, 7,333 Japanese ancestry controls	replication	11046	East Asian	NR	Japan	Japanese
GCST005591	29471430	Tanikawa C	2018-02-17	6,692 Japanese ancestry cases, 27,178 Japanese ancestry controls	3,713 Japanese ancestry cases, 7,333 Japanese ancestry controls	initial	33870	East Asian	NR	Japan	Japanese
GCST005535	24387989	Mayes MD	2014-01-02	574 European ancestry cases, 3,466 European ancestry controls	1,217 European ancestry cases, 5,935 European ancestry controls	initial	4040	European	NR	U.S., Spain	
GCST005535	24387989	Mayes MD	2014-01-02	574 European ancestry cases, 3,466 European ancestry controls	1,217 European ancestry cases, 5,935 European ancestry controls	replication	7152	European	NR	Sweden, Canada, U.S., Germany, Netherlands, U.K., Italy, Spain	
GCST005534	24387989	Mayes MD	2014-01-02	671 European ancestry ACA-positive cases, 347 European ancestry ATA-positive cases, 815 European ancestry cases, 3,466 European ancestry controls	1,387 European ancestry ACA-positive cases, 896 European ancestry ATA-positive cases, 1,734 European ancestry cases, 5,935 European ancestry controls	initial	5299	European	NR	U.S., Spain	
GCST005534	24387989	Mayes MD	2014-01-02	671 European ancestry ACA-positive cases, 347 European ancestry ATA-positive cases, 815 European ancestry cases, 3,466 European ancestry controls	1,387 European ancestry ACA-positive cases, 896 European ancestry ATA-positive cases, 1,734 European ancestry cases, 5,935 European ancestry controls	replication	9952	European	NR	Canada, U.S., Germany, Netherlands, Sweden, U.K., Italy, Spain	
GCST005533	24387989	Mayes MD	2014-01-02	1,127 European ancestry cases, 3,466 European ancestry controls	2,507 European ancestry cases, 5,935 European ancestry controls	replication	8442	European	NR	U.S., Germany, Canada, Netherlands, Sweden, U.K., Italy, Spain	
GCST005533	24387989	Mayes MD	2014-01-02	1,127 European ancestry cases, 3,466 European ancestry controls	2,507 European ancestry cases, 5,935 European ancestry controls	initial	4593	European	NR	U.S., Spain	
GCST005845	29497042	Verweij N	2018-03-01	5,4137 European ancestry individuals, 1,744 Asian ancestry individuals, 1,445 African ancestry individuals, 468 admixed individuals, 1,024 individuals	NA	initial	1744	Asian unspecified	NR	U.K.	
