ti_uid	indication_association_similarity	target	indication_mesh_id	indication_mesh_term	historical_max_phase	active_max_phase	combined_max_phase	succ_p_1	succ_1_2	succ_2_3	succ_3_a	orphan	year_launch	assoc_mesh_id	assoc_mesh_term	assoc_source	assoc_info	original_trait	original_link	assoc_year	pic_qtl_pval	pic_h4	af_gnomad_nfe	l2g_share	l2g_rank	assoc_share	assoc_rank	source_name	abs_beta	abs_or	areas	genetic_insight	target_status	ab_tractable	sm_tractable	rhodop_gpcr	nuclear_receptor	enzyme	ion_channel	kinase
A2M-D002545	0.368	A2M	D002545	Brain Ischemia	Phase III		Phase III	TRUE	TRUE	TRUE	FALSE	TRUE		D054222	Cobblestone Lissencephaly	OTG		Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021			0.512621990891347	0.82	1	0.82	1	GWAS			neurology, cardiovascular	omim/tcga	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
A2M-D010003	0.235	A2M	D010003	Osteoarthritis	Preclinical		Preclinical	FALSE				FALSE		D054222	Cobblestone Lissencephaly	OTG		Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021			0.512621990891347	0.82	1	0.82	1	GWAS			musculoskeletal	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
A2M-D016491	0.198	A2M	D016491	Peripheral Vascular Diseases	Phase III		Phase III	TRUE	TRUE	TRUE	FALSE	TRUE		D054222	Cobblestone Lissencephaly	OTG		Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021			0.512621990891347	0.82	1	0.82	1	GWAS			cardiovascular	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
A2M-D020521	0.381	A2M	D020521	Stroke	Phase III		Phase III	TRUE	TRUE	TRUE	FALSE	TRUE		D054222	Cobblestone Lissencephaly	OTG		Cortical thickness	https://genetics.opentargets.org/study/GCST90091061	2021			0.512621990891347	0.82	1	0.82	1	GWAS			neurology, cardiovascular	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
AADAT-D012559	0.602	AADAT	D012559	Schizophrenia	Preclinical		Preclinical	FALSE				FALSE		D012893	Sleep Wake Disorders	OTG		Ease of getting up in the morning	https://genetics.opentargets.org/study/GCST007986	2019			0.0974961079398028	0.89	1	0.89	1	GWAS			psychiatry	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
AAK1-D009437	0.235	AAK1	D009437	Neuralgia		Phase II	Phase II	TRUE	TRUE			FALSE		D006402	Hematologic Diseases	OTG		Hemoglobin levels	https://genetics.opentargets.org/study/GCST90025969	2021			0.114700921240431	0.77	1	0.77	1	GWAS	0.0202474		neurology, signs/symptoms	both	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
AAK1-D051474	0.221	AAK1	D051474	Neuralgia, Postherpetic		Phase II	Phase II	TRUE	TRUE			FALSE		D006402	Hematologic Diseases	OTG		Hemoglobin levels	https://genetics.opentargets.org/study/GCST90025969	2021			0.114700921240431	0.77	1	0.77	1	GWAS	0.0202474		neurology, signs/symptoms	gwas	unsupported target	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
ABAT-D000544	0.218	ABAT	D000544	Alzheimer Disease	Phase II		Phase II	TRUE	TRUE	FALSE		FALSE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology, psychiatry	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D000690	0.438	ABAT	D000690	Amyotrophic Lateral Sclerosis	Preclinical		Preclinical	FALSE				FALSE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology, metabolic	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
ABAT-D004827	0.226	ABAT	D004827	Epilepsy		Preclinical	Preclinical					TRUE		D000592	Amino Acid Metabolism, Inborn Errors	OMIM		GABA-transaminase deficiency, 613163 (3), Autosomal recessive	https://omim.org/entry/137150									OMIM			neurology	both	unsupported target	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
