indication_mesh_id,indication_mesh_term,n_pairs,n_A,n_genes,n_B,mixed_pool
D000072861,"Phobia, Social",1,0,1,1,False
D000086382,COVID-19,1,1,1,0,False
D000417,Albinism,1,0,1,1,False
D000437,Alcoholism,2,0,2,2,False
D000505,Alopecia,1,1,1,0,False
D000544,Alzheimer Disease,11,1,11,10,True
D000690,Amyotrophic Lateral Sclerosis,1,0,1,1,False
D000740,Anemia,11,4,11,7,True
D000755,"Anemia, Sickle Cell",2,0,2,2,False
D001008,Anxiety Disorders,7,1,7,6,True
D001145,"Arrhythmias, Cardiac",1,0,1,1,False
D001171,"Arthritis, Juvenile",1,1,1,0,False
D001172,"Arthritis, Rheumatoid",15,3,15,12,True
D001249,Asthma,29,4,29,25,True
D001281,Atrial Fibrillation,6,2,6,4,True
D001327,Autoimmune Diseases,10,0,10,10,False
D001714,Bipolar Disorder,5,3,5,2,True
D001749,Urinary Bladder Neoplasms,1,1,1,0,False
D001778,Blood Coagulation Disorders,3,0,3,3,False
D001850,"Bone Diseases, Infectious",1,0,1,1,False
D001851,"Bone Diseases, Metabolic",1,0,1,1,False
D001943,Breast Neoplasms,16,2,16,14,True
D002289,"Carcinoma, Non-Small-Cell Lung",2,1,2,1,True
D002318,Cardiovascular Diseases,4,0,4,4,False
D002446,Celiac Disease,1,0,1,1,False
D002761,Cholangitis,1,0,1,1,False
D003093,"Colitis, Ulcerative",26,2,26,24,True
D003414,Crigler-Najjar Syndrome,1,0,1,1,False
D003424,Crohn Disease,19,1,19,18,True
D003704,Dementia,1,0,1,1,False
D003863,Depression,2,1,2,1,True
D003865,"Depressive Disorder, Major",2,1,2,1,True
D003876,"Dermatitis, Atopic",12,2,12,10,True
D003920,Diabetes Mellitus,13,2,13,11,True
D003922,"Diabetes Mellitus, Type 1",4,0,4,4,False
D003924,"Diabetes Mellitus, Type 2",18,9,18,9,True
D003928,Diabetic Nephropathies,1,0,1,1,False
D003929,Diabetic Neuropathies,1,0,1,1,False
D004381,Duodenal Ulcer,1,0,1,1,False
D004485,Eczema,1,0,1,1,False
D004700,Endocrine System Diseases,2,0,2,2,False
D004715,Endometriosis,1,1,1,0,False
D004827,Epilepsy,2,2,2,0,False
D004828,"Epilepsies, Partial",1,1,1,0,False
