estimator,model_id,exposure,n,n_indications,within_design_rank,n_predictors,within_design_full_rank,informative_exposure_strata,converged,warning_messages,n_gene_clusters,n_parameters,events_per_parameter,design_rank,design_full_rank,condition_number,separation_warning
conditional_logit,W1,n_ancestries_all,513,55,1.0,1.0,True,39.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W1,n_ancestries_all,513,55,,,,,True,,306.0,56.0,2.0714285714285716,56.0,True,189.88671692766943,False
conditional_logit,W2,n_ancestries_all,513,55,2.0,2.0,True,39.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W2,n_ancestries_all,513,55,,,,,True,,306.0,57.0,2.0350877192982457,57.0,True,213.76647012087702,False
conditional_logit,W3,n_ancestries_all,513,55,3.0,3.0,True,39.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W3,n_ancestries_all,513,55,,,,,True,,306.0,58.0,2.0,58.0,True,279.43223359222713,False
conditional_logit,W1,n_ancestries_initial,513,55,1.0,1.0,True,39.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W1,n_ancestries_initial,513,55,,,,,True,,306.0,56.0,2.0714285714285716,56.0,True,179.05186698569904,False
conditional_logit,W2,n_ancestries_initial,513,55,2.0,2.0,True,39.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W2,n_ancestries_initial,513,55,,,,,True,,306.0,57.0,2.0350877192982457,57.0,True,203.36587950737356,False
conditional_logit,W3,n_ancestries_initial,513,55,3.0,3.0,True,39.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W3,n_ancestries_initial,513,55,,,,,True,,306.0,58.0,2.0,58.0,True,270.12010680626605,False
conditional_logit,W1,n_ancestries_replication,513,55,1.0,1.0,True,41.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W1,n_ancestries_replication,513,55,,,,,True,,306.0,56.0,2.0714285714285716,56.0,True,113.53851450529137,False
conditional_logit,W2,n_ancestries_replication,513,55,2.0,2.0,True,41.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W2,n_ancestries_replication,513,55,,,,,True,,306.0,57.0,2.0350877192982457,57.0,True,146.34579395524992,False
conditional_logit,W3,n_ancestries_replication,513,55,3.0,3.0,True,41.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W3,n_ancestries_replication,513,55,,,,,True,,306.0,58.0,2.0,58.0,True,256.6946053909969,False
conditional_logit,W1,has_replication,513,55,1.0,1.0,True,39.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W1,has_replication,513,55,,,,,True,,306.0,56.0,2.0714285714285716,56.0,True,60.92690692442227,False
conditional_logit,W2,has_replication,513,55,2.0,2.0,True,39.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W2,has_replication,513,55,,,,,True,,306.0,57.0,2.0350877192982457,57.0,True,116.83484589741954,False
conditional_logit,W3,has_replication,513,55,3.0,3.0,True,39.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W3,has_replication,513,55,,,,,True,,306.0,58.0,2.0,58.0,True,242.8269889427714,False
conditional_logit,W1,has_african,513,55,1.0,1.0,True,30.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W1,has_african,513,55,,,,,True,,306.0,56.0,2.0714285714285716,56.0,True,56.989627102740876,False
conditional_logit,W2,has_african,513,55,2.0,2.0,True,30.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W2,has_african,513,55,,,,,True,,306.0,57.0,2.0350877192982457,57.0,True,115.64311497584036,False
conditional_logit,W3,has_african,513,55,3.0,3.0,True,30.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W3,has_african,513,55,,,,,True,,306.0,58.0,2.0,58.0,True,243.5939199336854,False
conditional_logit,W1,has_east_asian,513,55,1.0,1.0,True,34.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W1,has_east_asian,513,55,,,,,True,,306.0,56.0,2.0714285714285716,56.0,True,61.64111774424541,False
conditional_logit,W2,has_east_asian,513,55,2.0,2.0,True,34.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W2,has_east_asian,513,55,,,,,True,,306.0,57.0,2.0350877192982457,57.0,True,118.3160228175273,False
conditional_logit,W3,has_east_asian,513,55,3.0,3.0,True,34.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W3,has_east_asian,513,55,,,,,True,,306.0,58.0,2.0,58.0,True,245.15990345504366,False
conditional_logit,W1,has_south_asian,513,55,1.0,1.0,True,22.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W1,has_south_asian,513,55,,,,,True,,306.0,56.0,2.0714285714285716,56.0,True,55.540260271748416,False
conditional_logit,W2,has_south_asian,513,55,2.0,2.0,True,22.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W2,has_south_asian,513,55,,,,,True,,306.0,57.0,2.0350877192982457,57.0,True,114.67129046041717,False
conditional_logit,W3,has_south_asian,513,55,3.0,3.0,True,22.0,True,,,,,,,,
fixed_effect_logit_cluster_gene,W3,has_south_asian,513,55,,,,,True,,306.0,58.0,2.0,58.0,True,243.1197360309081,False
