indication_mesh_id,indication_mesh_term,n_pairs,n_A,n_B,exposure,A_mean,B_mean,A_minus_B
D000544,Alzheimer Disease,11,1,10,n_ancestries_all,1.0,1.0,0.0
D000544,Alzheimer Disease,11,1,10,n_ancestries_initial,1.0,1.0,0.0
D000544,Alzheimer Disease,11,1,10,n_ancestries_replication,1.0,0.7,0.30000000000000004
D000544,Alzheimer Disease,11,1,10,has_replication,1.0,0.5,0.5
D000544,Alzheimer Disease,11,1,10,has_african,0.0,0.0,0.0
D000544,Alzheimer Disease,11,1,10,has_east_asian,0.0,0.1,-0.1
D000544,Alzheimer Disease,11,1,10,has_south_asian,0.0,0.0,0.0
D000740,Anemia,11,4,7,n_ancestries_all,3.0,3.2857142857142856,-0.2857142857142856
D000740,Anemia,11,4,7,n_ancestries_initial,3.0,3.2857142857142856,-0.2857142857142856
D000740,Anemia,11,4,7,n_ancestries_replication,0.0,0.0,0.0
D000740,Anemia,11,4,7,has_replication,0.0,0.0,0.0
D000740,Anemia,11,4,7,has_african,0.5,0.5714285714285714,-0.0714285714285714
D000740,Anemia,11,4,7,has_east_asian,0.5,0.7142857142857143,-0.2142857142857143
D000740,Anemia,11,4,7,has_south_asian,0.5,0.5714285714285714,-0.0714285714285714
D001008,Anxiety Disorders,7,1,6,n_ancestries_all,1.0,1.0,0.0
D001008,Anxiety Disorders,7,1,6,n_ancestries_initial,1.0,1.0,0.0
D001008,Anxiety Disorders,7,1,6,n_ancestries_replication,1.0,0.6666666666666666,0.33333333333333337
D001008,Anxiety Disorders,7,1,6,has_replication,1.0,0.6666666666666666,0.33333333333333337
D001008,Anxiety Disorders,7,1,6,has_african,0.0,0.0,0.0
D001008,Anxiety Disorders,7,1,6,has_east_asian,0.0,0.0,0.0
D001008,Anxiety Disorders,7,1,6,has_south_asian,0.0,0.0,0.0
D001172,"Arthritis, Rheumatoid",15,3,12,n_ancestries_all,2.6666666666666665,2.3333333333333335,0.33333333333333304
D001172,"Arthritis, Rheumatoid",15,3,12,n_ancestries_initial,2.6666666666666665,2.1666666666666665,0.5
D001172,"Arthritis, Rheumatoid",15,3,12,n_ancestries_replication,1.3333333333333333,1.0833333333333333,0.25
D001172,"Arthritis, Rheumatoid",15,3,12,has_replication,0.6666666666666666,0.5833333333333334,0.08333333333333326
D001172,"Arthritis, Rheumatoid",15,3,12,has_african,0.6666666666666666,0.4166666666666667,0.24999999999999994
D001172,"Arthritis, Rheumatoid",15,3,12,has_east_asian,1.0,1.0,0.0
D001172,"Arthritis, Rheumatoid",15,3,12,has_south_asian,0.0,0.0,0.0
D001249,Asthma,29,4,25,n_ancestries_all,2.5,2.28,0.2200000000000002
D001249,Asthma,29,4,25,n_ancestries_initial,2.5,2.16,0.33999999999999986
D001249,Asthma,29,4,25,n_ancestries_replication,1.75,0.96,0.79
D001249,Asthma,29,4,25,has_replication,1.0,0.68,0.31999999999999995
D001249,Asthma,29,4,25,has_african,0.5,0.4,0.09999999999999998
D001249,Asthma,29,4,25,has_east_asian,0.5,0.4,0.09999999999999998
D001249,Asthma,29,4,25,has_south_asian,0.0,0.0,0.0
D001281,Atrial Fibrillation,6,2,4,n_ancestries_all,4.0,4.0,0.0
D001281,Atrial Fibrillation,6,2,4,n_ancestries_initial,4.0,4.0,0.0
D001281,Atrial Fibrillation,6,2,4,n_ancestries_replication,0.0,1.0,-1.0
D001281,Atrial Fibrillation,6,2,4,has_replication,0.0,0.75,-0.75
D001281,Atrial Fibrillation,6,2,4,has_african,1.0,1.0,0.0
D001281,Atrial Fibrillation,6,2,4,has_east_asian,1.0,1.0,0.0
D001281,Atrial Fibrillation,6,2,4,has_south_asian,0.0,0.0,0.0
D001714,Bipolar Disorder,5,3,2,n_ancestries_all,1.6666666666666667,1.0,0.6666666666666667
D001714,Bipolar Disorder,5,3,2,n_ancestries_initial,1.6666666666666667,1.0,0.6666666666666667
D001714,Bipolar Disorder,5,3,2,n_ancestries_replication,0.6666666666666666,0.0,0.6666666666666666
D001714,Bipolar Disorder,5,3,2,has_replication,0.6666666666666666,0.0,0.6666666666666666
D001714,Bipolar Disorder,5,3,2,has_african,0.0,0.0,0.0
D001714,Bipolar Disorder,5,3,2,has_east_asian,0.6666666666666666,0.0,0.6666666666666666
D001714,Bipolar Disorder,5,3,2,has_south_asian,0.0,0.0,0.0
D001943,Breast Neoplasms,16,2,14,n_ancestries_all,3.5,2.142857142857143,1.3571428571428572
D001943,Breast Neoplasms,16,2,14,n_ancestries_initial,3.5,1.5,2.0
D001943,Breast Neoplasms,16,2,14,n_ancestries_replication,2.5,1.9285714285714286,0.5714285714285714
D001943,Breast Neoplasms,16,2,14,has_replication,1.0,0.7857142857142857,0.2142857142857143
D001943,Breast Neoplasms,16,2,14,has_african,0.5,0.0,0.5
D001943,Breast Neoplasms,16,2,14,has_east_asian,1.0,0.6428571428571429,0.3571428571428571
D001943,Breast Neoplasms,16,2,14,has_south_asian,0.0,0.0,0.0
D002289,"Carcinoma, Non-Small-Cell Lung",2,1,1,n_ancestries_all,1.0,1.0,0.0
D002289,"Carcinoma, Non-Small-Cell Lung",2,1,1,n_ancestries_initial,1.0,1.0,0.0
D002289,"Carcinoma, Non-Small-Cell Lung",2,1,1,n_ancestries_replication,1.0,0.0,1.0
D002289,"Carcinoma, Non-Small-Cell Lung",2,1,1,has_replication,1.0,0.0,1.0
D002289,"Carcinoma, Non-Small-Cell Lung",2,1,1,has_african,0.0,0.0,0.0
D002289,"Carcinoma, Non-Small-Cell Lung",2,1,1,has_east_asian,1.0,0.0,1.0
D002289,"Carcinoma, Non-Small-Cell Lung",2,1,1,has_south_asian,0.0,0.0,0.0
D003093,"Colitis, Ulcerative",26,2,24,n_ancestries_all,2.5,3.1666666666666665,-0.6666666666666665
D003093,"Colitis, Ulcerative",26,2,24,n_ancestries_initial,1.0,1.2083333333333333,-0.20833333333333326
D003093,"Colitis, Ulcerative",26,2,24,n_ancestries_replication,2.0,2.9583333333333335,-0.9583333333333335
D003093,"Colitis, Ulcerative",26,2,24,has_replication,0.5,0.8333333333333334,-0.33333333333333337
D003093,"Colitis, Ulcerative",26,2,24,has_african,0.0,0.041666666666666664,-0.041666666666666664
D003093,"Colitis, Ulcerative",26,2,24,has_east_asian,0.5,0.7083333333333334,-0.20833333333333337
D003093,"Colitis, Ulcerative",26,2,24,has_south_asian,0.5,0.7083333333333334,-0.20833333333333337
D003424,Crohn Disease,19,1,18,n_ancestries_all,4.0,2.8333333333333335,1.1666666666666665
D003424,Crohn Disease,19,1,18,n_ancestries_initial,1.0,1.1666666666666667,-0.16666666666666674
D003424,Crohn Disease,19,1,18,n_ancestries_replication,4.0,2.5555555555555554,1.4444444444444446
D003424,Crohn Disease,19,1,18,has_replication,1.0,0.7222222222222222,0.2777777777777778
D003424,Crohn Disease,19,1,18,has_african,0.0,0.0,0.0
D003424,Crohn Disease,19,1,18,has_east_asian,1.0,0.6111111111111112,0.38888888888888884
D003424,Crohn Disease,19,1,18,has_south_asian,1.0,0.6111111111111112,0.38888888888888884
D003863,Depression,2,1,1,n_ancestries_all,1.0,1.0,0.0
D003863,Depression,2,1,1,n_ancestries_initial,1.0,1.0,0.0
D003863,Depression,2,1,1,n_ancestries_replication,1.0,1.0,0.0
D003863,Depression,2,1,1,has_replication,1.0,1.0,0.0
D003863,Depression,2,1,1,has_african,0.0,0.0,0.0
D003863,Depression,2,1,1,has_east_asian,0.0,0.0,0.0
D003863,Depression,2,1,1,has_south_asian,0.0,0.0,0.0
D003865,"Depressive Disorder, Major",2,1,1,n_ancestries_all,1.0,1.0,0.0
D003865,"Depressive Disorder, Major",2,1,1,n_ancestries_initial,1.0,1.0,0.0
D003865,"Depressive Disorder, Major",2,1,1,n_ancestries_replication,0.0,0.0,0.0
D003865,"Depressive Disorder, Major",2,1,1,has_replication,1.0,1.0,0.0
D003865,"Depressive Disorder, Major",2,1,1,has_african,0.0,0.0,0.0
D003865,"Depressive Disorder, Major",2,1,1,has_east_asian,0.0,0.0,0.0
D003865,"Depressive Disorder, Major",2,1,1,has_south_asian,0.0,0.0,0.0
D003876,"Dermatitis, Atopic",12,2,10,n_ancestries_all,2.5,2.0,0.5
D003876,"Dermatitis, Atopic",12,2,10,n_ancestries_initial,2.5,2.0,0.5
D003876,"Dermatitis, Atopic",12,2,10,n_ancestries_replication,1.5,0.7,0.8
D003876,"Dermatitis, Atopic",12,2,10,has_replication,0.5,0.3,0.2
D003876,"Dermatitis, Atopic",12,2,10,has_african,0.5,0.2,0.3
D003876,"Dermatitis, Atopic",12,2,10,has_east_asian,0.5,0.6,-0.09999999999999998
D003876,"Dermatitis, Atopic",12,2,10,has_south_asian,0.0,0.0,0.0
D003920,Diabetes Mellitus,13,2,11,n_ancestries_all,4.0,2.727272727272727,1.272727272727273
D003920,Diabetes Mellitus,13,2,11,n_ancestries_initial,4.0,2.727272727272727,1.272727272727273
D003920,Diabetes Mellitus,13,2,11,n_ancestries_replication,0.0,0.2727272727272727,-0.2727272727272727
D003920,Diabetes Mellitus,13,2,11,has_replication,0.0,0.09090909090909091,-0.09090909090909091
D003920,Diabetes Mellitus,13,2,11,has_african,1.0,0.45454545454545453,0.5454545454545454
D003920,Diabetes Mellitus,13,2,11,has_east_asian,1.0,0.6363636363636364,0.36363636363636365
D003920,Diabetes Mellitus,13,2,11,has_south_asian,1.0,0.45454545454545453,0.5454545454545454
D003924,"Diabetes Mellitus, Type 2",18,9,9,n_ancestries_all,4.333333333333333,3.888888888888889,0.4444444444444442
D003924,"Diabetes Mellitus, Type 2",18,9,9,n_ancestries_initial,4.222222222222222,3.888888888888889,0.3333333333333335
D003924,"Diabetes Mellitus, Type 2",18,9,9,n_ancestries_replication,1.7777777777777777,0.4444444444444444,1.3333333333333333
D003924,"Diabetes Mellitus, Type 2",18,9,9,has_replication,0.5555555555555556,0.2222222222222222,0.33333333333333337
D003924,"Diabetes Mellitus, Type 2",18,9,9,has_african,0.7777777777777778,0.6666666666666666,0.11111111111111116
D003924,"Diabetes Mellitus, Type 2",18,9,9,has_east_asian,0.8888888888888888,0.8888888888888888,0.0
D003924,"Diabetes Mellitus, Type 2",18,9,9,has_south_asian,0.8888888888888888,0.7777777777777778,0.11111111111111105
D005764,Gastroesophageal Reflux,2,1,1,n_ancestries_all,1.0,1.0,0.0
D005764,Gastroesophageal Reflux,2,1,1,n_ancestries_initial,1.0,1.0,0.0
D005764,Gastroesophageal Reflux,2,1,1,n_ancestries_replication,0.0,0.0,0.0
D005764,Gastroesophageal Reflux,2,1,1,has_replication,1.0,0.0,1.0
D005764,Gastroesophageal Reflux,2,1,1,has_african,0.0,0.0,0.0
D005764,Gastroesophageal Reflux,2,1,1,has_east_asian,0.0,0.0,0.0
D005764,Gastroesophageal Reflux,2,1,1,has_south_asian,0.0,0.0,0.0
D006073,Gout,2,1,1,n_ancestries_all,6.0,2.0,4.0
D006073,Gout,2,1,1,n_ancestries_initial,5.0,2.0,3.0
D006073,Gout,2,1,1,n_ancestries_replication,3.0,0.0,3.0
D006073,Gout,2,1,1,has_replication,1.0,0.0,1.0
D006073,Gout,2,1,1,has_african,1.0,0.0,1.0
D006073,Gout,2,1,1,has_east_asian,1.0,1.0,0.0
D006073,Gout,2,1,1,has_south_asian,1.0,0.0,1.0
D006937,Hypercholesterolemia,14,3,11,n_ancestries_all,5.0,4.818181818181818,0.18181818181818166
D006937,Hypercholesterolemia,14,3,11,n_ancestries_initial,4.666666666666667,4.818181818181818,-0.15151515151515138
D006937,Hypercholesterolemia,14,3,11,n_ancestries_replication,2.3333333333333335,2.090909090909091,0.24242424242424265
D006937,Hypercholesterolemia,14,3,11,has_replication,1.0,0.5454545454545454,0.4545454545454546
D006937,Hypercholesterolemia,14,3,11,has_african,0.6666666666666666,0.8181818181818182,-0.1515151515151516
D006937,Hypercholesterolemia,14,3,11,has_east_asian,0.6666666666666666,0.7272727272727273,-0.06060606060606066
D006937,Hypercholesterolemia,14,3,11,has_south_asian,0.6666666666666666,0.7272727272727273,-0.06060606060606066
D006938,Hyperlipoproteinemia Type II,8,3,5,n_ancestries_all,7.333333333333333,4.8,2.533333333333333
D006938,Hyperlipoproteinemia Type II,8,3,5,n_ancestries_initial,7.0,4.8,2.2
D006938,Hyperlipoproteinemia Type II,8,3,5,n_ancestries_replication,5.0,2.6,2.4
D006938,Hyperlipoproteinemia Type II,8,3,5,has_replication,1.0,0.8,0.19999999999999996
D006938,Hyperlipoproteinemia Type II,8,3,5,has_african,1.0,0.6,0.4
D006938,Hyperlipoproteinemia Type II,8,3,5,has_east_asian,1.0,0.8,0.19999999999999996
D006938,Hyperlipoproteinemia Type II,8,3,5,has_south_asian,1.0,0.6,0.4
D006949,Hyperlipidemias,22,4,18,n_ancestries_all,5.25,4.611111111111111,0.6388888888888893
D006949,Hyperlipidemias,22,4,18,n_ancestries_initial,5.0,4.611111111111111,0.3888888888888893
D006949,Hyperlipidemias,22,4,18,n_ancestries_replication,3.25,1.9444444444444444,1.3055555555555556
D006949,Hyperlipidemias,22,4,18,has_replication,1.0,0.6111111111111112,0.38888888888888884
D006949,Hyperlipidemias,22,4,18,has_african,0.75,0.7222222222222222,0.02777777777777779
