estimator,model_id,exposure,formula,n,n_A,n_B,n_indications,n_genes,informative_exposure_strata,status,error,converged,beta,standard_error,odds_ratio,ci_low,ci_high,p_value,warning_messages,design_full_rank,separation_warning,n_parameters,events_per_parameter,condition_number,cluster_robust_se
conditional_logit,W1,n_ancestries_all,approval ~ n_ancestries_all | indication_mesh_id,513,116,397,55,306,39.0,ok,,True,0.09813633221085723,0.06174978398223243,1.103113164714054,0.9773689912049466,1.2450350534093115,0.11200217862501405,,,,,,,
fixed_effect_logit_cluster_gene,W1,n_ancestries_all,approval ~ n_ancestries_all + C(indication_mesh_id),513,116,397,55,306,,ok,,True,0.10790334508504844,,1.1139400724000308,0.9312590432013209,1.332456843192592,0.2377256134409702,,True,False,56.0,2.0714285714285716,189.88671692766943,0.09139001788463476
conditional_logit,W2,n_ancestries_all,approval ~ n_ancestries_all + log_studies | indication_mesh_id,513,116,397,55,306,39.0,ok,,True,-0.12740577396583472,0.0913756085261843,0.8803763662996823,0.7360194928579842,1.0530462220904544,0.1632245104688811,,,,,,,
fixed_effect_logit_cluster_gene,W2,n_ancestries_all,approval ~ n_ancestries_all + log_studies + C(indication_mesh_id),513,116,397,55,306,,ok,,True,-0.14568253123226638,,0.864432089818089,0.6822642278378777,1.0952396555734876,0.22761275677130177,,True,False,57.0,2.0350877192982457,213.76647012087702,0.12074494019162721
conditional_logit,W3,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered | indication_mesh_id,513,116,397,55,306,39.0,ok,,True,-0.12999710804140102,0.09167555257480532,0.8780979703398655,0.7336832453530714,1.050938603816603,0.1561870244509375,,,,,,,
fixed_effect_logit_cluster_gene,W3,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered + C(indication_mesh_id),513,116,397,55,306,,ok,,True,-0.14832251151800332,,0.8621530158214875,0.6775492412067964,1.0970535829486956,0.22762482584020205,,True,False,58.0,2.0,279.43223359222713,0.12293620622824884
conditional_logit,W1,n_ancestries_initial,approval ~ n_ancestries_initial | indication_mesh_id,513,116,397,55,306,39.0,ok,,True,0.10406793659764017,0.06336643531974664,1.1096758399559021,0.9800732213378277,1.2564168094512036,0.10052379416372124,,,,,,,
fixed_effect_logit_cluster_gene,W1,n_ancestries_initial,approval ~ n_ancestries_initial + C(indication_mesh_id),513,116,397,55,306,,ok,,True,0.11435100620538345,,1.1211455848840952,0.9353627932506683,1.343828759894071,0.21605774787707654,,True,False,56.0,2.0714285714285716,179.05186698569904,0.09243629904125175
conditional_logit,W2,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies | indication_mesh_id,513,116,397,55,306,39.0,ok,,True,-0.11601409441156642,0.09239565179006405,0.8904626726616328,0.7429650724030027,1.067242325186448,0.2092527318645201,,,,,,,
fixed_effect_logit_cluster_gene,W2,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies + C(indication_mesh_id),513,116,397,55,306,,ok,,True,-0.13273992503421297,,0.8756928082730023,0.685943946182015,1.1179308436633932,0.28674296721580395,,True,False,57.0,2.0350877192982457,203.36587950737356,0.12460404507015393
