diagnostic,value
overall_auc,0.9986286919831223
overall_brier,0.0053577176975608655
overall_inclusion_rate,0.5834564254062038
selected_probability_min,0.5673225969381139
selected_probability_p01,0.8745787309073142
selected_probability_median,0.9983327333373986
selected_probability_p99,0.999999
selected_probability_max,0.999999
untrimmed_weight_min,0.9883650739744064
untrimmed_weight_p01,0.9883650739744064
untrimmed_weight_median,0.9900147043674143
untrimmed_weight_p99,1.1307020361708149
untrimmed_weight_max,1.7421553291612453
trimmed_weight_min,0.9906240871902529
trimmed_weight_median,0.992277487988506
trimmed_weight_max,1.1332863756119318
effective_n_unweighted,790.0
effective_n_untrimmed,788.4793855532432
effective_n_trimmed,789.6388566004618
