weight_scheme,model_id,exposure,formula,n,n_A,n_B,n_gene_clusters,effective_sample_size,status,error,converged,warning_messages,n_parameters,bread_rank,design_full_rank,finite_sample_correction,condition_number
unweighted,SW1,n_ancestries_all,approval ~ n_ancestries_all,790,157,633,383,790.0,ok,,True,,2,2,True,1.0038901586626625,5.461087483779579
unweighted,SW2,n_ancestries_all,approval ~ n_ancestries_all + log_studies,790,157,633,383,790.0,ok,,True,,3,3,True,1.0051657497156012,8.68970846271344
unweighted,SW3,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered,790,157,633,383,790.0,ok,,True,,4,4,True,1.0064445865473004,13.530750237788185
unweighted,SW4,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,790.0,ok,,True,,19,19,True,1.0260252205268197,39.616898014085166
ipw_untrimmed,SW1,n_ancestries_all,approval ~ n_ancestries_all,790,157,633,383,788.4793855532432,ok,,True,,2,2,True,1.0038901586626625,5.461087483779579
ipw_untrimmed,SW2,n_ancestries_all,approval ~ n_ancestries_all + log_studies,790,157,633,383,788.4793855532432,ok,,True,,3,3,True,1.0051657497156012,8.68970846271344
ipw_untrimmed,SW3,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered,790,157,633,383,788.4793855532432,ok,,True,,4,4,True,1.0064445865473004,13.530750237788185
ipw_untrimmed,SW4,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,788.4793855532432,ok,,True,,19,19,True,1.0260252205268197,39.616898014085166
ipw_trimmed,SW1,n_ancestries_all,approval ~ n_ancestries_all,790,157,633,383,789.6388566004618,ok,,True,,2,2,True,1.0038901586626625,5.461087483779579
ipw_trimmed,SW2,n_ancestries_all,approval ~ n_ancestries_all + log_studies,790,157,633,383,789.6388566004618,ok,,True,,3,3,True,1.0051657497156012,8.68970846271344
ipw_trimmed,SW3,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered,790,157,633,383,789.6388566004618,ok,,True,,4,4,True,1.0064445865473004,13.530750237788185
ipw_trimmed,SW4,n_ancestries_all,approval ~ n_ancestries_all + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,789.6388566004618,ok,,True,,19,19,True,1.0260252205268197,39.616898014085166
unweighted,SW1,n_ancestries_initial,approval ~ n_ancestries_initial,790,157,633,383,790.0,ok,,True,,2,2,True,1.0038901586626625,4.969620649577799
unweighted,SW2,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies,790,157,633,383,790.0,ok,,True,,3,3,True,1.0051657497156012,8.209237347370546
unweighted,SW3,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies + earliest_year_centered,790,157,633,383,790.0,ok,,True,,4,4,True,1.0064445865473004,13.349228235583967
unweighted,SW4,n_ancestries_initial,approval ~ n_ancestries_initial + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,790.0,ok,,True,,19,19,True,1.0260252205268197,38.6383950050226
ipw_untrimmed,SW1,n_ancestries_initial,approval ~ n_ancestries_initial,790,157,633,383,788.4793855532432,ok,,True,,2,2,True,1.0038901586626625,4.969620649577799
