margin_or_per_sd,lower_or_bound,upper_or_bound,beta_per_sd,se_per_sd,or_per_sd,ci90_or_low,ci90_or_high,p_lower,p_upper,p_tost,passes_alpha_0_05,exposure,model_id,n,n_A,n_B,exposure_sd,margin_role,formal_claim_allowed
1.2,0.8333333333333334,1.2,0.22815273393594845,0.10853218150533056,1.256277186939493,1.050885541456317,1.5018118607260427,7.777061190838985e-05,0.66359037049442,0.66359037049442,False,n_ancestries_all,M1,790,157,633,1.9274719610480286,descriptive_reference,False
1.25,0.8,1.25,0.22815273393594845,0.10853218150533056,1.256277186939493,1.050885541456317,1.5018118607260427,1.603970016794687e-05,0.5184062040716616,0.5184062040716616,False,n_ancestries_all,M1,790,157,633,1.9274719610480286,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.04867374920147858,0.14838891727304,1.0498777713984062,0.822502053594348,1.3401101311050374,0.05977224220769595,0.18388483836972885,0.18388483836972885,False,n_ancestries_all,M2,790,157,633,1.9274719610480286,descriptive_reference,False
1.25,0.8,1.25,0.04867374920147858,0.14838891727304,1.0498777713984062,0.822502053594348,1.3401101311050374,0.0334913740416648,0.11984533172028217,0.11984533172028217,False,n_ancestries_all,M2,790,157,633,1.9274719610480286,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.050742546326052025,0.14847431380160794,1.0520520037603962,0.824089641105975,1.3430740582187861,0.058239346758794164,0.1877529339885698,0.1877529339885698,False,n_ancestries_all,M3,790,157,633,1.9274719610480286,descriptive_reference,False
1.25,0.8,1.25,0.050742546326052025,0.14847431380160794,1.0520520037603962,0.824089641105975,1.3430740582187861,0.032542785975576916,0.12279037606863918,0.12279037606863918,False,n_ancestries_all,M3,790,157,633,1.9274719610480286,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.0412235062792914,0.1620670958541446,1.0420849920579913,0.7982342772172564,1.360429089136875,0.08389551167464226,0.19198219186699156,0.19198219186699156,False,n_ancestries_all,M4,790,157,633,1.9274719610480286,descriptive_reference,False
1.25,0.8,1.25,0.0412235062792914,0.1620670958541446,1.0420849920579913,0.7982342772172564,1.360429089136875,0.05142197318340891,0.13082530783134283,0.13082530783134283,False,n_ancestries_all,M4,790,157,633,1.9274719610480286,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.30318886476108864,0.10100658295587552,1.3541701953226652,1.1468829916585288,1.5989224107756335,7.671309194545728e-07,0.8842742141279959,0.8842742141279959,False,n_ancestries_initial,M1,790,157,633,1.8763564718891663,descriptive_reference,False
1.25,0.8,1.25,0.30318886476108864,0.10100658295587552,1.3541701953226652,1.1468829916585288,1.5989224107756335,9.397734379579248e-08,0.7859584692802193,0.7859584692802193,False,n_ancestries_initial,M1,790,157,633,1.8763564718891663,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.2104324560448911,0.1377279173596353,1.2342116868679964,0.9840192605846317,1.5480169433843451,0.0021745388860484605,0.580864113810318,0.580864113810318,False,n_ancestries_initial,M2,790,157,633,1.8763564718891663,descriptive_reference,False
1.25,0.8,1.25,0.2104324560448911,0.1377279173596353,1.2342116868679964,0.9840192605846317,1.5480169433843451,0.000821784464066555,0.4632332808209547,0.4632332808209547,False,n_ancestries_initial,M2,790,157,633,1.8763564718891663,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.2015960890074065,0.13952442957025726,1.2233537822659633,0.9724844678110819,1.538939207896091,0.0029651011027205243,0.5549368905214809,0.5549368905214809,False,n_ancestries_initial,M3,790,157,633,1.8763564718891663,descriptive_reference,False
1.25,0.8,1.25,0.2015960890074065,0.13952442957025726,1.2233537822659633,0.9724844678110819,1.538939207896091,0.0011665173863599776,0.43863335948161425,0.43863335948161425,False,n_ancestries_initial,M3,790,157,633,1.8763564718891663,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.1078151460947307,0.15815406819674765,1.1138418283429476,0.8587090290271234,1.4447776564920376,0.03328846696548071,0.3187845967069349,0.3187845967069349,False,n_ancestries_initial,M4,790,157,633,1.8763564718891663,descriptive_reference,False
1.25,0.8,1.25,0.1078151460947307,0.15815406819674765,1.1138418283429476,0.8587090290271234,1.4447776564920376,0.018190886458050337,0.23293491152776274,0.23293491152776274,False,n_ancestries_initial,M4,790,157,633,1.8763564718891663,descriptive_reference,False
