exposure,model_id,exposure_value,predicted_approval_probability,probability_standard_error,probability_ci_low,probability_ci_high
n_ancestries_all,M1,0.0,0.15399140654767013,0.027211680505089524,0.10065749279888395,0.2073253202964563
n_ancestries_all,M1,1.0,0.1700512881960394,0.02358138071949248,0.12383263128010691,0.2162699451119719
n_ancestries_all,M1,2.0,0.1874150296662092,0.0207405342980131,0.1467643294219858,0.2280657299104326
n_ancestries_all,M1,3.0,0.20611145380411558,0.020384463531511725,0.16615863943818243,0.24606426817004873
n_ancestries_all,M1,4.0,0.22615392689394737,0.024016454376631805,0.17908254127939968,0.2732253125084951
n_ancestries_all,M1,5.0,0.24753765885752088,0.03143711578579999,0.1859220441395373,0.3091532735755045
n_ancestries_all,M1,6.0,0.27023722644040665,0.041592538796650064,0.1887173483733876,0.3517571045074257
n_ancestries_all,M1,7.0,0.2942045014164827,0.0536751940129846,0.18900305428783293,0.39940594854513245
n_ancestries_all,M1,8.0,0.3193671760580794,0.06717284853424217,0.1877108121920006,0.4510235399241582
n_ancestries_all,M1,9.0,0.34562807194171763,0.0817075066223923,0.18548430169526076,0.5057718421881745
n_ancestries_all,M2,0.0,0.18817519287358045,0.03935894859866035,0.11103307115084293,0.26531731459631797
n_ancestries_all,M2,1.0,0.1920198770498135,0.030083927073868973,0.13305646347150085,0.25098329062812613
n_ancestries_all,M2,2.0,0.1959235755568253,0.022551207847497968,0.15172402036785224,0.24012313074579836
n_ancestries_all,M2,3.0,0.19988641517125286,0.019619144177021337,0.16143359917679231,0.2383392311657134
n_ancestries_all,M2,4.0,0.20390848998718922,0.0236695007628513,0.15751712095995735,0.2502998590144211
n_ancestries_all,M2,5.0,0.20798986036899234,0.03258158174307584,0.14413113359321594,0.2718485871447687
n_ancestries_all,M2,6.0,0.21213055192050898,0.04377969743613306,0.12632392169162765,0.2979371821493903
n_ancestries_all,M2,7.0,0.21633055447356248,0.05616150491881918,0.10625602751510779,0.3264050814320172
n_ancestries_all,M2,8.0,0.22058982109862105,0.06930490841789379,0.08475469664770241,0.3564249455495397
n_ancestries_all,M2,9.0,0.22490826714062545,0.08302832079469201,0.06217574868619108,0.3876407855950598
n_ancestries_all,M3,0.0,0.18774724957156938,0.03926079289177657,0.11079750949920114,0.2646969896439376
n_ancestries_all,M3,1.0,0.19174637785572968,0.030020797731737613,0.1329066955143622,0.25058606019709717
n_ancestries_all,M3,2.0,0.19580946709280186,0.022510962683207292,0.15168879097639043,0.2399301432092133
n_ancestries_all,M3,3.0,0.19993665931290894,0.019598579509412024,0.1615241493263167,0.23834916929950117
n_ancestries_all,M3,4.0,0.20412805810907206,0.023675163853404266,0.15772558962831518,0.25053052658982894
n_ancestries_all,M3,5.0,0.2083837273620235,0.03262022417054198,0.14444926282013826,0.27231819190390877
n_ancestries_all,M3,6.0,0.21270368998647277,0.043860917436636865,0.12673787148177965,0.2986695084911659
n_ancestries_all,M3,7.0,0.2170879267025989,0.056297443076317455,0.10674696585132287,0.32742888755387495
n_ancestries_all,M3,8.0,0.22153637483663557,0.06950874185321179,0.08530174419364858,0.3577710054796226
n_ancestries_all,M3,9.0,0.22604892715449784,0.08331352416349348,0.06275742036894308,0.3893404339400526
n_ancestries_all,M4,0.0,0.19030637778157755,0.03921785744385377,0.1134407896407981,0.26717196592235704
n_ancestries_all,M4,1.0,0.19338595843053968,0.029376601388499495,0.13580887772089134,0.250963039140188
n_ancestries_all,M4,2.0,0.19650073295167717,0.021456370046876012,0.1544470204208362,0.23855444548251814
n_ancestries_all,M4,3.0,0.19965068481149645,0.018717018353621787,0.16296600294042257,0.23633536668257032
n_ancestries_all,M4,4.0,0.2028357849817669,0.02352434883756652,0.15672890850037985,0.24894266146315397
n_ancestries_all,M4,5.0,0.20605599174954398,0.03302356575424879,0.14133099223012602,0.27078099126896193
n_ancestries_all,M4,6.0,0.20931125053448787,0.04453284782915707,0.12202847266033728,0.29659402840863847
n_ancestries_all,M4,7.0,0.21260149371381148,0.057034856729201784,0.10081522866117404,0.32438775876644893
n_ancestries_all,M4,8.0,0.21592664045518625,0.07015701651892939,0.07842141481530301,0.3534318660950695
n_ancestries_all,M4,9.0,0.21928659655792831,0.08374133874739291,0.05515658859586969,0.38341660451998694
n_ancestries_initial,M1,0.0,0.1431704335662825,0.024394851688548658,0.09535740284853102,0.190983464284034
n_ancestries_initial,M1,1.0,0.1641567360653253,0.022031011178119758,0.12097674761321123,0.20733672451743937
n_ancestries_initial,M1,2.0,0.18754593071752007,0.02033587276493992,0.14768835250404885,0.2274035089309913
n_ancestries_initial,M1,3.0,0.21341674416422582,0.020992808692685227,0.1722715951922234,0.25456189313622823
n_ancestries_initial,M1,4.0,0.24179419228726304,0.025442958203358294,0.19192691054852287,0.29166147402600323
n_ancestries_initial,M1,5.0,0.2726370617106726,0.033582461273187134,0.20681664710301467,0.3384574763183305
n_ancestries_initial,M1,6.0,0.3058272849553804,0.044476878283420354,0.21865420537510488,0.39300036453565595
n_ancestries_initial,M1,7.0,0.34116285078696407,0.05726163086232403,0.22893211660078172,0.4533935849731464
n_ancestries_initial,M1,8.0,0.37835586021921497,0.07122602962105574,0.23875540740016263,0.5179563130382673
n_ancestries_initial,M1,9.0,0.4170369946099034,0.08571562620118815,0.24903745434327682,0.58503653487653
n_ancestries_initial,M2,0.0,0.1580104020266896,0.03195303414026726,0.09538360591498699,0.2206371981383922
n_ancestries_initial,M2,1.0,0.17346223339492128,0.025959417979114382,0.12258270909623555,0.22434175769360704
n_ancestries_initial,M2,2.0,0.190080413694981,0.021079417479102927,0.14876551462085516,0.23139531276910683
n_ancestries_initial,M2,3.0,0.20788640111760864,0.020552132822620042,0.16760496097978983,0.24816784125542746
n_ancestries_initial,M2,4.0,0.2268890634054077,0.026758629513462823,0.17444311328337003,0.2793350135274454
n_ancestries_initial,M2,5.0,0.24708271119929115,0.03804859768719032,0.17250883007014411,0.3216565923284382
n_ancestries_initial,M2,6.0,0.268445306098388,0.05242265157836245,0.16569879703070578,0.37119181516607025
n_ancestries_initial,M2,7.0,0.29093696219321913,0.0689009626657209,0.15589355686826728,0.425980367518171
n_ancestries_initial,M2,8.0,0.31449886479804146,0.08696579661023605,0.14404903555514328,0.48494869404093965
n_ancestries_initial,M2,9.0,0.3390527256710286,0.10624209345653232,0.13082204885408671,0.5472834024879705
n_ancestries_initial,M3,0.0,0.15951629625980893,0.03260334453702177,0.09561491519169554,0.2234176773279223
n_ancestries_initial,M3,1.0,0.17439504284341562,0.026325345781470725,0.12279831323116955,0.22599177245566168
n_ancestries_initial,M3,2.0,0.1903430982998716,0.021165746870070605,0.14885899672864183,0.23182719987110134
n_ancestries_initial,M3,3.0,0.2073787319755126,0.020418637488830146,0.16735893788402614,0.24739852606699905
n_ancestries_initial,M3,4.0,0.2255096217879238,0.026564774740414836,0.17344362003929137,0.27757562353655624
n_ancestries_initial,M3,5.0,0.2447312833877702,0.037866329378771796,0.17051464157864651,0.31894792519689386
n_ancestries_initial,M3,6.0,0.26502563258727296,0.052242467296391,0.162632278222835,0.36741898695171094
n_ancestries_initial,M3,7.0,0.28635976751495684,0.06870362806067452,0.15170313090879933,0.42101640412111435
n_ancestries_initial,M3,8.0,0.3086850606367101,0.08674778398572926,0.13866252828602027,0.4787075929873999
n_ancestries_initial,M3,9.0,0.33193664830239983,0.10602550906960422,0.12413046908345071,0.539742827521349
n_ancestries_initial,M4,0.0,0.17770409254599626,0.03604432402436942,0.10705851561114037,0.24834966948085213
n_ancestries_initial,M4,1.0,0.18570023685620168,0.027331252594368617,0.1321319661188723,0.23926850759353108
n_ancestries_initial,M4,2.0,0.19395412542245596,0.020514859567523826,0.15374573952221232,0.2341625113226996
n_ancestries_initial,M4,3.0,0.20246594610867297,0.01934358974141642,0.16455320688377834,0.2403786853335676
n_ancestries_initial,M4,4.0,0.21123522849183476,0.02576632278553588,0.16073416381815067,0.26173629316551883
n_ancestries_initial,M4,5.0,0.22026081531434177,0.036743085324075594,0.14824569139827137,0.2922759392304122
n_ancestries_initial,M4,6.0,0.22954083683274418,0.049950379632508465,0.13163989173892454,0.3274417819265638
n_ancestries_initial,M4,7.0,0.23907268841792273,0.06452066368261773,0.11261451134137052,0.36553086549447494
n_ancestries_initial,M4,8.0,0.24885301174182797,0.0801155109109394,0.09182949575336102,0.4058765277302949
n_ancestries_initial,M4,9.0,0.25887767986042376,0.09657308025416926,0.06959792068615575,0.44815743903469174
n_ancestries_replication,M1,0.0,0.19013554763992063,0.022741807305389352,0.1455624243780076,0.23470867090183367
n_ancestries_replication,M1,1.0,0.19794829203614048,0.019845871730813338,0.15905109820194474,0.23684548587033621
n_ancestries_replication,M1,2.0,0.20600040699880026,0.022493348342702873,0.16191425435538892,0.2500865596422116
n_ancestries_replication,M1,3.0,0.21429255178736545,0.029963970114068577,0.1555642495299565,0.2730208540447744
n_ancestries_replication,M1,4.0,0.22282480888341277,0.04020598581372106,0.14402252472559116,0.30162709304123436
n_ancestries_replication,M1,5.0,0.23159664927476298,0.05206918919369636,0.12954291375091592,0.33365038479861003
n_ancestries_replication,M1,6.0,0.2406068993956024,0.0650597708536182,0.113092091680082,0.3681217071111228
