indication_mesh_id,indication_mesh_term_in_trails,mesh2026_preferred_term,mesh2026_entry_terms,mesh2026_n_terms,mesh2026_tree_numbers,n_pairs,n_genes,n_A,n_B,mesh2026_record_found
D000072861,"Phobia, Social","Phobia, Social","Anxiety Disorder, Social || Disorder, Social Anxiety || Evaluation Fear, Social || Fear of Social Evaluation || Phobia, Social || Phobia, Social Evaluation || Social Anxiety Disorder || Social Anxiety Disorders || Social Evaluation Fear || Social Evaluation Phobia || Social Evaluation Phobias || Social Phobia || Social Phobias || Sociophobia || Sociophobias",15,F03.080.725.500,1,1,0,1,True
D000086382,COVID-19,COVID-19,"2019 Novel Coronavirus Disease || 2019 Novel Coronavirus Infection || 2019 nCoV Disease || 2019 nCoV Infection || 2019-nCoV Disease || 2019-nCoV Diseases || 2019-nCoV Infection || 2019-nCoV Infections || COVID 19 || COVID 19 Pandemic || COVID 19 Virus Disease || COVID 19 Virus Infection || COVID-19 || COVID-19 Pandemic || COVID-19 Pandemics || COVID-19 Virus Disease || COVID-19 Virus Diseases || COVID-19 Virus Infection || COVID-19 Virus Infections || COVID19 || Coronavirus Disease 19 || Coronavirus Disease 2019 || Coronavirus Disease-19 || Disease 2019, Coronavirus || Disease, 2019-nCoV || Disease, COVID-19 Virus || Infection, 2019-nCoV || Infection, COVID-19 Virus || Infection, SARS-CoV-2 || Pandemic, COVID-19 || SARS CoV 2 Infection || SARS Coronavirus 2 Infection || SARS-CoV-2 Infection || SARS-CoV-2 Infections || Severe Acute Respiratory Syndrome Coronavirus 2 Infection || Virus Disease, COVID-19 || Virus Infection, COVID-19",37,C01.748.610.763.500 || C01.925.705.500 || C01.925.782.600.550.200.163 || C08.381.677.807.500 || C08.730.610.763.500,1,1,1,0,True
D000417,Albinism,Albinism,Albinism,1,C11.270.040 || C16.320.290.040 || C16.320.565.100.102 || C16.320.850.080 || C17.800.621.440.102 || C17.800.827.080 || C18.452.648.100.102,1,1,0,1,True
D000437,Alcoholism,Alcoholism,"Abuse, Alcohol || Abuse, Ethanol || Addiction, Alcohol || Alcohol Abuse || Alcohol Addiction || Alcohol Dependence || Alcohol Use Disorder || Alcohol Use Disorders || Alcoholic Intoxication, Chronic || Alcoholism || Chronic Alcoholic Intoxication || Dependence, Alcohol || Ethanol Abuse || Intoxication, Chronic Alcoholic || Use Disorders, Alcohol",15,C25.775.100.250 || F03.900.100.350,2,2,0,2,True
D000505,Alopecia,Alopecia,"Alopecia || Alopecia Cicatrisata || Alopecia Cicatrisatas || Alopecia, Androgenetic || Alopecia, Androgenic || Alopecia, Male Pattern || Alopecias, Androgenic || Androgenetic Alopecia || Androgenic Alopecia || Androgenic Alopecias || Baldness || Baldness, Female Pattern || Baldness, Male Pattern || Baldness, Pattern || Female Pattern Baldness || Hair Loss || Hair Losses || Loss, Hair || Losses, Hair || Male Pattern Alopecia || Male Pattern Baldness || Pattern Baldness || Pseudopelade",23,C17.800.329.937.122 || C23.300.035,1,1,1,0,True
D000544,Alzheimer Disease,Alzheimer Disease,"Acute Confusional Senile Dementia || Alzheimer Dementia || Alzheimer Dementias || Alzheimer Disease || Alzheimer Disease, Early Onset || Alzheimer Disease, Familial (FAD) || Alzheimer Disease, Late Onset || Alzheimer Diseases || Alzheimer Sclerosis || Alzheimer Syndrome || Alzheimer Type Dementia || Alzheimer Type Dementia (ATD) || Alzheimer Type Senile Dementia || Alzheimer's Disease || Alzheimer's Disease, Focal Onset || Alzheimer's Diseases || Alzheimer-Type Dementia (ATD) || Alzheimers Diseases || Dementia, Alzheimer || Dementia, Alzheimer Type || Dementia, Alzheimer-Type (ATD) || Dementia, Presenile || Dementia, Primary Senile Degenerative || Dementia, Senile || Early Onset Alzheimer Disease || Familial Alzheimer Disease (FAD) || Familial Alzheimer Diseases (FAD) || Focal Onset Alzheimer's Disease || Late Onset Alzheimer Disease || Presenile Alzheimer Dementia || Presenile Dementia || Primary Senile Degenerative Dementia || Sclerosis, Alzheimer || Senile Dementia || Senile Dementia, Acute Confusional || Senile Dementia, Alzheimer Type",36,C10.228.140.380.100 || C10.574.945.249 || F03.615.400.100,11,11,1,10,True
D000690,Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis,"ALS - Amyotrophic Lateral Sclerosis || ALS Amyotrophic Lateral Sclerosis || Amyotrophic Lateral Sclerosis || Amyotrophic Lateral Sclerosis Parkinsonism Dementia Complex 1 || Amyotrophic Lateral Sclerosis With Dementia || Amyotrophic Lateral Sclerosis, Guam Form || Amyotrophic Lateral Sclerosis, Parkinsonism Dementia Complex of Guam || Amyotrophic Lateral Sclerosis, Parkinsonism-Dementia Complex of Guam || Amyotrophic Lateral Sclerosis-Parkinsonism-Dementia Complex 1 || Charcot Disease || Dementia With Amyotrophic Lateral Sclerosis || Disease, Guam || Disease, Lou-Gehrigs || Gehrig Disease || Gehrig's Disease || Gehrigs Disease || Guam Disease || Guam Form of Amyotrophic Lateral Sclerosis || Lou Gehrig Disease || Lou Gehrig's Disease || Lou-Gehrigs Disease || Motor Neuron Disease, Amyotrophic Lateral Sclerosis || Sclerosis, Amyotrophic Lateral",23,C10.228.854.139 || C10.574.562.250 || C10.574.950.050 || C10.668.467.250 || C18.452.845.800.050,1,1,0,1,True
D000740,Anemia,Anemia,Anemia || Anemias,2,C15.378.050,11,11,4,7,True
D000755,"Anemia, Sickle Cell","Anemia, Sickle Cell","Anemia, Sickle Cell || Anemias, Sickle Cell || Cell Disease, Sickle || Cell Diseases, Sickle || Cell Disorder, Sickle || Cell Disorders, Sickle || Disease, Hemoglobin S || HbS Disease || Hemoglobin S Disease || Hemoglobin S Diseases || Sickle Cell Anemia || Sickle Cell Anemias || Sickle Cell Disease || Sickle Cell Diseases || Sickle Cell Disorder || Sickle Cell Disorders || Sickling Disorder Due to Hemoglobin S",17,C15.378.050.141.150.150 || C15.378.420.155 || C16.320.070.150 || C16.320.365.155,2,2,0,2,True
D001008,Anxiety Disorders,Anxiety Disorders,"Anxiety Disorder || Anxiety Disorders || Anxiety Neuroses || Anxiety State, Neurotic || Anxiety States, Neurotic || Disorder, Anxiety || Disorders, Anxiety || Neuroses, Anxiety || Neurotic Anxiety State || Neurotic Anxiety States || State, Neurotic Anxiety || States, Neurotic Anxiety",12,F03.080,7,7,1,6,True
