indication_mesh_id,indication_mesh_term,n_pairs,n_genes,n_A,n_B,candidate_rank,candidate_rank_score,lexical_score,exact_normalized_match,token_containment,token_jaccard,sequence_similarity,panukb_phenotype_id,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,category,is_binary,is_quantitative,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,phenotype_qc_AFR,phenotype_qc_AMR,phenotype_qc_CSA,phenotype_qc_EAS,phenotype_qc_EUR,phenotype_qc_MID
D000072861,"Phobia, Social",1,1,0,1,1,41.46800098838646,38.46800098838646,False,0.5,0.25,0.42105263157894735,categorical|6160|both_sexes|1|,categorical,6160,both_sexes,1,,Leisure/social activities,"ACE touchscreen question ""Which of the following do you attend once a week or more often? (You can select more than one)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     If this varies, please think about activities in the last year.     ",UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support,True,False,"AFR,CSA,EUR",3,categorical-6160-both_sexes-1.tsv.bgz,categorical-6160-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-6160-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-6160-both_sexes-1.tsv.bgz.tbi,1545.0,256.0,1973.0,711.0,125667.0,357.0,4975.0,701.0,6505.0,1891.0,293552.0,1193.0,PASS,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D000072861,"Phobia, Social",1,1,0,1,2,41.46800098838646,38.46800098838646,False,0.5,0.25,0.42105263157894735,categorical|6160|both_sexes|100|,categorical,6160,both_sexes,100,,Leisure/social activities,"ACE touchscreen question ""Which of the following do you attend once a week or more often? (You can select more than one)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     If this varies, please think about activities in the last year.     ",UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support,True,False,"AFR,CSA,EUR,MID",4,categorical-6160-both_sexes-100.tsv.bgz,categorical-6160-both_sexes-100.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-6160-both_sexes-100.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-6160-both_sexes-100.tsv.bgz.tbi,1603.0,290.0,3026.0,962.0,126966.0,612.0,4917.0,667.0,5452.0,1640.0,292253.0,938.0,PASS,n_too_low,PASS,h2_z_insignificant,PASS,PASS
D000072861,"Phobia, Social",1,1,0,1,3,41.46800098838646,38.46800098838646,False,0.5,0.25,0.42105263157894735,categorical|6160|both_sexes|4|,categorical,6160,both_sexes,4,,Leisure/social activities,"ACE touchscreen question ""Which of the following do you attend once a week or more often? (You can select more than one)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     If this varies, please think about activities in the last year.     ",UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support,True,False,"CSA,EUR",2,categorical-6160-both_sexes-4.tsv.bgz,categorical-6160-both_sexes-4.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-6160-both_sexes-4.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-6160-both_sexes-4.tsv.bgz.tbi,509.0,125.0,448.0,222.0,29885.0,148.0,6011.0,832.0,8030.0,2380.0,389334.0,1402.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
D000072861,"Phobia, Social",1,1,0,1,4,41.46800098838646,38.46800098838646,False,0.5,0.25,0.42105263157894735,categorical|6160|both_sexes|5|,categorical,6160,both_sexes,5,,Leisure/social activities,"ACE touchscreen question ""Which of the following do you attend once a week or more often? (You can select more than one)"" The following checks were performed:  If code -7 was selected, then no additional choices were allowed.  If code -3 was selected, then no additional choices were allowed.   If the participant activated the Help button they were shown the message:     If this varies, please think about activities in the last year.     ",UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support,True,False,"EUR,MID",2,categorical-6160-both_sexes-5.tsv.bgz,categorical-6160-both_sexes-5.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-6160-both_sexes-5.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-6160-both_sexes-5.tsv.bgz.tbi,954.0,178.0,1161.0,505.0,93258.0,219.0,5566.0,779.0,7317.0,2097.0,325961.0,1331.0,h2_z_insignificant,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,PASS
D000072861,"Phobia, Social",1,1,0,1,5,11.88888888888889,8.88888888888889,False,0.0,0.0,0.4444444444444444,phecode|574.1|both_sexes||,phecode,574.1,both_sexes,,,Cholelithiasis,,digestive,True,False,"EAS,EUR",2,phecode-574.1-both_sexes.tsv.bgz,phecode-574.1-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-574.1-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-574.1-both_sexes.tsv.bgz.tbi,120.0,,255.0,68.0,17278.0,,6470.0,,8541.0,2623.0,399542.0,,h2_z_insignificant,,h2_z_insignificant,PASS,PASS,
D000072861,"Phobia, Social",1,1,0,1,6,11.482676224611708,8.482676224611708,False,0.0,0.0,0.3870967741935484,icd10|K80|both_sexes||,icd10,K80,both_sexes,,,K80 Cholelithiasis,truncated: true,"Chapter XI Diseases of the digestive system | K80-K87 Disorders of gallbladder, biliary tract and pancreas | K80 Cholelithiasis",True,False,"EAS,EUR",2,icd10-K80-both_sexes.tsv.bgz,icd10-K80-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-K80-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-K80-both_sexes.tsv.bgz.tbi,120.0,,253.0,67.0,16983.0,,6516.0,,8623.0,2642.0,403548.0,,h2_z_insignificant,,h2_z_insignificant,PASS,PASS,
D000072861,"Phobia, Social",1,1,0,1,7,11.348583877995642,8.348583877995642,False,0.0,0.0,0.37037037037037035,categorical|20116|both_sexes|0|,categorical,20116,both_sexes,0,,Smoking status,This field summarises the current/past smoking status of the participant.,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,True,False,"AFR,EAS,EUR",3,categorical-20116-both_sexes-0.tsv.bgz,categorical-20116-both_sexes-0.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20116-both_sexes-0.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20116-both_sexes-0.tsv.bgz.tbi,4595.0,477.0,6777.0,1970.0,227144.0,802.0,1937.0,485.0,1855.0,679.0,191673.0,761.0,PASS,n_too_low,h2_z_insignificant,PASS,PASS,h2_z_insignificant
D000072861,"Phobia, Social",1,1,0,1,8,11.348583877995642,8.348583877995642,False,0.0,0.0,0.37037037037037035,categorical|20116|both_sexes|1|,categorical,20116,both_sexes,1,,Smoking status,This field summarises the current/past smoking status of the participant.,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,True,False,"AFR,EUR",2,categorical-20116-both_sexes-1.tsv.bgz,categorical-20116-both_sexes-1.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-20116-both_sexes-1.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-20116-both_sexes-1.tsv.bgz.tbi,1131.0,341.0,1082.0,454.0,148481.0,485.0,5401.0,621.0,7550.0,2195.0,270336.0,1078.0,PASS,n_too_low,h2_z_insignificant,h2_z_insignificant,PASS,h2_z_insignificant
D000086382,COVID-19,1,1,1,0,1,9.358342665173573,6.358342665173573,False,0.0,0.0,0.3157894736842105,categorical|1920|both_sexes|1920|,categorical,1920,both_sexes,1920,,Mood swings,"ACE touchscreen question ""Does your mood often go up and down?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question     ",UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,True,False,"CSA,EUR,MID",3,categorical-1920-both_sexes-1920.tsv.bgz,categorical-1920-both_sexes-1920.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/categorical-1920-both_sexes-1920.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/categorical-1920-both_sexes-1920.tsv.bgz.tbi,3195.0,416.0,4200.0,968.0,185534.0,877.0,2936.0,496.0,3822.0,1488.0,224986.0,590.0,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,PASS
D000086382,COVID-19,1,1,1,0,2,9.241685144124169,6.241685144124168,False,0.0,0.0,0.24390243902439024,icd10|N20|both_sexes||,icd10,N20,both_sexes,,,N20 Calculus of kidney and ureter,truncated: true,Chapter XIV Diseases of the genitourinary system | N20-N23 Urolithiasis | N20 Calculus of kidney and ureter,True,False,"CSA,EUR",2,icd10-N20-both_sexes.tsv.bgz,icd10-N20-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-N20-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-N20-both_sexes.tsv.bgz.tbi,59.0,,154.0,,5530.0,,6577.0,,8722.0,,415001.0,,h2_z_insignificant,,PASS,,PASS,
