indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_rank,candidate_score,matched_mesh_term,matched_phenotype_text,exact_term_match,token_containment,token_jaccard,phrase_inclusion,sequence_similarity,panukb_phenotype_id,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,n_cases_AFR,n_controls_AFR,phenotype_qc_AFR,n_cases_AMR,n_controls_AMR,phenotype_qc_AMR,n_cases_CSA,n_controls_CSA,phenotype_qc_CSA,n_cases_EAS,n_controls_EAS,phenotype_qc_EAS,n_cases_EUR,n_controls_EUR,phenotype_qc_EUR,n_cases_MID,n_controls_MID,phenotype_qc_MID,strong_lexical_candidate,informative_mesh_tokens,informative_phenotype_tokens,shared_informative_tokens,n_shared_informative_tokens,conservative_containment,conservative_jaccard,exact_normalized_term,normalized_phrase_inclusion,subtype_conflict,scope_relation,conservative_matched_mesh_term,conservative_matched_phenotype_text
D019973,Alcohol-Related Disorders,Alcohol-Related Disorders,1,1,0,1,1,255.0,Alcohol Related Disorders,Alcohol-related disorders,True,1.0,1.0,True,1.0,phecode|317|both_sexes||,phecode,317,both_sexes,,,Alcohol-related disorders,,,"AFR,EUR",2,phecode-317-both_sexes.tsv.bgz,phecode-317-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-317-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-317-both_sexes.tsv.bgz.tbi,129.0,6272.0,PASS,,,,166.0,8471.0,h2_z_insignificant,,,,16070.0,392046.0,PASS,,,,True,alcohol | related,alcohol | related,alcohol | related,2,1.0,1.0,True,True,False,same_informative_tokens,Alcohol Related Disorders,Alcohol-related disorders
D015535,"Arthritis, Psoriatic","Arthritis, Psoriatic",9,9,3,6,1,93.92857142857144,Psoriatic Arthropathies,Other arthropathies,False,1.0,0.5,False,0.7619047619047619,phecode|716|both_sexes||,phecode,716,both_sexes,,,Other arthropathies,,,"EAS,EUR",2,phecode-716-both_sexes.tsv.bgz,phecode-716-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-716-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-716-both_sexes.tsv.bgz.tbi,607.0,5922.0,h2_z_insignificant,74.0,892.0,n_too_low,881.0,7845.0,h2_z_insignificant,117.0,2571.0,PASS,42030.0,372332.0,PASS,123.0,1456.0,h2_z_insignificant,True,arthropathy | psoriatic,arthropathy,arthropathy,1,1.0,0.5,False,False,False,phenotype_broader,Psoriatic Arthropathies,Other arthropathies
D015535,"Arthritis, Psoriatic","Arthritis, Psoriatic",9,9,3,6,2,93.33333333333331,"Arthropathy, Psoriatic",Arthropathy NOS,False,1.0,0.5,False,0.7222222222222222,phecode|716.9|both_sexes||,phecode,716.9,both_sexes,,,Arthropathy NOS,,,"EAS,EUR",2,phecode-716.9-both_sexes.tsv.bgz,phecode-716.9-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-716.9-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-716.9-both_sexes.tsv.bgz.tbi,605.0,5922.0,h2_z_insignificant,74.0,892.0,n_too_low,880.0,7845.0,h2_z_insignificant,117.0,2571.0,PASS,41824.0,372332.0,PASS,122.0,1456.0,h2_z_insignificant,True,arthropathy | psoriatic,arthropathy,arthropathy,1,1.0,0.5,False,False,False,phenotype_broader,"Arthropathy, Psoriatic",Arthropathy NOS
D001172,"Arthritis, Rheumatoid","Arthritis, Rheumatoid",15,15,3,12,1,109.9074074074074,Rheumatoid Arthritis,Rheumatoid arthritis and other inflammatory polyarthropathies,False,1.0,0.5,True,0.4938271604938271,phecode|714|both_sexes||,phecode,714,both_sexes,,,Rheumatoid arthritis and other inflammatory polyarthropathies,,,"CSA,EUR",2,phecode-714-both_sexes.tsv.bgz,phecode-714-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-714-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-714-both_sexes.tsv.bgz.tbi,109.0,5939.0,h2_z_insignificant,,,,179.0,7816.0,PASS,,,,6216.0,371238.0,PASS,,,,True,arthriti | rheumatoid,arthriti | inflammatory | polyarthropathy | rheumatoid,arthriti | rheumatoid,2,1.0,0.5,False,True,False,phenotype_more_specific,Rheumatoid Arthritis,Rheumatoid arthritis and other inflammatory polyarthropathies
D001249,Asthma,Asthma,29,29,4,25,1,255.0,Asthma,J45 Asthma,True,1.0,1.0,True,1.0,icd10|J45|both_sexes||,icd10,J45,both_sexes,,,J45 Asthma,truncated: true,,"CSA,EUR,MID",3,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,573.0,6063.0,h2_z_insignificant,64.0,916.0,n_too_low,900.0,7976.0,PASS,149.0,2560.0,h2_z_insignificant,31030.0,389501.0,PASS,139.0,1460.0,PASS,True,asthma,asthma,asthma,1,1.0,1.0,True,True,False,same_informative_tokens,Asthma,J45 Asthma
D050197,Atherosclerosis,Atherosclerosis,9,9,1,8,1,114.03846153846152,Atherosclerosis,Coronary atherosclerosis,False,1.0,0.5,True,0.7692307692307693,phecode|411.4|both_sexes||,phecode,411.4,both_sexes,,,Coronary atherosclerosis,,,"CSA,EUR",2,phecode-411.4-both_sexes.tsv.bgz,phecode-411.4-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-411.4-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-411.4-both_sexes.tsv.bgz.tbi,191.0,6224.0,h2_z_insignificant,,,,1028.0,7496.0,PASS,59.0,2605.0,h2_z_insignificant,23888.0,382052.0,PASS,114.0,1430.0,h2_z_insignificant,True,atherosclerosi,atherosclerosi | coronary,atherosclerosi,1,1.0,0.5,False,True,False,phenotype_more_specific,Atherosclerosis,Coronary atherosclerosis
D029481,"Bronchitis, Chronic","Bronchitis, Chronic",1,1,1,0,1,255.0,Chronic Bronchitis,Chronic bronchitis,True,1.0,1.0,True,1.0,phecode|496.2|both_sexes||,phecode,496.2,both_sexes,,,Chronic bronchitis,,,"CSA,EUR",2,phecode-496.2-both_sexes.tsv.bgz,phecode-496.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-496.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-496.2-both_sexes.tsv.bgz.tbi,77.0,5999.0,h2_z_insignificant,,,,156.0,7886.0,PASS,,,,11764.0,379656.0,PASS,,,,True,bronchiti | chronic,bronchiti | chronic,bronchiti | chronic,2,1.0,1.0,True,True,False,same_informative_tokens,Chronic Bronchitis,Chronic bronchitis
D029481,"Bronchitis, Chronic","Bronchitis, Chronic",1,1,1,0,2,119.58333333333331,Chronic Bronchitis,Obstructive chronic bronchitis,False,1.0,0.6666666666666666,True,0.75,phecode|496.21|both_sexes||,phecode,496.21,both_sexes,,,Obstructive chronic bronchitis,,,"CSA,EUR",2,phecode-496.21-both_sexes.tsv.bgz,phecode-496.21-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-496.21-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-496.21-both_sexes.tsv.bgz.tbi,74.0,5999.0,h2_z_insignificant,,,,152.0,7886.0,PASS,,,,11537.0,379656.0,PASS,,,,True,bronchiti | chronic,bronchiti | chronic | obstructive,bronchiti | chronic,2,1.0,0.6666666666666666,False,True,False,phenotype_more_specific,Chronic Bronchitis,Obstructive chronic bronchitis
D003920,Diabetes Mellitus,Diabetes Mellitus,13,13,2,11,1,255.0,Diabetes Mellitus,Diabetes mellitus,True,1.0,1.0,True,1.0,phecode|250|both_sexes||,phecode,250,both_sexes,,,Diabetes mellitus,,,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,843.0,5793.0,h2_z_insignificant,,,,1695.0,7181.0,PASS,154.0,2555.0,h2_z_insignificant,24348.0,396181.0,PASS,175.0,1424.0,h2_z_insignificant,True,diabete | mellitu,diabete | mellitu,diabete | mellitu,2,1.0,1.0,True,True,False,same_informative_tokens,Diabetes Mellitus,Diabetes mellitus
D003920,Diabetes Mellitus,Diabetes Mellitus,13,13,2,11,2,108.10714285714286,Diabetes Mellitus,E11 Non-insulin-dependent diabetes mellitus,False,1.0,0.4,True,0.6071428571428571,icd10|E11|both_sexes||,icd10,E11,both_sexes,,,E11 Non-insulin-dependent diabetes mellitus,truncated: true,,"CSA,EUR",2,icd10-E11-both_sexes.tsv.bgz,icd10-E11-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E11-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E11-both_sexes.tsv.bgz.tbi,792.0,5844.0,h2_z_insignificant,,,,1662.0,7214.0,PASS,152.0,2557.0,h2_z_insignificant,22634.0,397897.0,PASS,170.0,1429.0,h2_z_insignificant,True,diabete | mellitu,dependent | diabete | insulin | mellitu | non,diabete | mellitu,2,1.0,0.4,False,True,False,phenotype_more_specific,Diabetes Mellitus,E11 Non-insulin-dependent diabetes mellitus
