indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_rank,candidate_score,matched_mesh_term,matched_phenotype_text,exact_term_match,token_containment,token_jaccard,phrase_inclusion,sequence_similarity,panukb_phenotype_id,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,n_cases_AFR,n_controls_AFR,phenotype_qc_AFR,n_cases_AMR,n_controls_AMR,phenotype_qc_AMR,n_cases_CSA,n_controls_CSA,phenotype_qc_CSA,n_cases_EAS,n_controls_EAS,phenotype_qc_EAS,n_cases_EUR,n_controls_EUR,phenotype_qc_EUR,n_cases_MID,n_controls_MID,phenotype_qc_MID
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,1,51.25,Social Anxiety Disorders,G47 Sleep disorders,False,0.5,0.25,False,0.6666666666666666,icd10|G47|both_sexes||,icd10,G47,both_sexes,,,G47 Sleep disorders,truncated: true,,"CSA,EUR",2,icd10-G47-both_sexes.tsv.bgz,icd10-G47-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-G47-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-G47-both_sexes.tsv.bgz.tbi,140.0,6496.0,h2_z_insignificant,,,,173.0,8703.0,PASS,,,,6557.0,413974.0,PASS,52.0,1547.0,h2_z_insignificant
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,2,51.25,Social Anxiety Disorders,Sleep disorders,False,0.5,0.25,False,0.6666666666666666,phecode|327|both_sexes||,phecode,327,both_sexes,,,Sleep disorders,,,"CSA,EUR",2,phecode-327-both_sexes.tsv.bgz,phecode-327-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-327-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-327-both_sexes.tsv.bgz.tbi,141.0,6495.0,h2_z_insignificant,,,,174.0,8702.0,PASS,,,,6623.0,413908.0,PASS,52.0,1547.0,h2_z_insignificant
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,3,49.43181818181818,Social Anxiety Disorder,Other mental disorder,False,0.5,0.25,False,0.5454545454545454,phecode|306|both_sexes||,phecode,306,both_sexes,,,Other mental disorder,,,"EAS,EUR",2,phecode-306-both_sexes.tsv.bgz,phecode-306-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-306-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-306-both_sexes.tsv.bgz.tbi,310.0,6116.0,h2_z_insignificant,84.0,875.0,n_too_low,464.0,8189.0,h2_z_insignificant,86.0,2585.0,PASS,39711.0,369930.0,PASS,143.0,1419.0,h2_z_insignificant
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,4,37.85034013605442,Social Anxiety Disorders,Alcohol-related disorders,False,0.3333333333333333,0.2,False,0.6122448979591837,phecode|317|both_sexes||,phecode,317,both_sexes,,,Alcohol-related disorders,,,"AFR,EUR",2,phecode-317-both_sexes.tsv.bgz,phecode-317-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-317-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-317-both_sexes.tsv.bgz.tbi,129.0,6272.0,PASS,,,,166.0,8471.0,h2_z_insignificant,,,,16070.0,392046.0,PASS,,,
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,5,36.80225988700565,Social Anxiety Disorders,M51 Other intervertebral disk disorders,False,0.3333333333333333,0.2,False,0.5423728813559322,icd10|M51|both_sexes||,icd10,M51,both_sexes,,,M51 Other intervertebral disk disorders,truncated: true,,"CSA,EUR",2,icd10-M51-both_sexes.tsv.bgz,icd10-M51-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-M51-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-M51-both_sexes.tsv.bgz.tbi,171.0,6465.0,h2_z_insignificant,,,,231.0,8645.0,PASS,,,,9053.0,411478.0,PASS,,,
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,6,36.59119496855346,"Disorder, Social Anxiety",Disorders of lipoid metabolism,False,0.3333333333333333,0.2,False,0.5283018867924528,phecode|272|both_sexes||,phecode,272,both_sexes,,,Disorders of lipoid metabolism,,,"CSA,EUR",2,phecode-272-both_sexes.tsv.bgz,phecode-272-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-272-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-272-both_sexes.tsv.bgz.tbi,744.0,5892.0,h2_z_insignificant,86.0,894.0,n_too_low,1800.0,7076.0,PASS,190.0,2519.0,h2_z_insignificant,44134.0,376397.0,PASS,239.0,1360.0,h2_z_insignificant
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,7,36.34108527131783,"Anxiety Disorder, Social",Tobacco use disorder,False,0.3333333333333333,0.2,False,0.5116279069767442,phecode|318|both_sexes||,phecode,318,both_sexes,,,Tobacco use disorder,,,"EAS,EUR",2,phecode-318-both_sexes.tsv.bgz,phecode-318-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-318-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-318-both_sexes.tsv.bgz.tbi,254.0,6272.0,h2_z_insignificant,,,,275.0,8471.0,h2_z_insignificant,50.0,2641.0,PASS,14988.0,392046.0,PASS,81.0,1493.0,h2_z_insignificant
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,8,34.666666666666664,"Anxiety Disorder, Social",Other disorders of circulatory system,False,0.3333333333333333,0.2,False,0.4,phecode|459|both_sexes||,phecode,459,both_sexes,,,Other disorders of circulatory system,,,"CSA,EUR",2,phecode-459-both_sexes.tsv.bgz,phecode-459-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-459-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-459-both_sexes.tsv.bgz.tbi,354.0,6219.0,h2_z_insignificant,,,,384.0,8342.0,PASS,54.0,2626.0,h2_z_insignificant,21420.0,392807.0,PASS,54.0,1524.0,h2_z_insignificant
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,9,31.78932178932179,"Anxiety Disorder, Social",F17 Mental and behavioural disorders due to use of tobacco,False,0.3333333333333333,0.1111111111111111,False,0.4155844155844156,icd10|F17|both_sexes||,icd10,F17,both_sexes,,,F17 Mental and behavioural disorders due to use of tobacco,truncated: true,,"EAS,EUR",2,icd10-F17-both_sexes.tsv.bgz,icd10-F17-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-F17-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-F17-both_sexes.tsv.bgz.tbi,254.0,6382.0,h2_z_insignificant,,,,275.0,8601.0,h2_z_insignificant,50.0,2659.0,PASS,14937.0,405594.0,PASS,81.0,1518.0,h2_z_insignificant
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,10,8.275862068965518,Social Phobia,Abdominal hernia,False,0.0,0.0,False,0.5517241379310345,phecode|550|both_sexes||,phecode,550,both_sexes,,,Abdominal hernia,,,"EAS,EUR",2,phecode-550-both_sexes.tsv.bgz,phecode-550-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-550-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-550-both_sexes.tsv.bgz.tbi,617.0,6019.0,h2_z_insignificant,112.0,868.0,n_too_low,,,,128.0,2581.0,PASS,56668.0,363863.0,PASS,224.0,1375.0,h2_z_insignificant
