indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_rank,candidate_score,matched_mesh_term,matched_phenotype_text,exact_term_match,token_containment,token_jaccard,phrase_inclusion,sequence_similarity,panukb_phenotype_id,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,n_cases_AFR,n_controls_AFR,phenotype_qc_AFR,n_cases_AMR,n_controls_AMR,phenotype_qc_AMR,n_cases_CSA,n_controls_CSA,phenotype_qc_CSA,n_cases_EAS,n_controls_EAS,phenotype_qc_EAS,n_cases_EUR,n_controls_EUR,phenotype_qc_EUR,n_cases_MID,n_controls_MID,phenotype_qc_MID,strong_lexical_candidate,informative_mesh_tokens,informative_phenotype_tokens,shared_informative_tokens,n_shared_informative_tokens,conservative_containment,conservative_jaccard,exact_normalized_term,normalized_phrase_inclusion,subtype_conflict,scope_relation,conservative_matched_mesh_term,conservative_matched_phenotype_text,mapping_tier,mapping_status,mapping_rationale,adjudication_rule,source_resource,source_manifest_filename,source_manifest_md5,source_manifest_sha256,source_manifest_size_bytes,genome_build
D019973,Alcohol-Related Disorders,Alcohol-Related Disorders,1,1,0,1,1,255.0,Alcohol Related Disorders,Alcohol-related disorders,True,1.0,1.0,True,1.0,phecode|317|both_sexes||,phecode,317,both_sexes,,,Alcohol-related disorders,,,"AFR,EUR",2,phecode-317-both_sexes.tsv.bgz,phecode-317-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-317-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-317-both_sexes.tsv.bgz.tbi,129.0,6272.0,PASS,,,,166.0,8471.0,h2_z_insignificant,,,,16070.0,392046.0,PASS,,,,True,alcohol | related,alcohol | related,alcohol | related,2,1.0,1.0,True,True,False,same_informative_tokens,Alcohol Related Disorders,Alcohol-related disorders,Direct,Locked,Exact disease endpoint: Alcohol-related disorders.,Exact disease endpoint or exact accepted clinical synonym; broader and narrower alternatives excluded.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,1420758,GRCh37
D001249,Asthma,Asthma,29,29,4,25,1,255.0,Asthma,J45 Asthma,True,1.0,1.0,True,1.0,icd10|J45|both_sexes||,icd10,J45,both_sexes,,,J45 Asthma,truncated: true,,"CSA,EUR,MID",3,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,573.0,6063.0,h2_z_insignificant,64.0,916.0,n_too_low,900.0,7976.0,PASS,149.0,2560.0,h2_z_insignificant,31030.0,389501.0,PASS,139.0,1460.0,PASS,True,asthma,asthma,asthma,1,1.0,1.0,True,True,False,same_informative_tokens,Asthma,J45 Asthma,Direct,Locked,Exact disease endpoint: ICD-10 J45 Asthma.,Exact disease endpoint or exact accepted clinical synonym; broader and narrower alternatives excluded.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,1420758,GRCh37
D029481,"Bronchitis, Chronic","Bronchitis, Chronic",1,1,1,0,1,255.0,Chronic Bronchitis,Chronic bronchitis,True,1.0,1.0,True,1.0,phecode|496.2|both_sexes||,phecode,496.2,both_sexes,,,Chronic bronchitis,,,"CSA,EUR",2,phecode-496.2-both_sexes.tsv.bgz,phecode-496.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-496.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-496.2-both_sexes.tsv.bgz.tbi,77.0,5999.0,h2_z_insignificant,,,,156.0,7886.0,PASS,,,,11764.0,379656.0,PASS,,,,True,bronchiti | chronic,bronchiti | chronic,bronchiti | chronic,2,1.0,1.0,True,True,False,same_informative_tokens,Chronic Bronchitis,Chronic bronchitis,Direct,Locked,Exact disease endpoint: Chronic bronchitis; excludes narrower obstructive chronic bronchitis.,Exact disease endpoint or exact accepted clinical synonym; broader and narrower alternatives excluded.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,1420758,GRCh37
D003920,Diabetes Mellitus,Diabetes Mellitus,13,13,2,11,1,255.0,Diabetes Mellitus,Diabetes mellitus,True,1.0,1.0,True,1.0,phecode|250|both_sexes||,phecode,250,both_sexes,,,Diabetes mellitus,,,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,843.0,5793.0,h2_z_insignificant,,,,1695.0,7181.0,PASS,154.0,2555.0,h2_z_insignificant,24348.0,396181.0,PASS,175.0,1424.0,h2_z_insignificant,True,diabete | mellitu,diabete | mellitu,diabete | mellitu,2,1.0,1.0,True,True,False,same_informative_tokens,Diabetes Mellitus,Diabetes mellitus,Direct,Locked,Exact broad endpoint: Diabetes mellitus; excludes the narrower type 2 endpoint.,Exact disease endpoint or exact accepted clinical synonym; broader and narrower alternatives excluded.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,1420758,GRCh37
D003924,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2",18,18,9,9,2,255.0,Type 2 Diabetes,Type 2 diabetes,True,1.0,1.0,True,1.0,phecode|250.2|both_sexes||,phecode,250.2,both_sexes,,,Type 2 diabetes,,,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,796.0,5793.0,h2_z_insignificant,,,,1664.0,7181.0,PASS,152.0,2555.0,h2_z_insignificant,22768.0,396181.0,PASS,170.0,1424.0,h2_z_insignificant,True,diabete | type,diabete | type,diabete | type,2,1.0,1.0,True,True,False,same_informative_tokens,Type 2 Diabetes,Type 2 diabetes,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Exact disease endpoint or exact accepted clinical synonym; broader and narrower alternatives excluded.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,1420758,GRCh37
D005764,Gastroesophageal Reflux,Gastroesophageal Reflux,2,2,1,1,1,255.0,GERD,GERD,True,1.0,1.0,True,1.0,phecode|530.11|both_sexes||,phecode,530.11,both_sexes,,,GERD,,,"EUR,MID",2,phecode-530.11-both_sexes.tsv.bgz,phecode-530.11-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-530.11-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-530.11-both_sexes.tsv.bgz.tbi,395.0,6018.0,h2_z_insignificant,63.0,870.0,n_too_low,729.0,7743.0,h2_z_insignificant,117.0,2516.0,h2_z_insignificant,29975.0,371349.0,PASS,128.0,1400.0,PASS,True,gerd,gerd,gerd,1,1.0,1.0,True,True,False,same_informative_tokens,GERD,GERD,Direct,Locked,Exact endpoint: GERD; excludes broader esophagitis/related-disease phenotype.,Exact disease endpoint or exact accepted clinical synonym; broader and narrower alternatives excluded.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,1420758,GRCh37
D006973,Hypertension,Hypertension,19,19,8,11,1,255.0,Hypertension,Hypertension,True,1.0,1.0,True,1.0,phecode|401|both_sexes||,phecode,401,both_sexes,,,Hypertension,,,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,2037.0,4589.0,h2_z_insignificant,160.0,816.0,n_too_low,2690.0,6170.0,PASS,431.0,2272.0,h2_z_insignificant,94311.0,325488.0,PASS,348.0,1245.0,h2_z_insignificant,True,hypertension,hypertension,hypertension,1,1.0,1.0,True,True,False,same_informative_tokens,Hypertension,Hypertension,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Exact disease endpoint or exact accepted clinical synonym; broader and narrower alternatives excluded.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,1420758,GRCh37
D009765,Obesity,Obesity,31,31,4,27,1,255.0,Obesity,E66 Obesity,True,1.0,1.0,True,1.0,icd10|E66|both_sexes||,icd10,E66,both_sexes,,,E66 Obesity,truncated: true,,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,421.0,6215.0,h2_z_insignificant,,,,362.0,8514.0,h2_z_insignificant,,,,15917.0,404614.0,PASS,79.0,1520.0,PASS,True,obesity,obesity,obesity,1,1.0,1.0,True,True,False,same_informative_tokens,Obesity,E66 Obesity,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Exact disease endpoint or exact accepted clinical synonym; broader and narrower alternatives excluded.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,1420758,GRCh37
D010003,Osteoarthritis,Osteoarthritis,2,2,1,1,1,255.0,Osteoarthrosis,Osteoarthrosis,True,1.0,1.0,True,1.0,phecode|740|both_sexes||,phecode,740,both_sexes,,,Osteoarthrosis,,,"EUR,MID",2,phecode-740-both_sexes.tsv.bgz,phecode-740-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-740-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-740-both_sexes.tsv.bgz.tbi,423.0,6213.0,h2_z_insignificant,53.0,927.0,n_too_low,547.0,8329.0,h2_z_insignificant,74.0,2635.0,h2_z_insignificant,36073.0,384458.0,PASS,86.0,1513.0,PASS,True,osteoarthrosi,osteoarthrosi,osteoarthrosi,1,1.0,1.0,True,True,False,same_informative_tokens,Osteoarthrosis,Osteoarthrosis,Direct,Locked,Exact endpoint synonym: Osteoarthrosis for osteoarthritis; excludes site-specific hip/knee arthrosis.,Exact disease endpoint or exact accepted clinical synonym; broader and narrower alternatives excluded.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,1420758,GRCh37
D029424,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,1,133.875,Chronic Obstructive Pulmonary Disease,J44 Other chronic obstructive pulmonary disease,False,1.0,1.0,True,0.925,icd10|J44|both_sexes||,icd10,J44,both_sexes,,,J44 Other chronic obstructive pulmonary disease,truncated: true,,"CSA,EUR",2,icd10-J44-both_sexes.tsv.bgz,icd10-J44-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J44-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J44-both_sexes.tsv.bgz.tbi,74.0,6562.0,h2_z_insignificant,,,,152.0,8724.0,PASS,,,,11536.0,408995.0,PASS,,,,True,chronic | obstructive | pulmonary,chronic | obstructive | pulmonary,chronic | obstructive | pulmonary,3,1.0,1.0,False,True,False,same_informative_tokens,Chronic Obstructive Pulmonary Disease,J44 Other chronic obstructive pulmonary disease,Direct,Locked,Exact disease endpoint: ICD-10 J44 chronic obstructive pulmonary disease.,Exact disease endpoint or exact accepted clinical synonym; broader and narrower alternatives excluded.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,1420758,GRCh37
