indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_1_id,candidate_1_description,candidate_1_pops_pass_qc,candidate_1_score,candidate_1_matched_mesh_term,candidate_2_id,candidate_2_description,candidate_2_pops_pass_qc,candidate_2_score,candidate_2_matched_mesh_term,candidate_3_id,candidate_3_description,candidate_3_pops_pass_qc,candidate_3_score,candidate_3_matched_mesh_term,candidate_4_id,candidate_4_description,candidate_4_pops_pass_qc,candidate_4_score,candidate_4_matched_mesh_term,candidate_5_id,candidate_5_description,candidate_5_pops_pass_qc,candidate_5_score,candidate_5_matched_mesh_term,selected_panukb_phenotype_id,mapping_decision,mapping_rationale,reviewer_notes
D009765,Obesity,Obesity,31,31,4,27,icd10|E66|both_sexes||,E66 Obesity,"EUR,MID",255.0,Obesity,phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",6.25,Obesity,icd10|K80|both_sexes||,K80 Cholelithiasis,"EAS,EUR",5.7142857142857135,Obesity,phecode|574.1|both_sexes||,Cholelithiasis,"EAS,EUR",5.7142857142857135,Obesity,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",5.7142857142857135,Obesity,,,,
D001249,Asthma,Asthma,29,29,4,25,icd10|J45|both_sexes||,J45 Asthma,"CSA,EUR,MID",255.0,Asthma,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",7.9411764705882355,"Asthma, Bronchial",icd10|K44|both_sexes||,K44 Diaphragmatic hernia,"EUR,MID",7.5,"Asthma, Bronchial",phecode|550.2|both_sexes||,Diaphragmatic hernia,"CSA,EUR,MID",7.5,"Asthma, Bronchial",phecode|496.21|both_sexes||,Obstructive chronic bronchitis,"CSA,EUR",7.173913043478261,"Asthma, Bronchial",,,,
D003093,"Colitis, Ulcerative","Colitis, Ulcerative",26,26,2,24,phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",39.34615384615385,"Inflammatory Bowel Disease, Ulcerative Colitis Type",phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",30.625,"Inflammatory Bowel Disease, Ulcerative Colitis Type",phecode|714|both_sexes||,Rheumatoid arthritis and other inflammatory polyarthropathies,"CSA,EUR",26.084834834834837,"Inflammatory Bowel Disease, Ulcerative Colitis Type",phecode|411.8|both_sexes||,"Other chronic ischemic heart disease, unspecified","CSA,EAS,EUR",25.036848072562357,"Inflammatory Bowel Disease, Ulcerative Colitis Type",icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",24.953703703703702,"Inflammatory Bowel Disease, Ulcerative Colitis Type",,,,
D006949,Hyperlipidemias,Hyperlipidemias,22,22,4,18,icd10|K80|both_sexes||,K80 Cholelithiasis,"EAS,EUR",7.777777777777778,Hyperlipemias,phecode|574.1|both_sexes||,Cholelithiasis,"EAS,EUR",7.777777777777778,Hyperlipemias,phecode|401|both_sexes||,Hypertension,"CSA,EUR",7.5,Hyperlipemia,phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",7.0,Hyperlipidemias,phecode|327.3|both_sexes||,Sleep apnea,"CSA,EUR",6.666666666666666,Lipemia,,,,
D029424,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,icd10|J44|both_sexes||,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",133.875,Chronic Obstructive Pulmonary Disease,phecode|496.21|both_sexes||,Obstructive chronic bronchitis,"CSA,EUR",65.07526881720429,Chronic Obstructive Lung Disease,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",53.872549019607845,Chronic Obstructive Pulmonary Disease,phecode|411.8|both_sexes||,"Other chronic ischemic heart disease, unspecified","CSA,EAS,EUR",51.931372549019606,Chronic Obstructive Pulmonary Disease,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",49.07608695652174,Chronic Airflow Obstructions,,,,
D003424,Crohn Disease,Crohn Disease,19,19,1,18,phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",49.82142857142857,Crohn Disease,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",47.97826086956522,Crohn's Disease,icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",47.0,Crohn's Disease,icd10|J44|both_sexes||,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",46.741379310344826,Crohn's Disease,phecode|411.8|both_sexes||,"Other chronic ischemic heart disease, unspecified","CSA,EAS,EUR",45.69047619047619,Crohn's Disease,,,,
D006973,Hypertension,Hypertension,19,19,8,11,phecode|401|both_sexes||,Hypertension,"CSA,EUR",255.0,Hypertension,phecode|401.1|both_sexes||,Essential hypertension,"CSA,EUR",113.08823529411765,Hypertension,icd10|F32|both_sexes||,F32 Depressive episode,"CSA,EUR",7.297297297297297,"Blood Pressure, High",phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",6.666666666666666,Hypertension,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",6.363636363636364,Hypertension,,,,
D003924,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2",18,18,9,9,icd10|E11|both_sexes||,E11 Non-insulin-dependent diabetes mellitus,"CSA,EUR",255.0,Non-Insulin-Dependent Diabetes Mellitus,phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",255.0,Type 2 Diabetes,phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",120.77235772357723,"Diabetes Mellitus, Stable",icd10|E66|both_sexes||,E66 Obesity,"EUR,MID",6.818181818181818,"Diabetes, Type 2",phecode|401|both_sexes||,Hypertension,"CSA,EUR",6.666666666666666,Type 2 Diabetes,,,,
D007249,Inflammation,Inflammation,18,18,1,17,phecode|714|both_sexes||,Rheumatoid arthritis and other inflammatory polyarthropathies,"CSA,EUR",34.24157303370786,Innate Inflammatory Response,phecode|785|both_sexes||,Abdominal pain,"CSA,EUR",6.923076923076923,Inflammation,icd10|K44|both_sexes||,K44 Diaphragmatic hernia,"EUR,MID",6.5625,Inflammation,phecode|550.2|both_sexes||,Diaphragmatic hernia,"CSA,EUR,MID",6.5625,Inflammation,icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,"EUR,MID",6.338028169014084,Innate Inflammatory Responses,,,,
D001943,Breast Neoplasms,Breast Neoplasms,16,16,2,14,phecode|594|both_sexes||,Urinary calculus,"CSA,EUR",7.741935483870968,Mammary Cancers,phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",7.5,Breast Malignant Tumors,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",7.5,Breast Neoplasm,icd10|N20|both_sexes||,N20 Calculus of kidney and ureter,"CSA,EUR",7.346938775510204,Cancer of the Breast,phecode|760|both_sexes||,Back pain,"CSA,EUR",7.199999999999999,Breast Carcinoma,,,,
