ti_uid,gene,indication_mesh_id,indication_mesh_term,ccat,year_launch,supported,pool,initial_set,replication_set,all_set,n_studies_total,n_studies_initial,n_studies_replication,n_ancestries_initial,n_ancestries_replication,n_ancestries_all,has_replication,panukb_phenotype_id,trait_type,phenocode,description,pops_pass_qc,num_pops_pass_qc,filename,filename_tabix,aws_path,aws_path_tabix,mapping_tier,mapping_status,mapping_rationale,source_resource,source_manifest_filename,source_manifest_md5,source_manifest_sha256,genome_build
ABCC8-D003920,ABCC8,D003920,Diabetes Mellitus,Launched,2019.0,True,A,['African' 'East Asian' 'European' 'South Asian'],[],['African' 'East Asian' 'European' 'South Asian'],6,6,0,4,0,4,False,phecode|250|both_sexes||,phecode,250,Diabetes mellitus,"CSA,EUR",2,phecode-250-both_sexes.tsv.bgz,phecode-250-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Diabetes mellitus; excludes the narrower type 2 endpoint.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ABCC8-D003924,ABCC8,D003924,"Diabetes Mellitus, Type 2",Launched,,True,A,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",['East Asian' 'European' 'NR' 'South Asian'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",16,16,6,5,3,5,True,phecode|250.2|both_sexes||,phecode,250.2,Type 2 diabetes,"CSA,EUR",2,phecode-250.2-both_sexes.tsv.bgz,phecode-250.2-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-250.2-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-250.2-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: Type 2 diabetes.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ACE-D006973,ACE,D006973,Hypertension,Launched,2013.0,True,A,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",['East Asian' 'European' 'NR'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",14,14,4,8,2,8,True,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ADIPOR2-D009765,ADIPOR2,D009765,Obesity,Phase I,,True,B,['European'],[],['European'],1,1,0,1,0,1,False,icd10|E66|both_sexes||,icd10,E66,E66 Obesity,"EUR,MID",2,icd10-E66-both_sexes.tsv.bgz,icd10-E66-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-E66-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-E66-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 E66 Obesity.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ADORA1-D001249,ADORA1,D001249,Asthma,Phase II,,True,B,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['European' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],13,13,3,4,1,4,True,icd10|J45|both_sexes||,icd10,J45,J45 Asthma,"CSA,EUR,MID",3,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J45 Asthma.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ADORA1-D029424,ADORA1,D029424,"Pulmonary Disease, Chronic Obstructive",Phase II,,True,B,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],['European' 'NR'],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'],13,13,3,4,1,4,True,icd10|J44|both_sexes||,icd10,J44,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",2,icd10-J44-both_sexes.tsv.bgz,icd10-J44-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J44-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J44-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J44 chronic obstructive pulmonary disease.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ADORA2B-D001249,ADORA2B,D001249,Asthma,Phase I,,True,B,['European'],[],['European'],1,1,0,1,0,1,False,icd10|J45|both_sexes||,icd10,J45,J45 Asthma,"CSA,EUR,MID",3,icd10-J45-both_sexes.tsv.bgz,icd10-J45-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-J45-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-J45-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact disease endpoint: ICD-10 J45 Asthma.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ADRA1A-D006973,ADRA1A,D006973,Hypertension,Phase III,,True,B,['European'],[],['European'],1,1,0,1,0,1,False,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ADRA2B-D006973,ADRA2B,D006973,Hypertension,Launched,,True,A,['East Asian' 'European'],['European'],['East Asian' 'European'],5,5,3,2,1,2,True,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
ADRA2C-D006973,ADRA2C,D006973,Hypertension,Launched,,True,A,['European'],[],['European'],2,2,0,1,0,1,False,phecode|401|both_sexes||,phecode,401,Hypertension,"CSA,EUR",2,phecode-401-both_sexes.tsv.bgz,phecode-401-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-401-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-401-both_sexes.tsv.bgz.tbi,Direct,Locked,Exact broad endpoint: Hypertension; excludes narrower essential hypertension.,Pan-UK Biobank,phenotype_manifest.tsv.bgz,0735065d06ea8ffb098c119ef419c821,58343c50b06be5cee7a56a1d1a38c30065aa4321a8d8e6b3471d971e0a5b812c,GRCh37
