indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,n_conservative_candidates,candidate_1_id,candidate_1_description,candidate_1_pops_pass_qc,candidate_1_scope_relation,candidate_1_shared_tokens,candidate_1_subtype_conflict,selected_panukb_phenotype_id,mapping_decision,mapping_rationale,reviewer_notes,candidate_2_id,candidate_2_description,candidate_2_pops_pass_qc,candidate_2_scope_relation,candidate_2_shared_tokens,candidate_2_subtype_conflict,candidate_3_id,candidate_3_description,candidate_3_pops_pass_qc,candidate_3_scope_relation,candidate_3_shared_tokens,candidate_3_subtype_conflict
D009765,Obesity,Obesity,31,31,4,27,1,icd10|E66|both_sexes||,E66 Obesity,"EUR,MID",same_informative_tokens,obesity,False,,,,,,,,,,,,,,,,
D001249,Asthma,Asthma,29,29,4,25,1,icd10|J45|both_sexes||,J45 Asthma,"CSA,EUR,MID",same_informative_tokens,asthma,False,,,,,,,,,,,,,,,,
D003093,"Colitis, Ulcerative","Colitis, Ulcerative",26,26,2,24,0,,,,,,,,,,,,,,,,,,,,,,
D006949,Hyperlipidemias,Hyperlipidemias,22,22,4,18,0,,,,,,,,,,,,,,,,,,,,,,
D029424,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,1,icd10|J44|both_sexes||,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",same_informative_tokens,chronic | obstructive | pulmonary,False,,,,,,,,,,,,,,,,
D003424,Crohn Disease,Crohn Disease,19,19,1,18,0,,,,,,,,,,,,,,,,,,,,,,
D006973,Hypertension,Hypertension,19,19,8,11,2,phecode|401|both_sexes||,Hypertension,"CSA,EUR",same_informative_tokens,hypertension,False,,,,,phecode|401.1|both_sexes||,Essential hypertension,"CSA,EUR",phenotype_more_specific,hypertension,False,,,,,,
D003924,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2",18,18,9,9,3,icd10|E11|both_sexes||,E11 Non-insulin-dependent diabetes mellitus,"CSA,EUR",same_informative_tokens,dependent | diabete | insulin | mellitu | non,False,,,,,phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",same_informative_tokens,diabete | type,False,phecode|250|both_sexes||,Diabetes mellitus,"CSA,EUR",phenotype_broader,diabete | mellitu,False
D007249,Inflammation,Inflammation,18,18,1,17,0,,,,,,,,,,,,,,,,,,,,,,
D001943,Breast Neoplasms,Breast Neoplasms,16,16,2,14,0,,,,,,,,,,,,,,,,,,,,,,
D011471,Prostatic Neoplasms,Prostatic Neoplasms,16,16,1,15,0,,,,,,,,,,,,,,,,,,,,,,
D001172,"Arthritis, Rheumatoid","Arthritis, Rheumatoid",15,15,3,12,1,phecode|714|both_sexes||,Rheumatoid arthritis and other inflammatory polyarthropathies,"CSA,EUR",phenotype_more_specific,arthriti | rheumatoid,False,,,,,,,,,,,,,,,,
D015179,Colorectal Neoplasms,Colorectal Neoplasms,14,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,
D006937,Hypercholesterolemia,Hypercholesterolemia,14,14,3,11,0,,,,,,,,,,,,,,,,,,,,,,
D015228,Hypertriglyceridemia,Hypertriglyceridemia,14,14,3,11,0,,,,,,,,,,,,,,,,,,,,,,
