indication_mesh_id,indication_mesh_term,n_pairs,n_genes,n_A,n_B,has_exact_candidate,best_overall_score,binary_candidate_1,binary_candidate_2,binary_candidate_3,selected_panukb_phenotype_id,mapping_tier,mapping_rationale,reviewer_notes,exclude_reason,quantitative_candidate_1,quantitative_candidate_2
D009765,Obesity,31,31,4,27,False,79.5079365079365,"id=icd10|E66|both_sexes|| | type=icd10 | description=E66 Obesity | pops=EUR,MID | N_AFR=421 | N_CSA=362 | N_EUR=15917 | N_MID=79 | rank_score=79.5079365079365 | containment=1.0 | exact=False","id=categorical|1448|both_sexes|1| | type=categorical | description=Bread type | pops=EUR,MID | N_AFR=1820 | N_AMR=236 | N_CSA=2440 | N_EAS=872 | N_EUR=107422 | N_MID=386 | rank_score=12.435183909629426 | containment=0.0 | exact=False","id=categorical|1940|both_sexes|1940| | type=categorical | description=Irritability | pops=CSA,EUR | N_AFR=1110 | N_AMR=270 | N_CSA=1899 | N_EAS=558 | N_EUR=112713 | N_MID=458 | rank_score=11.509548206800186 | containment=0.0 | exact=False",,,,,,,
D001249,Asthma,29,29,4,25,False,79.0,"id=icd10|J45|both_sexes|| | type=icd10 | description=J45 Asthma | pops=CSA,EUR,MID | N_AFR=573 | N_AMR=64 | N_CSA=900 | N_EAS=149 | N_EUR=31030 | N_MID=139 | rank_score=79.0 | containment=1.0 | exact=False","id=categorical|6152|both_sexes|100| | type=categorical | description=Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor | pops=CSA,EUR | N_AFR=4236 | N_AMR=627 | N_CSA=5986 | N_EAS=1517 | N_EUR=285088 | N_MID=1121 | rank_score=53.14686359110521 | containment=1.0 | exact=False","id=categorical|6152|both_sexes|8| | type=categorical | description=Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor | pops=CSA,EUR | N_AFR=782 | N_AMR=103 | N_CSA=1041 | N_EAS=232 | N_EUR=48560 | N_MID=173 | rank_score=53.14686359110521 | containment=1.0 | exact=False",,,,,,"id=continuous|20153|both_sexes||irnt | type=continuous | description=Forced expiratory volume in 1-second (FEV1), predicted | pops=EUR,MID | N_AMR=138 | N_EUR=137532 | N_MID=130 | rank_score=47.30796586059744 | containment=1.0 | exact=False",
D003093,"Colitis, Ulcerative",26,26,2,24,False,12.02777777777778,"id=icd10|K80|both_sexes|| | type=icd10 | description=K80 Cholelithiasis | pops=EAS,EUR | N_AFR=120 | N_CSA=253 | N_EAS=67 | N_EUR=16983 | rank_score=12.02777777777778 | containment=0.0 | exact=False","id=categorical|20004|both_sexes|1477| | type=categorical | description=Operation code | pops=EUR,MID | N_AFR=557 | N_AMR=118 | N_CSA=666 | N_EAS=254 | N_EUR=21130 | N_MID=102 | rank_score=11.802356020942408 | containment=0.0 | exact=False","id=categorical|20004|both_sexes|1478| | type=categorical | description=Operation code | pops=AFR,EUR | N_AFR=129 | N_AMR=101 | N_CSA=233 | N_EAS=85 | N_EUR=65576 | N_MID=112 | rank_score=11.802356020942408 | containment=0.0 | exact=False",,,,,,,
D006949,Hyperlipidemias,22,22,4,18,False,12.655172413793103,"id=phecode|574.1|both_sexes|| | type=phecode | description=Cholelithiasis | pops=EAS,EUR | N_AFR=120 | N_CSA=255 | N_EAS=68 | N_EUR=17278 | rank_score=12.655172413793103 | containment=0.0 | exact=False","id=icd10|K80|both_sexes|| | type=icd10 | description=K80 Cholelithiasis | pops=EAS,EUR | N_AFR=120 | N_CSA=253 | N_EAS=67 | N_EUR=16983 | rank_score=12.519331243469177 | containment=0.0 | exact=False","id=phecode|250.2|both_sexes|| | type=phecode | description=Type 2 diabetes | pops=CSA,EUR | N_AFR=796 | N_CSA=1664 | N_EAS=152 | N_EUR=22768 | N_MID=170 | rank_score=12.333333333333334 | containment=0.0 | exact=False",,,,,,,
D029424,"Pulmonary Disease, Chronic Obstructive",20,20,3,17,False,82.15266106442577,"id=icd10|J44|both_sexes|| | type=icd10 | description=J44 Other chronic obstructive pulmonary disease | pops=CSA,EUR | N_AFR=74 | N_CSA=152 | N_EUR=11536 | rank_score=82.15266106442577 | containment=1.0 | exact=False","id=phecode|496.21|both_sexes|| | type=phecode | description=Obstructive chronic bronchitis | pops=CSA,EUR | N_AFR=74 | N_CSA=152 | N_EUR=11537 | rank_score=54.56716417910448 | containment=0.6666666666666666 | exact=False","id=phecode|496.2|both_sexes|| | type=phecode | description=Chronic bronchitis | pops=CSA,EUR | N_AFR=77 | N_CSA=156 | N_EUR=11764 | rank_score=41.72727272727273 | containment=0.5 | exact=False",,,,,,"id=continuous|20153|both_sexes||irnt | type=continuous | description=Forced expiratory volume in 1-second (FEV1), predicted | pops=EUR,MID | N_AMR=138 | N_EUR=137532 | N_MID=130 | rank_score=34.953438526277054 | containment=0.6666666666666666 | exact=False",
D003424,Crohn Disease,19,19,1,18,False,14.428571428571429,"id=phecode|411|both_sexes|| | type=phecode | description=Ischemic Heart Disease | pops=CSA,EUR | N_AFR=400 | N_AMR=69 | N_CSA=1374 | N_EAS=103 | N_EUR=37672 | N_MID=163 | rank_score=14.428571428571429 | containment=0.0 | exact=False","id=icd10|I25|both_sexes|| | type=icd10 | description=I25 Chronic ischaemic heart disease | pops=CSA,EUR | N_AFR=302 | N_AMR=52 | N_CSA=1205 | N_EAS=83 | N_EUR=31148 | N_MID=136 | rank_score=14.11111111111111 | containment=0.0 | exact=False","id=categorical|20117|both_sexes|0| | type=categorical | description=Alcohol drinker status | pops=AFR,CSA,EUR,MID | N_AFR=1011 | N_AMR=64 | N_CSA=3558 | N_EAS=555 | N_EUR=13195 | N_MID=469 | rank_score=13.285714285714285 | containment=0.0 | exact=False",,,,,,,
D006973,Hypertension,19,19,8,11,True,198.0,"id=phecode|401|both_sexes|| | type=phecode | description=Hypertension | pops=CSA,EUR | N_AFR=2037 | N_AMR=160 | N_CSA=2690 | N_EAS=431 | N_EUR=94311 | N_MID=348 | rank_score=198.0 | containment=1.0 | exact=True","id=phecode|401.1|both_sexes|| | type=phecode | description=Essential hypertension | pops=CSA,EUR | N_AFR=2026 | N_AMR=158 | N_CSA=2682 | N_EAS=431 | N_EUR=94062 | N_MID=346 | rank_score=77.11764705882354 | containment=1.0 | exact=False","id=categorical|20004|both_sexes|1477| | type=categorical | description=Operation code | pops=EUR,MID | N_AFR=557 | N_AMR=118 | N_CSA=666 | N_EAS=254 | N_EUR=21130 | N_MID=102 | rank_score=13.769230769230768 | containment=0.0 | exact=False",,,,,,,
D003924,"Diabetes Mellitus, Type 2",18,18,9,9,False,84.58536585365854,"id=phecode|250|both_sexes|| | type=phecode | description=Diabetes mellitus | pops=CSA,EUR | N_AFR=843 | N_CSA=1695 | N_EAS=154 | N_EUR=24348 | N_MID=175 | rank_score=84.58536585365854 | containment=1.0 | exact=False","id=phecode|250.2|both_sexes|| | type=phecode | description=Type 2 diabetes | pops=CSA,EUR | N_AFR=796 | N_CSA=1664 | N_EAS=152 | N_EUR=22768 | N_MID=170 | rank_score=76.2051282051282 | containment=1.0 | exact=False","id=icd10|E11|both_sexes|| | type=icd10 | description=E11 Non-insulin-dependent diabetes mellitus | pops=CSA,EUR | N_AFR=792 | N_CSA=1662 | N_EAS=152 | N_EUR=22634 | N_MID=170 | rank_score=53.29962967119291 | containment=0.6666666666666666 | exact=False",,,,,,,
D007249,Inflammation,18,18,1,17,False,13.81046788263283,"id=categorical|6138|both_sexes|100| | type=categorical | description=Qualifications | pops=AFR,CSA,EAS,EUR,MID | N_AFR=931 | N_AMR=130 | N_CSA=1412 | N_EAS=358 | N_EUR=73293 | N_MID=252 | rank_score=13.81046788263283 | containment=0.0 | exact=False","id=categorical|6138|both_sexes|2| | type=categorical | description=Qualifications | pops=EAS,EUR | N_AFR=880 | N_AMR=177 | N_CSA=1399 | N_EAS=416 | N_EUR=112131 | N_MID=272 | rank_score=13.81046788263283 | containment=0.0 | exact=False","id=categorical|6138|both_sexes|3| | type=categorical | description=Qualifications | pops=CSA,EUR,MID | N_AFR=2078 | N_AMR=250 | N_CSA=2398 | N_EAS=574 | N_EUR=195589 | N_MID=353 | rank_score=13.81046788263283 | containment=0.0 | exact=False",,,,,,,
D001943,Breast Neoplasms,16,16,2,14,False,31.167039143245137,"id=categorical|20111|both_sexes|1| | type=categorical | description=Illnesses of siblings | pops=AFR,EUR | N_AFR=233 | N_AMR=57 | N_CSA=1178 | N_EAS=191 | N_EUR=34434 | N_MID=132 | rank_score=31.167039143245137 | containment=0.5 | exact=False","id=categorical|20111|both_sexes|100| | type=categorical | description=Illnesses of siblings | pops=CSA,EUR | N_AFR=2911 | N_AMR=514 | N_CSA=3631 | N_EAS=1325 | N_EUR=223101 | N_MID=767 | rank_score=31.167039143245137 | containment=0.5 | exact=False","id=categorical|20111|both_sexes|101| | type=categorical | description=Illnesses of siblings | pops=AFR,EUR | N_AFR=4471 | N_AMR=635 | N_CSA=6489 | N_EAS=1930 | N_EUR=281648 | N_MID=1060 | rank_score=31.167039143245137 | containment=0.5 | exact=False",,,,,,,
