comparison_uid,gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,comparison_population,unit_analysis_role,mixed_pool,primary_approval_eligible,maf_threshold,gws_p_threshold,min_portability_variants_pre_ld,min_coloc_variants,n_raw_eur_variants,n_raw_comparison_variants,n_raw_shared_rows,n_duplicate_key_rows_excluded,n_harmonized_exact,n_harmonized_swapped,n_harmonized_primary,n_harmonized_sensitivity,n_valid_biallelic_snp,n_valid_beta_se,n_valid_p,n_valid_af,n_maf_pass,n_quality_pass,n_qc_qualified,n_qc_qualified_sensitivity,n_eur_gws_qc,n_comparison_gws_qc,n_eur_gws_qc_sensitivity,n_comparison_gws_qc_sensitivity,sample_metadata_usable,gbmi_swapped_sensitivity_only,n_eur_strand_flip_flagged,n_comparison_strand_flip_flagged,n_eur_diff_af_gnomad_flagged,n_comparison_diff_af_gnomad_flagged,eur_trait_type,eur_coloc_type,eur_n_cases_median,eur_n_controls_median,eur_n_total_median,eur_case_fraction_median,eur_usable,comparison_trait_type,comparison_coloc_type,comparison_n_cases_median,comparison_n_controls_median,comparison_n_total_median,comparison_case_fraction_median,comparison_usable,portability_pre_ld_eligible,portability_failure_reason,coloc_input_eligible,coloc_failure_reason,coloc_powered_both_ancestries,harmonized_parquet,harmonized_sidecar,cache_action,eur_n_cases,eur_n_controls,eur_n_total,eur_case_fraction,comparison_n_cases,comparison_n_controls,comparison_n_total,comparison_case_fraction,is_primary_mapping,is_nonmixed,primary_mechanistic_universe,portability_primary_locked,portability_sensitivity_locked,coloc_primary_locked,coloc_powered_primary_locked,coloc_sensitivity_locked,coloc_powered_sensitivity_locked,approval_analysis_eligible
cmp_ba664b37fee5bc19,gt_519bb947b499daff,GATA3,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,2668,1302,,0,951,2,951,953,885,953,953,953,626,946,576,577.0,19,1,19.0,1.0,True,True,1.0,0.0,7.0,2.0,binary,cc,117670.0,1198773.0,1316443.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,True,intermediate/15b4/comparisons/cmp_ba664b37fee5bc19.parquet,intermediate/15b4/comparisons/cmp_ba664b37fee5bc19.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True
cmp_a76b488e4d6fc321,gt_b5915a3fe7e0c8ef,IL13,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,1807,576,,0,346,0,346,346,316,346,346,346,286,345,260,260.0,225,81,225.0,81.0,True,True,0.0,0.0,1.0,1.0,binary,cc,117670.0,1198773.0,1316443.0,0.08938480435537277,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,True,intermediate/15b4/comparisons/cmp_a76b488e4d6fc321.parquet,intermediate/15b4/comparisons/cmp_a76b488e4d6fc321.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True
cmp_4af752414605f4d3,gt_e0253f9da76890c4,IL1RL1,GBMI,GBMI::Asthma,Asthma,CSA,PRIMARY,False,True,0.01,5e-08,3,50,2435,959,,0,931,0,931,931,931,931,931,931,783,927,779,779.0,397,21,397.0,21.0,True,True,0.0,0.0,4.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,4015.0,27091.0,31106.0,0.12907477657043656,True,True,,True,,True,intermediate/15b4/comparisons/cmp_4af752414605f4d3.parquet,intermediate/15b4/comparisons/cmp_4af752414605f4d3.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True
cmp_17d744d1985fa469,gt_e0253f9da76890c4,IL1RL1,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,2435,1206,,0,849,0,849,849,782,849,849,849,720,839,656,656.0,392,92,392.0,92.0,True,True,1.0,0.0,9.0,2.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,True,intermediate/15b4/comparisons/cmp_17d744d1985fa469.parquet,intermediate/15b4/comparisons/cmp_17d744d1985fa469.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True
cmp_2565e0e2adfe1275,gt_aff18fde645e6a6f,IL4R,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,2598,923,,0,654,0,654,654,607,654,654,654,481,648,437,437.0,163,105,163.0,105.0,True,True,0.0,0.0,6.0,4.0,binary,cc,117670.0,1198773.0,1316443.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,True,intermediate/15b4/comparisons/cmp_2565e0e2adfe1275.parquet,intermediate/15b4/comparisons/cmp_2565e0e2adfe1275.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True
cmp_297fbf716b9104dc,gt_8eacc233dce7b2c8,IL5,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,1826,716,,0,450,0,450,450,406,450,450,450,383,450,345,345.0,224,84,224.0,84.0,True,True,0.0,0.0,0.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,True,intermediate/15b4/comparisons/cmp_297fbf716b9104dc.parquet,intermediate/15b4/comparisons/cmp_297fbf716b9104dc.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True
cmp_a54e8bec4ce3739c,gt_9974caf98cb25074,TSLP,GBMI,GBMI::Asthma,Asthma,EAS,PRIMARY,False,True,0.01,5e-08,3,50,2432,1026,,0,688,2,688,690,653,690,690,690,469,686,439,439.0,198,40,198.0,40.0,True,True,0.0,0.0,4.0,0.0,binary,cc,121940.0,1254131.0,1376071.0,0.08861461363548828,True,binary,cc,18549.0,322655.0,341204.0,0.05436337205894421,True,True,,True,,True,intermediate/15b4/comparisons/cmp_a54e8bec4ce3739c.parquet,intermediate/15b4/comparisons/cmp_a54e8bec4ce3739c.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True
cmp_ed5bdc4e95af264b,gt_2a7e2fce1378c79e,SLC22A12,GBMI,GBMI::Gout,Gout,EAS,PRIMARY,False,True,0.01,5e-08,3,50,1710,662,,0,370,0,370,370,349,370,370,370,254,367,236,236.0,146,99,146.0,99.0,True,True,0.0,0.0,3.0,0.0,binary,cc,24278.0,1027375.0,1051653.0,0.023085561492241263,True,binary,cc,10425.0,338934.0,349359.0,0.029840364782358547,True,True,,True,,True,intermediate/15b4/comparisons/cmp_ed5bdc4e95af264b.parquet,intermediate/15b4/comparisons/cmp_ed5bdc4e95af264b.json,PROCESSED_NOW,,,,,,,,,True,True,True,True,True,True,True,True,True,True
cmp_23670cc5cddedef4,gt_0b0678ba83486ccf,APOE,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,CSA,PRIMARY,False,True,0.01,5e-08,3,50,1735,1735,1735.0,0,1735,0,1735,1735,1600,1095,1095,1095,699,991,612,,403,11,,,True,False,,,,,biomarkers,quant,,,,,True,biomarkers,quant,,,,,True,True,,True,,True,intermediate/15b4/comparisons/cmp_23670cc5cddedef4.parquet,intermediate/15b4/comparisons/cmp_23670cc5cddedef4.json,PROCESSED_NOW,400223.0,,400223.0,,8404.0,,8404.0,,True,True,True,True,True,True,True,True,True,True
cmp_899b25b2a6459d69,gt_38057e29398d09a6,CSF3,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,CSA,PRIMARY,False,True,0.01,5e-08,3,50,2247,2247,2247.0,0,2247,0,2247,2247,2073,1020,1020,1020,597,886,502,,395,151,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,True,,True,,True,intermediate/15b4/comparisons/cmp_899b25b2a6459d69.parquet,intermediate/15b4/comparisons/cmp_899b25b2a6459d69.json,PROCESSED_NOW,407265.0,,407265.0,,8502.0,,8502.0,,True,True,True,True,True,True,True,True,True,True
