gene,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,canonical_group,gene_trait_uid,unit_analysis_role,locked_mapping_tier,mapping_tiers_contributing,roles_contributing,n_pair_trait_rows,n_target_indication_pairs,n_indications,indication_mesh_ids,indications,pools,n_A_pairs,n_B_pairs,mixed_pool,primary_approval_eligible,sensitivity_pool_assignment,pops_available,non_eur_pops_available,mapping_uids
ADORA1,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_24b34ddef722adb5,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
ADORA2B,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_d1a63f782d9591b6,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
ADRB2,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_d9617b3ca0a01afd,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,A,1,0,False,True,A,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
CHRM3,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_17737ee47ab15a2c,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
CSF2,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_8ec8b2adc38392c6,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
FGFR3,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_5a1238ab72b04b53,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
GATA3,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_519bb947b499daff,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
HRH4,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_9e0993252b567190,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
IL13,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_b5915a3fe7e0c8ef,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
IL17RB,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_643969c79b356830,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
IL1RL1,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_e0253f9da76890c4,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
IL3,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Asthma,gt_ceb57718dd9864a2,PRIMARY,Direct disease,Direct disease,PRIMARY,1,1,1,D001249,Asthma,B,0,1,False,True,B,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",map_142944bd2f968395
