pair_trait_uid,ti_uid,gene,pool,indication_mesh_id,indication_mesh_term,analysis_role,locked_mapping_tier,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,canonical_group,pops_available,non_eur_pops_available,mapping_uid,mapping_rationale,locking_reason,indication_mesh_term_pair,ccat,year_launch,supported,initial_set,replication_set,all_set,n_studies_total,n_studies_initial,n_studies_replication,n_ancestries_initial,n_ancestries_replication,n_ancestries_all,has_replication,indication_mesh_term_mapping,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,mapping_tier,clinical_domain,source_verified,candidate_status,reviewer_decision,reviewer_notes
pt_c1b15018069c5663,ABCA1-D006949,ABCA1,B,D006949,Hyperlipidemias,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::biomarkers|30640|both_sexes||irnt,Apolipoprotein B,biomarkers|30640|both_sexes||irnt,GRCh37,apolipoprotein_b,"CSA,EUR",CSA,map_431e4b5a762bae69,Circulating lipid measure directly represents the indication construct.,Retained only for prespecified sensitivity analysis.,Hyperlipidemias,Phase I,,True,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",['East Asian' 'European' 'NR'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",31,31,8,5,2,5,True,Hyperlipidemias,Hyperlipidemias,22,22,4,18,Direct quantitative readout,lipids,True,REVIEW,,
pt_dcaf9fb8ec820471,ABCA1-D006949,ABCA1,B,D006949,Hyperlipidemias,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::biomarkers|30690|both_sexes||irnt,Cholesterol,biomarkers|30690|both_sexes||irnt,GRCh37,total_cholesterol,"CSA,EUR",CSA,map_c7d4a03a9508b750,Circulating lipid measure directly represents the indication construct.,Retained only for prespecified sensitivity analysis.,Hyperlipidemias,Phase I,,True,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",['East Asian' 'European' 'NR'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",31,31,8,5,2,5,True,Hyperlipidemias,Hyperlipidemias,22,22,4,18,Direct quantitative readout,lipids,True,REVIEW,,
pt_1875f3e441880e05,ABCA1-D006949,ABCA1,B,D006949,Hyperlipidemias,PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,biomarkers|30780|both_sexes||irnt,GRCh37,ldl_cholesterol,"CSA,EUR",CSA,map_8442195d65e17d61,Circulating lipid measure directly represents the indication construct.,Locked as the single primary representation of this indication.,Hyperlipidemias,Phase I,,True,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",['East Asian' 'European' 'NR'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",31,31,8,5,2,5,True,Hyperlipidemias,Hyperlipidemias,22,22,4,18,Direct quantitative readout,lipids,True,REVIEW,,
pt_ce2a97344ead232f,ABCC8-D003920,ABCC8,A,D003920,Diabetes Mellitus,PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,"CSA,EUR,MID","CSA,MID",map_0c8c975606285aeb,HbA1c is a standard quantitative measure of chronic glycemia.,Locked as the single primary representation of this indication.,Diabetes Mellitus,Launched,2019.0,True,['African' 'East Asian' 'European' 'South Asian'],[],['African' 'East Asian' 'European' 'South Asian'],6,6,0,4,0,4,False,Diabetes Mellitus,Diabetes Mellitus,13,13,2,11,Direct quantitative readout,glycemia,True,REVIEW,,
pt_bba238e778d723bf,ABCC8-D003924,ABCC8,A,D003924,"Diabetes Mellitus, Type 2",PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,hba1c,"CSA,EUR,MID","CSA,MID",map_ae8d9a8f89a7795e,HbA1c is a standard quantitative measure of chronic glycemia.,Locked as the single primary representation of this indication.,"Diabetes Mellitus, Type 2",Launched,,True,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",['East Asian' 'European' 'NR' 'South Asian'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'South Asian']",16,16,6,5,3,5,True,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2",18,18,9,9,Direct quantitative readout,glycemia,True,REVIEW,,
pt_911d5cc6cbc2b166,ACE-D006973,ACE,A,D006973,Hypertension,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|4079|both_sexes||irnt,"Diastolic blood pressure, automated reading",continuous|4079|both_sexes||irnt,GRCh37,diastolic_blood_pressure,"CSA,EUR",CSA,map_a10198eb08d8bca6,Blood pressure is the defining quantitative phenotype.,Retained only for prespecified sensitivity analysis.,Hypertension,Launched,2013.0,True,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",['East Asian' 'European' 'NR'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",14,14,4,8,2,8,True,Hypertension,Hypertension,19,19,8,11,Direct quantitative readout,blood_pressure,True,REVIEW,,
pt_95c2094488145c4d,ACE-D006973,ACE,A,D006973,Hypertension,PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|4080|both_sexes||irnt,"Systolic blood pressure, automated reading",continuous|4080|both_sexes||irnt,GRCh37,systolic_blood_pressure,"CSA,EAS,EUR","CSA,EAS",map_51438025f9ca1f25,Blood pressure is the defining quantitative phenotype.,Locked as the single primary representation of this indication.,Hypertension,Launched,2013.0,True,"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",['East Asian' 'European' 'NR'],"['African' 'East Asian' 'European' 'Hispanic/Latin American' 'NR'
 'Native American' 'Other' 'Other Asian' 'South Asian']",14,14,4,8,2,8,True,Hypertension,Hypertension,19,19,8,11,Direct quantitative readout,blood_pressure,True,REVIEW,,
pt_2b06be5e5f294a3c,ACVR2A-D013921,ACVR2A,B,D013921,Thrombocytopenia,PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,continuous|30080|both_sexes||irnt,GRCh37,platelet_count,"AFR,CSA,EAS,EUR","AFR,CSA,EAS",map_9fca929f0496a5a9,Platelet count directly represents the indication.,Locked as the single primary representation of this indication.,Thrombocytopenia,Phase II,,True,['European'],[],['European'],1,1,0,1,0,1,False,Thrombocytopenia,Thrombocytopenia,10,10,4,6,Direct quantitative readout,hematology,True,REVIEW,,
pt_e8ee1e18feec8ee3,ACVRL1-D000740,ACVRL1,B,D000740,Anemia,SENSITIVITY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|30030|both_sexes||irnt,Haematocrit percentage,continuous|30030|both_sexes||irnt,GRCh37,haematocrit,"CSA,EUR",CSA,map_97b816746f065ca0,Standard red-cell measures characterize anemia and major subtypes.,Retained only for prespecified sensitivity analysis.,Anemia,Phase II,,True,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],[],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],7,7,0,5,0,5,False,Anemia,Anemia,11,11,4,7,Direct quantitative readout,hematology,True,REVIEW,,
pt_f7f755f53df9b9be,ACVRL1-D000740,ACVRL1,B,D000740,Anemia,PRIMARY,Direct quantitative readout,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,haemoglobin,"CSA,EUR",CSA,map_e6f7fc7e1a195345,Standard red-cell measures characterize anemia and major subtypes.,Locked as the single primary representation of this indication.,Anemia,Phase II,,True,['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],[],['African' 'East Asian' 'European' 'Hispanic/Latin American' 'South Asian'],7,7,0,5,0,5,False,Anemia,Anemia,11,11,4,7,Direct quantitative readout,hematology,True,REVIEW,,
