trait_key,endpoint_code,trait_name,endpoint_type,genome_build,release,source_populations_verified,harmonized_populations_verified,non_eur_populations_verified,n_verified_population_files,eur_file_verified,has_verified_non_eur,eligible_for_cross_ancestry,all_indexes_verified,schema_pass_files,schema_review_or_unchecked_files,data_urls,verification_notes
GBMI::AAA,AAA,Abdominal aortic aneurysm,disease,GRCh38,GBMI_052021,EUR,EUR,,1,True,False,False,True,1,0,https://gbmi-sumstats.s3.amazonaws.com/AAA_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,
GBMI::AcApp,AcApp,Acute appendicitis,disease,GRCh38,GBMI_052021,EUR,EUR,,1,True,False,False,True,1,0,https://gbmi-sumstats.s3.amazonaws.com/AcApp_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,
GBMI::Asthma,Asthma,Asthma,disease,GRCh38,GBMI_052021,"AFR,AMR,EAS,EUR,SAS","AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",5,True,True,True,True,5,0,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_sas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,
GBMI::Appendectomy,Appendectomy,Appendectomy,procedure,GRCh38,GBMI_052021,,,,0,False,False,False,False,0,0,,No release file independently verified
GBMI::COPD,COPD,Chronic obstructive pulmonary disease,disease,GRCh38,GBMI_052021,"AFR,AMR,EAS,EUR","AFR,AMR,EAS,EUR","AFR,AMR,EAS",4,True,True,True,True,4,0,https://gbmi-sumstats.s3.amazonaws.com/COPD_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/COPD_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/COPD_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/COPD_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,
GBMI::Gout,Gout,Gout,disease,GRCh38,GBMI_052021,"AFR,AMR,EAS,EUR","AFR,AMR,EAS,EUR","AFR,AMR,EAS",4,True,True,True,True,4,0,https://gbmi-sumstats.s3.amazonaws.com/Gout_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/Gout_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/Gout_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/Gout_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,
GBMI::HCM,HCM,Hypertrophic cardiomyopathy,disease,GRCh38,GBMI_052021,"EAS,EUR","EAS,EUR",EAS,2,True,True,True,True,2,0,https://gbmi-sumstats.s3.amazonaws.com/HCM_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/HCM_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,
GBMI::HF,HF,Heart failure,disease,GRCh38,GBMI_052021,"AFR,AMR,EAS,EUR","AFR,AMR,EAS,EUR","AFR,AMR,EAS",4,True,True,True,True,4,0,https://gbmi-sumstats.s3.amazonaws.com/HF_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/HF_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/HF_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/HF_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,
GBMI::IPF,IPF,Idiopathic pulmonary fibrosis,disease,GRCh38,GBMI_052021,"AFR,AMR,EAS,EUR","AFR,AMR,EAS,EUR","AFR,AMR,EAS",4,True,True,True,True,4,0,https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/IPF_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,
GBMI::POAG,POAG,Primary open-angle glaucoma,disease,GRCh38,GBMI_052021,"EAS,EUR","EAS,EUR",EAS,2,True,True,True,True,2,0,https://gbmi-sumstats.s3.amazonaws.com/POAG_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz || https://gbmi-sumstats.s3.amazonaws.com/POAG_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,
