endpoint_code,trait_name,endpoint_type,sex_stratum,source_population,harmonized_population,genome_build,release,data_url,index_url,data_exists,index_exists,verification_method,http_status,size_bytes,etag,last_modified,schema_status,schema_columns,sample_size_status,verification_error
AAA,Abdominal aortic aneurysm,disease,Bothsex,EUR,EUR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/AAA_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/AAA_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,891610024,c16f7c97e50c7f266c249b95d03a5724-27,2021-11-09T19:57:53.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
AcApp,Acute appendicitis,disease,Bothsex,EUR,EUR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/AcApp_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/AcApp_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,835993326,edfb9f21a1f6072427733fd9321a00c1-25,2021-11-09T19:57:53.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
Asthma,Asthma,disease,Bothsex,AFR,AFR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,597807518,6e169315421d4ee5edea49cff2b08990-18,2021-11-09T19:57:53.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
Asthma,Asthma,disease,Bothsex,AMR,AMR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,316703425,3a59b1b753064b7fc8ea1306fa0b9ea7-10,2021-11-09T19:57:53.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
Asthma,Asthma,disease,Bothsex,EAS,EAS,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,347330357,0b20a9225e63e55aaa7c1e501075a327-11,2021-11-09T19:58:13.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
Asthma,Asthma,disease,Bothsex,EUR,EUR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,986179593,16fa6cfd69dda74004d14429a34d9b70-30,2021-11-09T19:58:23.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
Asthma,Asthma,disease,Bothsex,SAS,CSA,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_sas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_sas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,242381540,03f29ae5b633defcb23ba9504e9b2425-8,2021-11-09T19:57:54.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
COPD,Chronic obstructive pulmonary disease,disease,Bothsex,AFR,AFR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/COPD_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/COPD_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,573248864,3db473954bd1353df26e7611bdc7ff6a-18,2021-11-09T19:57:54.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
COPD,Chronic obstructive pulmonary disease,disease,Bothsex,AMR,AMR,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/COPD_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/COPD_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,279987670,beb38e5ff1d274b6bc411bf995eb7395-9,2021-11-09T19:58:41.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
COPD,Chronic obstructive pulmonary disease,disease,Bothsex,EAS,EAS,GRCh38,GBMI_052021,https://gbmi-sumstats.s3.amazonaws.com/COPD_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/COPD_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,True,True,public_s3_bucket_listing,200,276897021,7b4a13b329da63998a2a831129dec196-9,2021-11-09T19:57:54.000Z,PASS,CHR	POS	REF	ALT	rsid	all_meta_AF	inv_var_meta_beta	inv_var_meta_sebeta	inv_var_meta_p	inv_var_het_p	direction	N_case	N_ctrl	n_dataset	n_bbk	is_strand_flip	is_diff_AF_gnomAD,"VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"," VARIANT_LEVEL_SAMPLE_FIELDS:N_case,N_ctrl,n_dataset,n_bbk"
