trait_key,source,genome_build,phenotype_id,published_endpoint_code,trait_type,phenocode,trait_name,description_more,coding_description,category,analysis_class,pops_pass_qc,non_eur_pops_pass_qc,num_non_eur_pops_pass_qc,ancestry_status,filename,filename_tabix,remote_data_path,remote_index_path,source_release,mapping_status,n_cases_AFR,n_controls_AFR,phenotype_qc_AFR,n_cases_AMR,n_controls_AMR,phenotype_qc_AMR,n_cases_CSA,n_controls_CSA,phenotype_qc_CSA,n_cases_EAS,n_controls_EAS,phenotype_qc_EAS,n_cases_EUR,n_controls_EUR,phenotype_qc_EUR,n_cases_MID,n_controls_MID,phenotype_qc_MID,clinical_domain,canonical_group,core_priority,selection_method,selection_reason
Pan-UKB::continuous|21001|both_sexes||irnt,Pan-UKB,GRCh37,continuous|21001|both_sexes||irnt,,continuous,21001,Body mass index (BMI),BMI value here is constructed from height and weight measured during the initial Assessment Centre visit. Value is not present if either of these readings were omitted.,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,quantitative_or_biomarker_candidate,"AFR,CSA,EUR,MID","AFR,CSA,MID",3,verified_from_official_manifest,continuous-21001-both_sexes-irnt.tsv.bgz,continuous-21001-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21001-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21001-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6545.0,,PASS,971.0,,n_too_low,8646.0,,PASS,2693.0,,h2_z_insignificant,419163.0,,PASS,1572.0,,PASS,anthropometry,body_mass_index,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|49|both_sexes||irnt,Pan-UKB,GRCh37,continuous|49|both_sexes||irnt,,continuous,49,Hip circumference,Hip circumference,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,quantitative_or_biomarker_candidate,"CSA,EUR,MID","CSA,MID",2,verified_from_official_manifest,continuous-49-both_sexes-irnt.tsv.bgz,continuous-49-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-49-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-49-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6567.0,,h2_z_insignificant,975.0,,n_too_low,8782.0,,PASS,2698.0,,h2_z_insignificant,419757.0,,PASS,1576.0,,PASS,anthropometry,hip_circumference,secondary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|50|both_sexes||irnt,Pan-UKB,GRCh37,continuous|50|both_sexes||irnt,,continuous,50,Standing height,Standing height was measured using a Seca 202 device,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,quantitative_or_biomarker_candidate,"AFR,CSA,EUR","AFR,CSA",2,verified_from_official_manifest,continuous-50-both_sexes-irnt.tsv.bgz,continuous-50-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-50-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-50-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6556.0,,PASS,972.0,,n_too_low,8657.0,,PASS,2697.0,,fail_ratio,419596.0,,PASS,,,,anthropometry,standing_height,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|48|both_sexes||irnt,Pan-UKB,GRCh37,continuous|48|both_sexes||irnt,,continuous,48,Waist circumference,Waist circumference,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,quantitative_or_biomarker_candidate,"AFR,CSA,EUR,MID","AFR,CSA,MID",3,verified_from_official_manifest,continuous-48-both_sexes-irnt.tsv.bgz,continuous-48-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-48-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-48-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6570.0,,PASS,975.0,,n_too_low,8783.0,,PASS,2698.0,,h2_z_insignificant,419807.0,,PASS,1576.0,,PASS,anthropometry,waist_circumference,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|21002|both_sexes||irnt,Pan-UKB,GRCh37,continuous|21002|both_sexes||irnt,,continuous,21002,Weight,Weight was measured by a variety of means during the initial Assessment Centre visit. This field amalgamates these values into a single item.,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,quantitative_or_biomarker_candidate,"AFR,CSA,EUR,MID","AFR,CSA,MID",3,verified_from_official_manifest,continuous-21002-both_sexes-irnt.tsv.bgz,continuous-21002-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-21002-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-21002-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6558.0,,PASS,972.0,,n_too_low,8771.0,,PASS,2693.0,,h2_z_insignificant,419316.0,,PASS,1574.0,,PASS,anthropometry,weight,secondary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::continuous|4079|both_sexes||irnt,Pan-UKB,GRCh37,continuous|4079|both_sexes||irnt,,continuous,4079,"Diastolic blood pressure, automated reading","Blood pressure, automated reading, diastolic. Two measures of blood pressure were taken a few moments apart. Range returned by the Omron device is is 0-255",,UK Biobank Assessment Centre > Physical measures > Blood pressure,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-4079-both_sexes-irnt.tsv.bgz,continuous-4079-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-4079-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-4079-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6551.0,,h2_z_insignificant,959.0,,n_too_low,8641.0,,PASS,2600.0,,h2_z_insignificant,396667.0,,PASS,1541.0,,h2_z_insignificant,blood_pressure,diastolic_blood_pressure,primary,prespecified_category_name_rule,Selected from an official clinical measurement category and collapsed to one canonical version.
Pan-UKB::continuous|4080|both_sexes||irnt,Pan-UKB,GRCh37,continuous|4080|both_sexes||irnt,,continuous,4080,"Systolic blood pressure, automated reading","Blood pressure, automated reading, systolic. Two measures of blood pressure were taken a few moments apart. Range returned by the Omron device is is 0-255",,UK Biobank Assessment Centre > Physical measures > Blood pressure,quantitative_or_biomarker_candidate,"CSA,EAS,EUR","CSA,EAS",2,verified_from_official_manifest,continuous-4080-both_sexes-irnt.tsv.bgz,continuous-4080-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-4080-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-4080-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6551.0,,h2_z_insignificant,959.0,,n_too_low,8641.0,,PASS,2600.0,,PASS,396663.0,,PASS,1541.0,,h2_z_insignificant,blood_pressure,systolic_blood_pressure,primary,prespecified_category_name_rule,Selected from an official clinical measurement category and collapsed to one canonical version.
Pan-UKB::continuous|3148|both_sexes||irnt,Pan-UKB,GRCh37,continuous|3148|both_sexes||irnt,,continuous,3148,Heel bone mineral density (BMD),Estimation of bone mineral density (BMD) in the heel is based on the Quantitative Ultrasound Index through the calcaneus. Direct entry.,,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,continuous-3148-both_sexes-irnt.tsv.bgz,continuous-3148-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/continuous-3148-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/continuous-3148-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,2292.0,,h2_z_insignificant,471.0,,n_too_low,2633.0,,PASS,1260.0,,h2_z_insignificant,242809.0,,PASS,713.0,,h2_z_insignificant,bone,heel_bone_mineral_density,primary,prespecified_category_name_rule,Selected from an official clinical measurement category and collapsed to one canonical version.
Pan-UKB::biomarkers|30830|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30830|both_sexes||irnt,,biomarkers,30830,SHBG,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,biomarkers-30830-both_sexes-irnt.tsv.bgz,biomarkers-30830-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30830-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30830-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,5709.0,,h2_z_insignificant,849.0,,n_too_low,7643.0,,PASS,2327.0,,h2_z_insignificant,363650.0,,PASS,1348.0,,h2_z_insignificant,endocrine,shbg,secondary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
Pan-UKB::biomarkers|30750|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30750|both_sexes||irnt,,biomarkers,30750,Glycated haemoglobin (HbA1c),,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR,MID","CSA,MID",2,verified_from_official_manifest,biomarkers-30750-both_sexes-irnt.tsv.bgz,biomarkers-30750-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30750-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30750-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,5290.0,,h2_z_insignificant,922.0,,n_too_low,8329.0,,PASS,2566.0,,h2_z_insignificant,400825.0,,PASS,1502.0,,PASS,glycemia,hba1c,primary,explicit_phenocode,Prespecified canonical clinical or biological measurement.
