indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,direct_candidate_1_trait_key,direct_candidate_1_name,direct_candidate_1_source,direct_candidate_1_build,direct_candidate_1_pops,direct_candidate_1_score,direct_candidate_2_trait_key,direct_candidate_2_name,direct_candidate_2_source,direct_candidate_2_build,direct_candidate_2_pops,direct_candidate_2_score,direct_candidate_3_trait_key,direct_candidate_3_name,direct_candidate_3_source,direct_candidate_3_build,direct_candidate_3_pops,direct_candidate_3_score,direct_candidate_4_trait_key,direct_candidate_4_name,direct_candidate_4_source,direct_candidate_4_build,direct_candidate_4_pops,direct_candidate_4_score,direct_candidate_5_trait_key,direct_candidate_5_name,direct_candidate_5_source,direct_candidate_5_build,direct_candidate_5_pops,direct_candidate_5_score,selected_trait_key_1,mapping_tier_1,mapping_rationale_1,reviewer_notes_1,selected_trait_key_2,mapping_tier_2,mapping_rationale_2,reviewer_notes_2,selected_trait_key_3,mapping_tier_3,mapping_rationale_3,reviewer_notes_3,selected_trait_key_4,mapping_tier_4,mapping_rationale_4,reviewer_notes_4,selected_trait_key_5,mapping_tier_5,mapping_rationale_5,reviewer_notes_5,indication_review_status,exclude_reason,unmapped_reason
D007249,Inflammation,Inflammation,18,18,1,17,Pan-UKB::phecode|714|both_sexes||,Rheumatoid arthritis and other inflammatory polyarthropathies,Pan-UKB,GRCh37,"CSA,EUR",32.574906367041194,Pan-UKB::phecode|785|both_sexes||,Abdominal pain,Pan-UKB,GRCh37,"CSA,EUR",6.923076923076923,Pan-UKB::icd10|K44|both_sexes||,K44 Diaphragmatic hernia,Pan-UKB,GRCh37,"EUR,MID",6.5625,Pan-UKB::phecode|550.2|both_sexes||,Diaphragmatic hernia,Pan-UKB,GRCh37,"CSA,EUR,MID",6.5625,Pan-UKB::icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,Pan-UKB,GRCh37,"EUR,MID",6.338028169014084,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D001943,Breast Neoplasms,Breast Neoplasms,16,16,2,14,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,51.66666666666666,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,50.55555555555556,Pan-UKB::phecode|594|both_sexes||,Urinary calculus,Pan-UKB,GRCh37,"CSA,EUR",7.741935483870968,Pan-UKB::phecode|250|both_sexes||,Diabetes mellitus,Pan-UKB,GRCh37,"CSA,EUR",7.5,Pan-UKB::phecode|530|both_sexes||,Diseases of esophagus,Pan-UKB,GRCh37,"EUR,MID",7.5,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D011471,Prostatic Neoplasms,Prostatic Neoplasms,16,16,1,15,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,51.66666666666666,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,50.97701149425287,Pan-UKB::icd10|K44|both_sexes||,K44 Diaphragmatic hernia,Pan-UKB,GRCh37,"EUR,MID",7.5,Pan-UKB::phecode|550.2|both_sexes||,Diaphragmatic hernia,Pan-UKB,GRCh37,"CSA,EUR,MID",7.5,Pan-UKB::phecode|716.9|both_sexes||,Arthropathy NOS,Pan-UKB,GRCh37,"EAS,EUR",7.5,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D015179,Colorectal Neoplasms,Colorectal Neoplasms,14,14,0,14,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,50.376344086021504,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,49.40860215053763,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",7.297297297297297,Pan-UKB::phecode|454.1|both_sexes||,Varicose veins of lower extremity,Pan-UKB,GRCh37,"AFR,EUR",7.222222222222221,Pan-UKB::icd10|K80|both_sexes||,K80 Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",7.0588235294117645,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D000544,Alzheimer Disease,Alzheimer Disease,11,11,1,10,Pan-UKB::phecode|250.2|both_sexes||,Type 2 diabetes,Pan-UKB,GRCh37,"CSA,EUR",45.06578947368421,GBMI::AcApp,Acute appendicitis,GBMI,GRCh38,,44.05882352941177,GBMI::POAG,Primary open-angle glaucoma,GBMI,GRCh38,,28.09523809523809,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",10.0,Pan-UKB::phecode|411.4|both_sexes||,Coronary atherosclerosis,Pan-UKB,GRCh37,"CSA,EUR",9.069767441860463,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D009369,Neoplasms,Neoplasms,11,11,1,10,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,131.5,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,131.5,Pan-UKB::icd10|K80|both_sexes||,K80 Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",7.5,Pan-UKB::phecode|574.1|both_sexes||,Cholelithiasis,Pan-UKB,GRCh37,"EAS,EUR",7.5,Pan-UKB::phecode|740|both_sexes||,Osteoarthrosis,Pan-UKB,GRCh37,"EUR,MID",7.5,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D015535,"Arthritis, Psoriatic","Arthritis, Psoriatic",9,9,3,6,Pan-UKB::phecode|716|both_sexes||,Other arthropathies,Pan-UKB,GRCh37,"EAS,EUR",88.92857142857143,Pan-UKB::phecode|716.9|both_sexes||,Arthropathy NOS,Pan-UKB,GRCh37,"EAS,EUR",88.33333333333333,Pan-UKB::phecode|714|both_sexes||,Rheumatoid arthritis and other inflammatory polyarthropathies,Pan-UKB,GRCh37,"CSA,EUR",42.625,Pan-UKB::icd10|R07|both_sexes||,R07 Pain in throat and chest,Pan-UKB,GRCh37,"CSA,EUR",8.297872340425533,Pan-UKB::phecode|740|both_sexes||,Osteoarthrosis,Pan-UKB,GRCh37,"EUR,MID",8.181818181818182,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D050197,Atherosclerosis,Atherosclerosis,9,9,1,8,Pan-UKB::phecode|411.4|both_sexes||,Coronary atherosclerosis,Pan-UKB,GRCh37,"CSA,EUR",134.03846153846155,Pan-UKB::phecode|740|both_sexes||,Osteoarthrosis,Pan-UKB,GRCh37,"EUR,MID",8.88888888888889,Pan-UKB::phecode|401|both_sexes||,Hypertension,Pan-UKB,GRCh37,"CSA,EUR",8.4,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",7.272727272727273,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",7.0588235294117645,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D001008,Anxiety Disorders,Anxiety Disorders,7,7,1,6,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",10.3125,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",10.3125,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",9.285714285714286,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",9.166666666666668,Pan-UKB::phecode|272|both_sexes||,Disorders of lipoid metabolism,Pan-UKB,GRCh37,"CSA,EUR",8.297872340425533,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D009103,Multiple Sclerosis,Multiple Sclerosis,7,7,0,7,GBMI::AcApp,Acute appendicitis,GBMI,GRCh38,,42.0,Pan-UKB::phecode|411.4|both_sexes||,Coronary atherosclerosis,Pan-UKB,GRCh37,"CSA,EUR",8.478260869565217,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,7.5,Pan-UKB::phecode|550|both_sexes||,Abdominal hernia,Pan-UKB,GRCh37,"EAS,EUR",7.105263157894736,Pan-UKB::icd10|K42|both_sexes||,K42 Umbilical hernia,Pan-UKB,GRCh37,"CSA,EUR",7.0588235294117645,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
D010051,Ovarian Neoplasms,Ovarian Neoplasms,7,7,0,7,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,52.38095238095238,GBMI::ThC,Thyroid cancer,GBMI,GRCh38,,51.30952380952381,Pan-UKB::phecode|594|both_sexes||,Urinary calculus,Pan-UKB,GRCh37,"CSA,EUR",8.275862068965518,Pan-UKB::phecode|411.4|both_sexes||,Coronary atherosclerosis,Pan-UKB,GRCh37,"CSA,EUR",7.692307692307692,Pan-UKB::phecode|594.1|both_sexes||,Calculus of kidney,Pan-UKB,GRCh37,"CSA,EUR",7.297297297297297,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,,"No prespecified high-confidence clinical, biomarker, or verified GBMI endpoint rule matched this indication."
