indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_rank,candidate_score,exact_normalized_match,phrase_inclusion,token_containment,token_jaccard,sequence_similarity,shared_informative_tokens,matched_indication_term,matched_trait_term,trait_key,source,genome_build,phenotype_id,published_endpoint_code,trait_type,phenocode,trait_name,description_more,coding_description,category,analysis_class,pops_pass_qc,non_eur_pops_pass_qc,num_non_eur_pops_pass_qc,ancestry_status,filename,filename_tabix,remote_data_path,remote_index_path,source_release,mapping_status,n_cases_AFR,n_controls_AFR,phenotype_qc_AFR,n_cases_AMR,n_controls_AMR,phenotype_qc_AMR,n_cases_CSA,n_controls_CSA,phenotype_qc_CSA,n_cases_EAS,n_controls_EAS,phenotype_qc_EAS,n_cases_EUR,n_controls_EUR,phenotype_qc_EUR,n_cases_MID,n_controls_MID,phenotype_qc_MID,manual_mapping_tier,manual_mapping_decision,manual_mapping_rationale,reviewer_notes
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,1,10.0,False,False,0.0,0.0,0.6666666666666666,,Social Anxiety Disorders,G47 Sleep disorders,Pan-UKB::icd10|G47|both_sexes||,Pan-UKB,GRCh37,icd10|G47|both_sexes||,,icd10,G47,G47 Sleep disorders,truncated: true,,Chapter VI Diseases of the nervous system | G40-G47 Episodic and paroxysmal disorders | G47 Sleep disorders,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,icd10-G47-both_sexes.tsv.bgz,icd10-G47-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-G47-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-G47-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,140.0,6496.0,h2_z_insignificant,,,,173.0,8703.0,PASS,,,,6557.0,413974.0,PASS,52.0,1547.0,h2_z_insignificant,,,,
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,2,10.0,False,False,0.0,0.0,0.6666666666666666,,Social Anxiety Disorders,Sleep disorders,Pan-UKB::phecode|327|both_sexes||,Pan-UKB,GRCh37,phecode|327|both_sexes||,,phecode,327,Sleep disorders,,,neurological,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,phecode-327-both_sexes.tsv.bgz,phecode-327-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-327-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-327-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,141.0,6495.0,h2_z_insignificant,,,,174.0,8702.0,PASS,,,,6623.0,413908.0,PASS,52.0,1547.0,h2_z_insignificant,,,,
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,3,9.183673469387756,False,False,0.0,0.0,0.6122448979591837,,Social Anxiety Disorders,Alcohol-related disorders,Pan-UKB::phecode|317|both_sexes||,Pan-UKB,GRCh37,phecode|317|both_sexes||,,phecode,317,Alcohol-related disorders,,,mental disorders,direct_disease_candidate,"AFR,EUR",AFR,1.0,verified_from_official_manifest,phecode-317-both_sexes.tsv.bgz,phecode-317-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-317-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-317-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,129.0,6272.0,PASS,,,,166.0,8471.0,h2_z_insignificant,,,,16070.0,392046.0,PASS,,,,,,,
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,4,8.275862068965518,False,False,0.0,0.0,0.5517241379310345,,Social Phobia,Abdominal hernia,Pan-UKB::phecode|550|both_sexes||,Pan-UKB,GRCh37,phecode|550|both_sexes||,,phecode,550,Abdominal hernia,,,digestive,direct_disease_candidate,"EAS,EUR",EAS,1.0,verified_from_official_manifest,phecode-550-both_sexes.tsv.bgz,phecode-550-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-550-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-550-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,617.0,6019.0,h2_z_insignificant,112.0,868.0,n_too_low,,,,128.0,2581.0,PASS,56668.0,363863.0,PASS,224.0,1375.0,h2_z_insignificant,,,,
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,5,8.181818181818182,False,False,0.0,0.0,0.5454545454545454,,Social Anxiety Disorder,Other mental disorder,Pan-UKB::phecode|306|both_sexes||,Pan-UKB,GRCh37,phecode|306|both_sexes||,,phecode,306,Other mental disorder,,,mental disorders,direct_disease_candidate,"EAS,EUR",EAS,1.0,verified_from_official_manifest,phecode-306-both_sexes.tsv.bgz,phecode-306-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-306-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-306-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,310.0,6116.0,h2_z_insignificant,84.0,875.0,n_too_low,464.0,8189.0,h2_z_insignificant,86.0,2585.0,PASS,39711.0,369930.0,PASS,143.0,1419.0,h2_z_insignificant,,,,
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,6,8.135593220338983,False,False,0.0,0.0,0.5423728813559322,,Social Anxiety Disorders,M51 Other intervertebral disk disorders,Pan-UKB::icd10|M51|both_sexes||,Pan-UKB,GRCh37,icd10|M51|both_sexes||,,icd10,M51,M51 Other intervertebral disk disorders,truncated: true,,Chapter XIII Diseases of the musculoskeletal system and connective tissue | M50-M54 Other dorsopathies | M51 Other intervertebral disk disorders,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,icd10-M51-both_sexes.tsv.bgz,icd10-M51-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/icd10-M51-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/icd10-M51-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,171.0,6465.0,h2_z_insignificant,,,,231.0,8645.0,PASS,,,,9053.0,411478.0,PASS,,,,,,,
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,7,7.9245283018867925,False,False,0.0,0.0,0.5283018867924528,,"Disorder, Social Anxiety",Disorders of lipoid metabolism,Pan-UKB::phecode|272|both_sexes||,Pan-UKB,GRCh37,phecode|272|both_sexes||,,phecode,272,Disorders of lipoid metabolism,,,endocrine/metabolic,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,phecode-272-both_sexes.tsv.bgz,phecode-272-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-272-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-272-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,744.0,5892.0,h2_z_insignificant,86.0,894.0,n_too_low,1800.0,7076.0,PASS,190.0,2519.0,h2_z_insignificant,44134.0,376397.0,PASS,239.0,1360.0,h2_z_insignificant,,,,
D000072861,"Phobia, Social","Phobia, Social",1,1,0,1,8,7.777777777777778,False,False,0.0,0.0,0.5185185185185185,,Social Phobia,Abdominal pain,Pan-UKB::phecode|785|both_sexes||,Pan-UKB,GRCh37,phecode|785|both_sexes||,,phecode,785,Abdominal pain,,,symptoms,direct_disease_candidate,"CSA,EUR",CSA,1.0,verified_from_official_manifest,phecode-785-both_sexes.tsv.bgz,phecode-785-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-785-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-785-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,998.0,5638.0,h2_z_insignificant,141.0,839.0,n_too_low,1237.0,7639.0,PASS,289.0,2420.0,h2_z_insignificant,47295.0,373236.0,PASS,235.0,1364.0,h2_z_insignificant,,,,
D000086382,COVID-19,COVID-19,1,1,1,0,1,41.03333333333334,False,False,0.5,0.16666666666666666,0.3466666666666667,acute,Severe Acute Respiratory Syndrome Coronavirus 2 Infection,Acute appendicitis,GBMI::AcApp,GBMI,GRCh38,AcApp,AcApp,disease,,Acute appendicitis,,,GBMI published pilot endpoint,direct_disease_candidate,,,,TO_VERIFY_FROM_ORIGINAL_ENDPOINT_FILES,,,,,GBMI pilot release 052021,UNREVIEWED,,,,,,,,,,,,,,,,,,,,,,
D000086382,COVID-19,COVID-19,1,1,1,0,2,8.666666666666666,False,False,0.0,0.0,0.5777777777777777,,"Disease 2019, Coronavirus",Diseases of esophagus,Pan-UKB::phecode|530|both_sexes||,Pan-UKB,GRCh37,phecode|530|both_sexes||,,phecode,530,Diseases of esophagus,,,digestive,direct_disease_candidate,"EUR,MID",MID,1.0,verified_from_official_manifest,phecode-530-both_sexes.tsv.bgz,phecode-530-both_sexes.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/phecode-530-both_sexes.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/phecode-530-both_sexes.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,519.0,6018.0,h2_z_insignificant,95.0,870.0,n_too_low,964.0,7743.0,h2_z_insignificant,151.0,2516.0,h2_z_insignificant,42944.0,371349.0,PASS,172.0,1400.0,PASS,,,,
