trait_key,source,genome_build,phenotype_id,published_endpoint_code,trait_type,phenocode,trait_name,description_more,coding_description,category,analysis_class,pops_pass_qc,non_eur_pops_pass_qc,num_non_eur_pops_pass_qc,ancestry_status,filename,filename_tabix,remote_data_path,remote_index_path,source_release,mapping_status,n_cases_AFR,n_controls_AFR,phenotype_qc_AFR,n_cases_AMR,n_controls_AMR,phenotype_qc_AMR,n_cases_CSA,n_controls_CSA,phenotype_qc_CSA,n_cases_EAS,n_controls_EAS,phenotype_qc_EAS,n_cases_EUR,n_controls_EUR,phenotype_qc_EUR,n_cases_MID,n_controls_MID,phenotype_qc_MID
Pan-UKB::biomarkers|30600|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30600|both_sexes||irnt,,biomarkers,30600,Albumin,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"AFR,CSA,EUR","AFR,CSA",2,verified_from_official_manifest,biomarkers-30600-both_sexes-irnt.tsv.bgz,biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,5759.0,,PASS,856.0,,n_too_low,7694.0,,PASS,2340.0,,h2_z_insignificant,367192.0,,PASS,1364.0,,h2_z_insignificant
Pan-UKB::biomarkers|30610|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30610|both_sexes||irnt,,biomarkers,30610,Alkaline phosphatase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR,MID","CSA,MID",2,verified_from_official_manifest,biomarkers-30610-both_sexes-irnt.tsv.bgz,biomarkers-30610-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30610-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30610-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6216.0,,h2_z_insignificant,938.0,,n_too_low,8422.0,,PASS,2572.0,,h2_z_insignificant,400988.0,,PASS,1497.0,,PASS
Pan-UKB::biomarkers|30620|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30620|both_sexes||irnt,,biomarkers,30620,Alanine aminotransferase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"AFR,CSA,EUR","AFR,CSA",2,verified_from_official_manifest,biomarkers-30620-both_sexes-irnt.tsv.bgz,biomarkers-30620-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30620-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30620-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6214.0,,PASS,937.0,,n_too_low,8407.0,,PASS,2570.0,,h2_z_insignificant,400822.0,,PASS,1499.0,,h2_z_insignificant
Pan-UKB::biomarkers|30630|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30630|both_sexes||irnt,,biomarkers,30630,Apolipoprotein A,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR,MID","CSA,MID",2,verified_from_official_manifest,biomarkers-30630-both_sexes-irnt.tsv.bgz,biomarkers-30630-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30630-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30630-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,5732.0,,h2_z_insignificant,846.0,,n_too_low,7679.0,,PASS,2325.0,,h2_z_insignificant,364987.0,,PASS,1360.0,,PASS
Pan-UKB::biomarkers|30640|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30640|both_sexes||irnt,,biomarkers,30640,Apolipoprotein B,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,biomarkers-30640-both_sexes-irnt.tsv.bgz,biomarkers-30640-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30640-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30640-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6169.0,,h2_z_insignificant,932.0,,n_too_low,8352.0,,PASS,2553.0,,h2_z_insignificant,399003.0,,PASS,1496.0,,h2_z_insignificant
Pan-UKB::biomarkers|30670|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30670|both_sexes||irnt,,biomarkers,30670,Urea,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,biomarkers-30670-both_sexes-irnt.tsv.bgz,biomarkers-30670-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30670-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30670-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6213.0,,h2_z_insignificant,938.0,,n_too_low,8422.0,,PASS,2569.0,,h2_z_insignificant,400687.0,,PASS,1497.0,,h2_z_insignificant
Pan-UKB::biomarkers|30680|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30680|both_sexes||irnt,,biomarkers,30680,Calcium,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,biomarkers-30680-both_sexes-irnt.tsv.bgz,biomarkers-30680-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30680-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30680-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,5758.0,,h2_z_insignificant,856.0,,n_too_low,7697.0,,PASS,2344.0,,h2_z_insignificant,367050.0,,PASS,1361.0,,h2_z_insignificant
Pan-UKB::biomarkers|30690|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30690|both_sexes||irnt,,biomarkers,30690,Cholesterol,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,biomarkers-30690-both_sexes-irnt.tsv.bgz,biomarkers-30690-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30690-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30690-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6212.0,,h2_z_insignificant,938.0,,n_too_low,8422.0,,PASS,2572.0,,h2_z_insignificant,400963.0,,PASS,1500.0,,out_of_bounds_lambda
Pan-UKB::biomarkers|30700|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30700|both_sexes||irnt,,biomarkers,30700,Creatinine,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR,MID","CSA,MID",2,verified_from_official_manifest,biomarkers-30700-both_sexes-irnt.tsv.bgz,biomarkers-30700-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30700-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30700-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6212.0,,h2_z_insignificant,937.0,,n_too_low,8422.0,,PASS,2571.0,,h2_z_insignificant,400761.0,,PASS,1498.0,,PASS
Pan-UKB::biomarkers|30710|both_sexes||irnt,Pan-UKB,GRCh37,biomarkers|30710|both_sexes||irnt,,biomarkers,30710,C-reactive protein,,,Biological samples > Assay results > Blood assays > Blood biochemistry,quantitative_or_biomarker_candidate,"CSA,EUR",CSA,1,verified_from_official_manifest,biomarkers-30710-both_sexes-irnt.tsv.bgz,biomarkers-30710-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30710-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30710-both_sexes-irnt.tsv.bgz.tbi,Pan-UKB official phenotype manifest,UNREVIEWED,6203.0,,h2_z_insignificant,937.0,,n_too_low,8397.0,,PASS,2564.0,,h2_z_insignificant,400094.0,,PASS,1498.0,,h2_z_insignificant
