comparison_uid,gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,comparison_population,unit_analysis_role,mixed_pool,primary_approval_eligible,eur_extraction_key,comparison_extraction_key,eur_extraction_status,eur_extraction_parquet,comparison_extraction_status,comparison_extraction_parquet,both_extractions_available
cmp_9d8c13f3b6460d45,gt_c2f3696fd5d03431,PNPLA3,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,AFR,PRIMARY,False,True,gt_c2f3696fd5d03431,gt_c2f3696fd5d03431,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c2f3696fd5d03431.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c2f3696fd5d03431.parquet,True
cmp_5181e0eccfa7681d,gt_c2f3696fd5d03431,PNPLA3,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,CSA,PRIMARY,False,True,gt_c2f3696fd5d03431,gt_c2f3696fd5d03431,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c2f3696fd5d03431.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c2f3696fd5d03431.parquet,True
cmp_3a1c4d856b9f1002,gt_e2a7ed2a815c1261,TNFRSF1A,Pan-UKB,Pan-UKB::biomarkers|30600|both_sexes||irnt,Albumin,AFR,PRIMARY,False,True,gt_e2a7ed2a815c1261,gt_e2a7ed2a815c1261,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e2a7ed2a815c1261.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e2a7ed2a815c1261.parquet,True
cmp_cad575f1b76c6d4c,gt_e2a7ed2a815c1261,TNFRSF1A,Pan-UKB,Pan-UKB::biomarkers|30600|both_sexes||irnt,Albumin,CSA,PRIMARY,False,True,gt_e2a7ed2a815c1261,gt_e2a7ed2a815c1261,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e2a7ed2a815c1261.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_e2a7ed2a815c1261.parquet,True
cmp_31363dc2ab3ab085,gt_0c5a522d1cea1ece,IL12B,Pan-UKB,Pan-UKB::biomarkers|30610|both_sexes||irnt,Alkaline phosphatase,CSA,PRIMARY,False,True,gt_0c5a522d1cea1ece,gt_0c5a522d1cea1ece,EXTRACTED,intermediate/15b3/Pan-UKB/gt_0c5a522d1cea1ece.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_0c5a522d1cea1ece.parquet,True
cmp_ed0271b07af0362c,gt_0c5a522d1cea1ece,IL12B,Pan-UKB,Pan-UKB::biomarkers|30610|both_sexes||irnt,Alkaline phosphatase,MID,PRIMARY,False,True,gt_0c5a522d1cea1ece,gt_0c5a522d1cea1ece,EXTRACTED,intermediate/15b3/Pan-UKB/gt_0c5a522d1cea1ece.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_0c5a522d1cea1ece.parquet,True
cmp_4f80a5c9a2e12790,gt_1ee1da015e26f543,ADIPOR2,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_1ee1da015e26f543,gt_1ee1da015e26f543,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1ee1da015e26f543.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1ee1da015e26f543.parquet,True
cmp_5207bf5c945f87a1,gt_1ee1da015e26f543,ADIPOR2,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_1ee1da015e26f543,gt_1ee1da015e26f543,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1ee1da015e26f543.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1ee1da015e26f543.parquet,True
cmp_64bd13bc77705eda,gt_1ee1da015e26f543,ADIPOR2,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_1ee1da015e26f543,gt_1ee1da015e26f543,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1ee1da015e26f543.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_1ee1da015e26f543.parquet,True
cmp_dd2558cccbc89872,gt_a3ed78d49b0c5aac,CALCA,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_a3ed78d49b0c5aac,gt_a3ed78d49b0c5aac,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a3ed78d49b0c5aac.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_a3ed78d49b0c5aac.parquet,True
