grouping,candidate_source,unit_analysis_role,comparison_population,stage_order,stage,metric_column,n_comparisons,total_variants,median_variants,minimum_variants,maximum_variants,n_comparisons_with_at_least_one
ALL,ALL,ALL,ALL,1,raw_eur_variants,n_raw_eur_variants,1062,3160991,2456.0,1162,17363,1062
ALL,ALL,ALL,ALL,2,raw_comparison_variants,n_raw_comparison_variants,1062,2797441,2322.0,157,17363,1062
ALL,ALL,ALL,ALL,3,primary_harmonized,n_harmonized_primary,1062,2721128,2277.0,157,17363,1062
ALL,ALL,ALL,ALL,4,valid_biallelic_snp,n_valid_biallelic_snp,1062,2535844,2136.0,157,16147,1062
ALL,ALL,ALL,ALL,5,valid_beta_se,n_valid_beta_se,1062,1532198,1221.0,157,9629,1062
ALL,ALL,ALL,ALL,6,maf_pass,n_maf_pass,1062,891759,708.5,149,5127,1062
ALL,ALL,ALL,ALL,7,quality_pass,n_quality_pass,1062,1387243,1096.0,157,8507,1062
ALL,ALL,ALL,ALL,8,qc_qualified,n_qc_qualified,1062,795174,626.5,149,4524,1062
ALL,ALL,ALL,ALL,9,eur_gws_qc,n_eur_gws_qc,1062,49670,0.0,0,819,452
ALL,ALL,ALL,ALL,10,comparison_gws_qc,n_comparison_gws_qc,1062,1240,0.0,0,186,23
candidate_source,GBMI,ALL,ALL,1,raw_eur_variants,n_raw_eur_variants,206,699396,2330.0,1188,15677,206
candidate_source,GBMI,ALL,ALL,2,raw_comparison_variants,n_raw_comparison_variants,206,335846,1079.5,157,11381,206
candidate_source,GBMI,ALL,ALL,3,primary_harmonized,n_harmonized_primary,206,259533,885.5,157,7274,206
candidate_source,GBMI,ALL,ALL,4,valid_biallelic_snp,n_valid_biallelic_snp,206,245804,842.0,157,6750,206
candidate_source,GBMI,ALL,ALL,5,valid_beta_se,n_valid_beta_se,206,259666,885.5,157,7280,206
candidate_source,GBMI,ALL,ALL,6,maf_pass,n_maf_pass,206,179966,622.5,149,4682,206
candidate_source,GBMI,ALL,ALL,7,quality_pass,n_quality_pass,206,259016,884.0,157,7261,206
candidate_source,GBMI,ALL,ALL,8,qc_qualified,n_qc_qualified,206,170170,582.0,149,4363,206
candidate_source,GBMI,ALL,ALL,9,eur_gws_qc,n_eur_gws_qc,206,8307,0.0,0,398,77
candidate_source,GBMI,ALL,ALL,10,comparison_gws_qc,n_comparison_gws_qc,206,523,0.0,0,105,8
candidate_source,Pan-UKB,ALL,ALL,1,raw_eur_variants,n_raw_eur_variants,856,2461595,2493.0,1162,17363,856
candidate_source,Pan-UKB,ALL,ALL,2,raw_comparison_variants,n_raw_comparison_variants,856,2461595,2493.0,1162,17363,856
candidate_source,Pan-UKB,ALL,ALL,3,primary_harmonized,n_harmonized_primary,856,2461595,2493.0,1162,17363,856
candidate_source,Pan-UKB,ALL,ALL,4,valid_biallelic_snp,n_valid_biallelic_snp,856,2290040,2297.0,1086,16147,856
candidate_source,Pan-UKB,ALL,ALL,5,valid_beta_se,n_valid_beta_se,856,1272532,1295.0,278,9629,856
candidate_source,Pan-UKB,ALL,ALL,6,maf_pass,n_maf_pass,856,711793,728.5,185,5127,856
candidate_source,Pan-UKB,ALL,ALL,7,quality_pass,n_quality_pass,856,1128227,1136.5,255,8507,856
candidate_source,Pan-UKB,ALL,ALL,8,qc_qualified,n_qc_qualified,856,625004,638.5,164,4524,856
candidate_source,Pan-UKB,ALL,ALL,9,eur_gws_qc,n_eur_gws_qc,856,41363,0.0,0,819,375
candidate_source,Pan-UKB,ALL,ALL,10,comparison_gws_qc,n_comparison_gws_qc,856,717,0.0,0,186,15
candidate_source + unit_analysis_role,GBMI,PRIMARY,ALL,1,raw_eur_variants,n_raw_eur_variants,206,699396,2330.0,1188,15677,206
candidate_source + unit_analysis_role,GBMI,PRIMARY,ALL,2,raw_comparison_variants,n_raw_comparison_variants,206,335846,1079.5,157,11381,206
candidate_source + unit_analysis_role,GBMI,PRIMARY,ALL,3,primary_harmonized,n_harmonized_primary,206,259533,885.5,157,7274,206
candidate_source + unit_analysis_role,GBMI,PRIMARY,ALL,4,valid_biallelic_snp,n_valid_biallelic_snp,206,245804,842.0,157,6750,206
candidate_source + unit_analysis_role,GBMI,PRIMARY,ALL,5,valid_beta_se,n_valid_beta_se,206,259666,885.5,157,7280,206
