column,dtype,n_nonmissing,n_unique_nonmissing,groups,example_values
comparison_uid,object,538,538,identity,cmp_90ebb269ca08e668 || cmp_3ba52eabf3056c1c || cmp_26e44c681a21da82 || cmp_882aa5528898efd7 || cmp_1879bacc3f143d63
gene_trait_uid,object,538,213,identity,gt_24b34ddef722adb5 || gt_d1a63f782d9591b6 || gt_d9617b3ca0a01afd || gt_17737ee47ab15a2c || gt_8ec8b2adc38392c6
gene,object,538,168,identity,ADORA1 || ADORA2B || ADRB2 || CHRM3 || CSF2
candidate_source,object,538,2,identity,GBMI || Pan-UKB
candidate_trait_key,object,538,22,identity,GBMI::Asthma || GBMI::COPD || GBMI::Gout || GBMI::HF || GBMI::Stroke
candidate_trait_name,object,538,22,identity,Asthma || Chronic obstructive pulmonary disease || Gout || Heart failure || Stroke
comparison_population,object,538,5,identity,AFR || AMR || CSA || EAS || MID
unit_analysis_role,object,538,1,eligibility_power,PRIMARY
mixed_pool,bool,538,1,eligibility_power,False
primary_approval_eligible,bool,538,1,eligibility_power,True
maf_threshold,float64,538,1,,0.01
gws_p_threshold,float64,538,1,,5e-08
min_portability_variants_pre_ld,int64,538,1,,3
min_coloc_variants,int64,538,1,eligibility_power,50
n_raw_eur_variants,int64,538,186,sample_size,2584 || 2166 || 2010 || 7709 || 1868
n_raw_comparison_variants,int64,538,322,sample_size,1797 || 1043 || 873 || 1548 || 1799
n_raw_shared_rows,float64,332,132,sample_size,2102.0 || 1709.0 || 1878.0 || 2835.0 || 1883.0
n_duplicate_key_rows_excluded,int64,538,1,sample_size,0
n_harmonized_exact,int64,538,318,sample_size,1132 || 1039 || 846 || 916 || 1029
n_harmonized_swapped,int64,538,7,sample_size,1 || 0 || 4 || 3 || 2
n_harmonized_primary,int64,538,318,eligibility_power | sample_size,1132 || 1039 || 846 || 916 || 1029
n_harmonized_sensitivity,int64,538,317,sample_size,1133 || 1039 || 846 || 917 || 1029
n_valid_biallelic_snp,int64,538,327,sample_size,1067 || 985 || 846 || 848 || 940
n_valid_beta_se,int64,538,444,sample_size,1133 || 1039 || 846 || 917 || 1029
n_valid_p,int64,538,444,sample_size,1133 || 1039 || 846 || 917 || 1029
n_valid_af,int64,538,447,sample_size,1133 || 1039 || 846 || 917 || 1029
n_maf_pass,int64,538,404,sample_size,649 || 764 || 671 || 687 || 407
n_quality_pass,int64,538,467,sample_size,1127 || 1036 || 844 || 911 || 1028
n_qc_qualified,int64,538,411,sample_size,606 || 719 || 669 || 628 || 362
n_qc_qualified_sensitivity,float64,206,181,sample_size,606.0 || 719.0 || 669.0 || 628.0 || 362.0
n_eur_gws_qc,int64,538,134,sample_size,44 || 99 || 0 || 51 || 50
n_comparison_gws_qc,int64,538,16,sample_size,0 || 1 || 81 || 21 || 92
n_eur_gws_qc_sensitivity,float64,206,40,sample_size,44.0 || 99.0 || 0.0 || 51.0 || 50.0
n_comparison_gws_qc_sensitivity,float64,206,9,sample_size,0.0 || 1.0 || 81.0 || 21.0 || 92.0
sample_metadata_usable,bool,538,1,sample_size,True
gbmi_swapped_sensitivity_only,bool,538,2,,True || False
n_eur_strand_flip_flagged,float64,206,4,sample_size,0.0 || 3.0 || 1.0 || 2.0
n_comparison_strand_flip_flagged,float64,206,3,sample_size,0.0 || 2.0 || 1.0
n_eur_diff_af_gnomad_flagged,float64,206,14,sample_size,5.0 || 3.0 || 2.0 || 6.0 || 1.0
n_comparison_diff_af_gnomad_flagged,float64,206,14,sample_size,4.0 || 2.0 || 1.0 || 0.0 || 7.0
eur_trait_type,object,538,3,identity | trait_type,binary || biomarkers || continuous
eur_coloc_type,object,538,2,eligibility_power,cc || quant
eur_n_cases_median,float64,206,15,sample_size,121940.0 || 117670.0 || 118889.0 || 120646.0 || 58559.0
