gene_trait_uid,gene,candidate_trait_name,candidate_source,comparison_ancestries,n_comparison_ancestries,sensitivity_pool_assignment,n_priors,p12_values,prior_stability_class,primary_p12,primary_pp_h3,primary_pp_h4,primary_pp_h4_given_h3_h4,primary_category,minimum_pp_h4,maximum_pp_h4,minimum_pp_h3,maximum_pp_h3,minimum_conditional_h4,maximum_conditional_h4,categories_across_priors,pp_h3_p12_1em06,pp_h4_p12_1em06,conditional_h4_p12_1em06,category_p12_1em06,pp_h3_p12_1em05,pp_h4_p12_1em05,conditional_h4_p12_1em05,category_p12_1em05,pp_h3_p12_1em04,pp_h4_p12_1em04,conditional_h4_p12_1em04,category_p12_1em04
gt_b328521a0423f5c5,ANGPTL3,Triglycerides,Pan-UKB,CSA,1,B,3,1e-06 || 1e-05 || 0.0001,PRIOR_SENSITIVE,1e-05,0.10519027716252846,0.8947977447748361,0.8948084628466507,SHARED_H4_GE_0P8,0.4596201026573243,0.9883795242471259,0.011619152674941792,0.5403183710544475,0.4596483831162275,0.9883808319519933,INCONCLUSIVE || SHARED_H4_GE_0P8 || SHARED_H4_GE_0P8,0.5403183710544475,0.4596201026573243,0.4596483831162275,INCONCLUSIVE,0.10519027716252846,0.8947977447748361,0.8948084628466507,SHARED_H4_GE_0P8,0.011619152674941792,0.9883795242471259,0.9883808319519933,SHARED_H4_GE_0P8
gt_38057e29398d09a6,CSF3,Neutrophill count,Pan-UKB,CSA,1,A,3,1e-06 || 1e-05 || 0.0001,PRIOR_SENSITIVE,1e-05,0.12937250883291018,0.8706274843573647,0.8706274902860985,SHARED_H4_GE_0P8,0.40225768571702814,0.9853578905560207,0.014642108673334455,0.5977422828196017,0.40225769837341097,0.9853578913153817,INCONCLUSIVE || SHARED_H4_GE_0P8 || SHARED_H4_GE_0P8,0.5977422828196017,0.40225768571702814,0.40225769837341097,INCONCLUSIVE,0.12937250883291018,0.8706274843573647,0.8706274902860985,SHARED_H4_GE_0P8,0.014642108673334455,0.9853578905560207,0.9853578913153817,SHARED_H4_GE_0P8
gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,EAS,1,A,3,1e-06 || 1e-05 || 0.0001,PRIOR_SENSITIVE,1e-05,0.16726048986261258,0.8327395101372147,0.8327395101373586,SHARED_H4_GE_0P8,0.3323852430124328,0.9803099150911608,0.019690084908821636,0.6676147569868786,0.3323852430126617,0.980309915091178,INCONCLUSIVE || SHARED_H4_GE_0P8 || SHARED_H4_GE_0P8,0.6676147569868786,0.3323852430124328,0.3323852430126617,INCONCLUSIVE,0.16726048986261258,0.8327395101372147,0.8327395101373586,SHARED_H4_GE_0P8,0.019690084908821636,0.9803099150911608,0.980309915091178,SHARED_H4_GE_0P8
gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,AFR || CSA,2,A,3,1e-06 || 1e-05 || 0.0001,PRIOR_SENSITIVE,1e-05,0.49999974114806883,0.5000000023900117,0.5000000023898161,MODERATE_SHARED_H4_GE_0P5,0.4999999859028183,0.5000000382346607,0.4999997053035416,0.4999997576353463,0.4999999859026613,0.5000000382344787,INCONCLUSIVE || MODERATE_SHARED_H4_GE_0P5 || MODERATE_SHARED_H4_GE_0P5,0.4999997576353463,0.4999999859028183,0.4999999859026613,INCONCLUSIVE,0.49999974114806883,0.5000000023900117,0.5000000023898161,MODERATE_SHARED_H4_GE_0P5,0.4999997053035416,0.5000000382346607,0.5000000382344787,MODERATE_SHARED_H4_GE_0P5
gt_5a525d6a0e697a02,THPO,Platelet count,Pan-UKB,AFR,1,B,3,1e-06 || 1e-05 || 0.0001,PRIOR_SENSITIVE,1e-05,0.6987066655962487,0.3012692364105512,0.3012764965695169,INCONCLUSIVE,0.0413344390391636,0.8117350839424557,0.18825842313220212,0.9586324982743463,0.04133580571194867,0.8117403545119748,DISTINCT_H3_GE_0P8 || INCONCLUSIVE || SHARED_H4_GE_0P8,0.9586324982743463,0.0413344390391636,0.04133580571194867,DISTINCT_H3_GE_0P8,0.6987066655962487,0.3012692364105512,0.3012764965695169,INCONCLUSIVE,0.18825842313220212,0.8117350839424557,0.8117403545119748,SHARED_H4_GE_0P8
gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,AFR || CSA,2,B,3,1e-06 || 1e-05 || 0.0001,PRIOR_SENSITIVE,1e-05,0.842891620567944,0.15504655948630203,0.15565981314422506,DISTINCT_H3_GE_0P8,0.020896844311923696,0.46572183299364606,0.5337157252926139,0.9762918912598177,0.021011026157358927,0.4661768011617995,DISTINCT_H3_GE_0P8 || DISTINCT_H3_GE_0P8 || INCONCLUSIVE,0.9762918912598177,0.020896844311923696,0.021011026157358927,DISTINCT_H3_GE_0P8,0.842891620567944,0.15504655948630203,0.15565981314422506,DISTINCT_H3_GE_0P8,0.5337157252926139,0.46572183299364606,0.4661768011617995,INCONCLUSIVE
gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,CSA || EAS,2,B,3,1e-06 || 1e-05 || 0.0001,ROBUST_DISTINCT,1e-05,0.9980064399738667,0.0019158890516184418,0.0019161867006035522,DISTINCT_H3_GE_0P8,0.00019225184930846736,0.018520255544570343,0.9814046626203287,0.9997298084068665,0.00019228182057571982,0.018523036884920237,DISTINCT_H3_GE_0P8 || DISTINCT_H3_GE_0P8 || DISTINCT_H3_GE_0P8,0.9997298084068665,0.00019225184930846736,0.00019228182057571982,DISTINCT_H3_GE_0P8,0.9980064399738667,0.0019158890516184418,0.0019161867006035522,DISTINCT_H3_GE_0P8,0.9814046626203287,0.018520255544570343,0.018523036884920237,DISTINCT_H3_GE_0P8
gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,EAS,1,B,3,1e-06 || 1e-05 || 0.0001,ROBUST_DISTINCT,1e-05,0.9995792653931935,0.000378215954974997,0.0003782320368912851,DISTINCT_H3_GE_0P8,3.7834474139090244e-05,0.003769328966557635,0.996188296621722,0.9999196323959912,3.783608342614037e-05,0.003769488696423632,DISTINCT_H3_GE_0P8 || DISTINCT_H3_GE_0P8 || DISTINCT_H3_GE_0P8,0.9999196323959912,3.7834474139090244e-05,3.783608342614037e-05,DISTINCT_H3_GE_0P8,0.9995792653931935,0.000378215954974997,0.0003782320368912851,DISTINCT_H3_GE_0P8,0.996188296621722,0.003769328966557635,0.003769488696423632,DISTINCT_H3_GE_0P8
gt_2a7e2fce1378c79e,SLC22A12,Gout,GBMI,EAS,1,A,3,1e-06 || 1e-05 || 0.0001,ROBUST_DISTINCT,1e-05,0.999999999060563,6.585850505864262e-10,6.58585050771391e-10,DISTINCT_H3_GE_0P8,6.585850509767846e-11,6.5858504668281364e-09,0.9999999931332866,0.9999999996532836,6.585850511617535e-11,6.585850468677858e-09,DISTINCT_H3_GE_0P8 || DISTINCT_H3_GE_0P8 || DISTINCT_H3_GE_0P8,0.9999999996532836,6.585850509767846e-11,6.585850511617535e-11,DISTINCT_H3_GE_0P8,0.999999999060563,6.585850505864262e-10,6.58585050771391e-10,DISTINCT_H3_GE_0P8,0.9999999931332866,6.5858504668281364e-09,6.585850468677858e-09,DISTINCT_H3_GE_0P8
gt_9974caf98cb25074,TSLP,Asthma,GBMI,EAS,1,A,3,1e-06 || 1e-05 || 0.0001,ROBUST_SHARED,1e-05,9.094947017737654e-16,1.0,0.9999999999999991,SHARED_H4_GE_0P8,1.0,1.0,9.094947017737482e-17,9.094947017737567e-15,0.9999999999999909,1.0,SHARED_H4_GE_0P8 || SHARED_H4_GE_0P8 || SHARED_H4_GE_0P8,9.094947017737567e-15,1.0,0.9999999999999909,SHARED_H4_GE_0P8,9.094947017737654e-16,1.0,0.9999999999999991,SHARED_H4_GE_0P8,9.094947017737482e-17,1.0,1.0,SHARED_H4_GE_0P8
