comparison_uid,gene_trait_uid,gene,candidate_trait_name,candidate_source,comparison_population,minimum_pp_h3,maximum_pp_h3,minimum_pp_h4,maximum_pp_h4,comparison_prior_stability
cmp_17d744d1985fa469,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,EAS,0.9999983879940747,0.9999999824941882,1.6106087759746344e-08,1.6106062078587284e-06,ROBUST_DISTINCT
cmp_23670cc5cddedef4,gt_0b0678ba83486ccf,APOE,LDL direct,Pan-UKB,CSA,0.00033869719384296,0.0327708783356319,0.967229121664721,0.9996613028060126,ROBUST_SHARED
cmp_2565e0e2adfe1275,gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,EAS,0.019690084908821636,0.6676147569868786,0.3323852430124328,0.9803099150911608,PRIOR_SENSITIVE
cmp_297fbf716b9104dc,gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,EAS,0.996188296621722,0.9999196323959912,3.7834474139090244e-05,0.003769328966557635,ROBUST_DISTINCT
cmp_4af752414605f4d3,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,CSA,0.9628109372465826,0.9994596343195449,0.00038448759252917496,0.037038900482932825,ROBUST_DISTINCT
cmp_58feb2f9cd1731f6,gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,CSA,2.8962264063434046e-10,2.896226323299974e-08,0.9999999710380512,0.9999999997107807,ROBUST_SHARED
cmp_88c6906de1ea612c,gt_5a525d6a0e697a02,THPO,Platelet count,Pan-UKB,AFR,0.18825842313220212,0.9586324982743463,0.0413344390391636,0.8117350839424557,PRIOR_SENSITIVE
cmp_899b25b2a6459d69,gt_38057e29398d09a6,CSF3,Neutrophill count,Pan-UKB,CSA,0.014642108673334455,0.5977422828196017,0.40225768571702814,0.9853578905560207,PRIOR_SENSITIVE
cmp_9de93e69fed596e7,gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,CSA,0.8765712779211113,0.998593878298602,0.0014061052991467932,0.12342870768091839,ROBUST_DISTINCT
cmp_a54e8bec4ce3739c,gt_9974caf98cb25074,TSLP,Asthma,GBMI,EAS,9.094947017737482e-17,9.094947017737567e-15,1.0,1.0,ROBUST_SHARED
cmp_a76b488e4d6fc321,gt_b5915a3fe7e0c8ef,IL13,Asthma,GBMI,EAS,0.002197377529706757,0.18047550945278357,0.8195174415861737,0.9978025366457524,ROBUST_SHARED
cmp_ba664b37fee5bc19,gt_519bb947b499daff,GATA3,Asthma,GBMI,EAS,0.00038784143168177625,0.037309985776921746,0.9616067869928541,0.9996008983013673,ROBUST_SHARED
cmp_c19fd6087066e5ad,gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,AFR,0.9999994103174605,0.9999994863084294,7.675854646663688e-10,7.675854063365864e-08,ROBUST_DISTINCT
cmp_cf4e49ee6917e9e7,gt_e89d07b40f69aeb9,APOB,Triglycerides,Pan-UKB,CSA,0.001363287330826502,0.12011692629762533,0.8798817971909977,0.9986366981811723,ROBUST_SHARED
cmp_eafab6e5a8a920a4,gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,AFR,0.19086017266411645,0.9539899042210336,0.0403875833247006,0.8080149583063737,PRIOR_SENSITIVE
cmp_ed5bdc4e95af264b,gt_2a7e2fce1378c79e,SLC22A12,Gout,GBMI,EAS,0.9999999931332866,0.9999999996532836,6.585850509767846e-11,6.5858504668281364e-09,ROBUST_DISTINCT
cmp_f0cf4964e6b5f030,gt_b328521a0423f5c5,ANGPTL3,Triglycerides,Pan-UKB,CSA,0.011619152674941792,0.5403183710544475,0.4596201026573243,0.9883795242471259,PRIOR_SENSITIVE
