comparison_uid,gene_trait_uid,gene,candidate_trait_name,candidate_source,comparison_population,sensitivity_pool_assignment,comparison_prior_stability,primary_p12,primary_pp_h3,primary_pp_h4,primary_conditional_h4,primary_category,minimum_pp_h3,maximum_pp_h3,minimum_pp_h4,maximum_pp_h4
cmp_f0cf4964e6b5f030,gt_b328521a0423f5c5,ANGPTL3,Triglycerides,Pan-UKB,CSA,B,PRIOR_SENSITIVE,1e-05,0.10519027716252846,0.8947977447748361,0.8948084628466507,SHARED_H4_GE_0P8,0.011619152674941792,0.5403183710544475,0.4596201026573243,0.9883795242471259
cmp_cf4e49ee6917e9e7,gt_e89d07b40f69aeb9,APOB,Triglycerides,Pan-UKB,CSA,B,ROBUST_SHARED,1e-05,0.013467629316386391,0.9865322275598706,0.9865323687560759,SHARED_H4_GE_0P8,0.001363287330826502,0.12011692629762533,0.8798817971909977,0.9986366981811723
cmp_c19fd6087066e5ad,gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,AFR,A,ROBUST_DISTINCT,1e-05,0.9999994793999113,7.675854593637423e-09,7.675858530771281e-09,DISTINCT_H3_GE_0P8,0.9999994103174605,0.9999994863084294,7.675854646663688e-10,7.675854063365864e-08
cmp_58feb2f9cd1731f6,gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,CSA,A,ROBUST_SHARED,1e-05,2.8962263987923925e-09,0.9999999971041689,0.9999999971037736,SHARED_H4_GE_0P8,2.8962264063434046e-10,2.896226323299974e-08,0.9999999710380512,0.9999999997107807
cmp_23670cc5cddedef4,gt_0b0678ba83486ccf,APOE,LDL direct,Pan-UKB,CSA,B,ROBUST_SHARED,1e-05,0.003376678893437004,0.9966233211066546,0.9966233211065633,SHARED_H4_GE_0P8,0.00033869719384296,0.0327708783356319,0.967229121664721,0.9996613028060126
cmp_899b25b2a6459d69,gt_38057e29398d09a6,CSF3,Neutrophill count,Pan-UKB,CSA,A,PRIOR_SENSITIVE,1e-05,0.12937250883291018,0.8706274843573647,0.8706274902860985,SHARED_H4_GE_0P8,0.014642108673334455,0.5977422828196017,0.40225768571702814,0.9853578905560207
cmp_ba664b37fee5bc19,gt_519bb947b499daff,GATA3,Asthma,GBMI,EAS,B,ROBUST_SHARED,1e-05,0.0038645332407903593,0.9960232671013607,0.9961350331112471,SHARED_H4_GE_0P8,0.00038784143168177625,0.037309985776921746,0.9616067869928541,0.9996008983013673
cmp_a76b488e4d6fc321,gt_b5915a3fe7e0c8ef,IL13,Asthma,GBMI,EAS,B,ROBUST_SHARED,1e-05,0.021547624264828907,0.9784515341342047,0.9784523576006544,SHARED_H4_GE_0P8,0.002197377529706757,0.18047550945278357,0.8195174415861737,0.9978025366457524
cmp_4af752414605f4d3,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,CSA,B,ROBUST_DISTINCT,1e-05,0.9960130424083146,0.003831617042382633,0.0038322123403526282,DISTINCT_H3_GE_0P8,0.9628109372465826,0.9994596343195449,0.00038448759252917496,0.037038900482932825
cmp_17d744d1985fa469,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,EAS,B,ROBUST_DISTINCT,1e-05,0.9999998375394189,1.6106085425091915e-07,1.6106085447636036e-07,DISTINCT_H3_GE_0P8,0.9999983879940747,0.9999999824941882,1.6106087759746344e-08,1.6106062078587284e-06
cmp_2565e0e2adfe1275,gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,EAS,A,PRIOR_SENSITIVE,1e-05,0.16726048986261258,0.8327395101372147,0.8327395101373586,SHARED_H4_GE_0P8,0.019690084908821636,0.6676147569868786,0.3323852430124328,0.9803099150911608
cmp_297fbf716b9104dc,gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,EAS,B,ROBUST_DISTINCT,1e-05,0.9995792653931935,0.000378215954974997,0.0003782320368912851,DISTINCT_H3_GE_0P8,0.996188296621722,0.9999196323959912,3.7834474139090244e-05,0.003769328966557635
cmp_eafab6e5a8a920a4,gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,AFR,B,PRIOR_SENSITIVE,1e-05,0.6996685921388541,0.29620778416679405,0.2974342912577372,INCONCLUSIVE,0.19086017266411645,0.9539899042210336,0.0403875833247006,0.8080149583063737
cmp_9de93e69fed596e7,gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,CSA,B,ROBUST_DISTINCT,1e-05,0.9861146489970338,0.01388533480581001,0.01388533503071295,DISTINCT_H3_GE_0P8,0.8765712779211113,0.998593878298602,0.0014061052991467932,0.12342870768091839
cmp_ed5bdc4e95af264b,gt_2a7e2fce1378c79e,SLC22A12,Gout,GBMI,EAS,A,ROBUST_DISTINCT,1e-05,0.999999999060563,6.585850505864262e-10,6.58585050771391e-10,DISTINCT_H3_GE_0P8,0.9999999931332866,0.9999999996532836,6.585850509767846e-11,6.5858504668281364e-09
cmp_88c6906de1ea612c,gt_5a525d6a0e697a02,THPO,Platelet count,Pan-UKB,AFR,B,PRIOR_SENSITIVE,1e-05,0.6987066655962487,0.3012692364105512,0.3012764965695169,INCONCLUSIVE,0.18825842313220212,0.9586324982743463,0.0413344390391636,0.8117350839424557
cmp_a54e8bec4ce3739c,gt_9974caf98cb25074,TSLP,Asthma,GBMI,EAS,A,ROBUST_SHARED,1e-05,9.094947017737654e-16,1.0,0.9999999999999991,SHARED_H4_GE_0P8,9.094947017737482e-17,9.094947017737567e-15,1.0,1.0
