gene_trait_uid,gene,candidate_trait_name,candidate_source,sensitivity_pool_assignment,n_powered_comparisons,comparison_ancestries,comparison_stability_classes,unit_stability_final,primary_unit_category,primary_pp_h4_minimum,primary_pp_h4_median,primary_pp_h4_maximum
gt_f57de0955fec90d0,APOC3,Triglycerides,Pan-UKB,A,2,AFR || CSA,ROBUST_DISTINCT || ROBUST_SHARED,ANCESTRY_DISCORDANT,ANCESTRY_DISCORDANT,7.675854593637423e-09,0.5000000023900117,0.9999999971041689
gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,B,2,AFR || CSA,PRIOR_SENSITIVE || ROBUST_DISTINCT,MIXED_WITH_PRIOR_SENSITIVITY,MIXED_OR_INCONCLUSIVE,0.01388533480581001,0.15504655948630203,0.29620778416679405
gt_b328521a0423f5c5,ANGPTL3,Triglycerides,Pan-UKB,B,1,CSA,PRIOR_SENSITIVE,PRIOR_SENSITIVE,CONSISTENT_SHARED,0.8947977447748361,0.8947977447748361,0.8947977447748361
gt_38057e29398d09a6,CSF3,Neutrophill count,Pan-UKB,A,1,CSA,PRIOR_SENSITIVE,PRIOR_SENSITIVE,CONSISTENT_SHARED,0.8706274843573647,0.8706274843573647,0.8706274843573647
gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,A,1,EAS,PRIOR_SENSITIVE,PRIOR_SENSITIVE,CONSISTENT_SHARED,0.8327395101372147,0.8327395101372147,0.8327395101372147
gt_5a525d6a0e697a02,THPO,Platelet count,Pan-UKB,B,1,AFR,PRIOR_SENSITIVE,PRIOR_SENSITIVE,MIXED_OR_INCONCLUSIVE,0.3012692364105512,0.3012692364105512,0.3012692364105512
gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,B,2,CSA || EAS,ROBUST_DISTINCT,ROBUST_DISTINCT,CONSISTENT_DISTINCT,1.6106085425091915e-07,0.0019158890516184418,0.003831617042382633
gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,B,1,EAS,ROBUST_DISTINCT,ROBUST_DISTINCT,CONSISTENT_DISTINCT,0.000378215954974997,0.000378215954974997,0.000378215954974997
gt_2a7e2fce1378c79e,SLC22A12,Gout,GBMI,A,1,EAS,ROBUST_DISTINCT,ROBUST_DISTINCT,CONSISTENT_DISTINCT,6.585850505864262e-10,6.585850505864262e-10,6.585850505864262e-10
gt_e89d07b40f69aeb9,APOB,Triglycerides,Pan-UKB,B,1,CSA,ROBUST_SHARED,ROBUST_SHARED,CONSISTENT_SHARED,0.9865322275598706,0.9865322275598706,0.9865322275598706
gt_0b0678ba83486ccf,APOE,LDL direct,Pan-UKB,B,1,CSA,ROBUST_SHARED,ROBUST_SHARED,CONSISTENT_SHARED,0.9966233211066546,0.9966233211066546,0.9966233211066546
gt_519bb947b499daff,GATA3,Asthma,GBMI,B,1,EAS,ROBUST_SHARED,ROBUST_SHARED,CONSISTENT_SHARED,0.9960232671013607,0.9960232671013607,0.9960232671013607
gt_b5915a3fe7e0c8ef,IL13,Asthma,GBMI,B,1,EAS,ROBUST_SHARED,ROBUST_SHARED,CONSISTENT_SHARED,0.9784515341342047,0.9784515341342047,0.9784515341342047
gt_9974caf98cb25074,TSLP,Asthma,GBMI,A,1,EAS,ROBUST_SHARED,ROBUST_SHARED,CONSISTENT_SHARED,1.0,1.0,1.0
