==============================================================================
STEP 15E — CROSS-ANCESTRY COLOCALIZATION
==============================================================================
Primary comparisons: 538
Powered in both ancestries: 17
Pending caches: 535
Priors: p1=0.0001, p2=0.0001, p12=1e-06, 1e-05, 0.0001
Primary p12: 1e-05
==============================================================================
[1/535] cmp_882aa5528898efd7 | ADORA1 | EAS
[2/535] cmp_1879bacc3f143d63 | ADORA2B | AFR
[3/535] cmp_3fbdc821bc212f87 | ADORA2B | AMR
[4/535] cmp_a918f142c50e9c1b | ADORA2B | CSA
[5/535] cmp_d4512f391230ce00 | ADORA2B | EAS
[6/535] cmp_46490d7af44846b5 | ADRB2 | AFR
[7/535] cmp_2bdca6ae65b579b6 | ADRB2 | AMR
[8/535] cmp_20b65a81adbdd8d8 | ADRB2 | CSA
[9/535] cmp_d46a8755ecd8923f | ADRB2 | EAS
[10/535] cmp_28207de7faebaec4 | CHRM3 | AFR
[11/535] cmp_35c7f33119fc69aa | CHRM3 | AMR
[12/535] cmp_7cd40f2755ea14ce | CHRM3 | CSA
[13/535] cmp_a91e9e2dbbab8464 | CHRM3 | EAS
[14/535] cmp_b4fc8783bf50b0f8 | CSF2 | AFR
[15/535] cmp_900aed83a970be9e | CSF2 | AMR
[16/535] cmp_872016488aceb283 | CSF2 | CSA
[17/535] cmp_d8dd6ef7088ffba2 | CSF2 | EAS
[18/535] cmp_e3d18da8c31d7ea7 | FGFR3 | AFR
[19/535] cmp_bbd4208cbc3bd7e5 | FGFR3 | AMR
[20/535] cmp_e04d0f6a0ffc8967 | FGFR3 | CSA
[21/535] cmp_06689f7e8a7c15e0 | FGFR3 | EAS
[22/535] cmp_dc17746c43ba008b | GATA3 | AFR
[23/535] cmp_9d824417fe65d822 | GATA3 | AMR
[24/535] cmp_6fac66445dcff4c0 | GATA3 | CSA
[25/535] cmp_ba664b37fee5bc19 | GATA3 | EAS
[26/535] cmp_56f69ebeb8ee406e | HRH4 | AFR
[27/535] cmp_7e98133a48915a98 | HRH4 | AMR
[28/535] cmp_8a07d6969db9bbda | HRH4 | CSA
[29/535] cmp_ddb0f1f4a82215f0 | HRH4 | EAS
[30/535] cmp_ab8ccf0cc0913f47 | IL13 | AFR
[31/535] cmp_d6a94e5b9cd24b66 | IL13 | AMR
[32/535] cmp_36a279eb7569f6dc | IL13 | CSA
[33/535] cmp_a76b488e4d6fc321 | IL13 | EAS
[34/535] cmp_970c00a72772998e | IL17RB | AFR
[35/535] cmp_efb9c759a376363a | IL17RB | AMR
[36/535] cmp_be7991c3429d43fa | IL17RB | CSA
[37/535] cmp_391e0792ae5e5eb8 | IL17RB | EAS
[38/535] cmp_50dfe6ec581edb6f | IL1RL1 | AFR
[39/535] cmp_1113c8b20072258e | IL1RL1 | AMR
[40/535] cmp_4af752414605f4d3 | IL1RL1 | CSA
[41/535] cmp_17d744d1985fa469 | IL1RL1 | EAS
[42/535] cmp_2fa1f1babb57f737 | IL3 | AFR
[43/535] cmp_c7a26102b9b160c3 | IL3 | AMR
[44/535] cmp_4aca20d855ce9b3c | IL3 | CSA
[45/535] cmp_82190d5c3cce51fe | IL3 | EAS
[46/535] cmp_2bc6da7bd58f8b90 | IL33 | AFR
[47/535] cmp_11df635d08e72758 | IL33 | AMR
[48/535] cmp_a0dab9d33f7b3552 | IL33 | CSA
[49/535] cmp_af469cf6305c50e3 | IL33 | EAS
[50/535] cmp_812c7bbd23890504 | IL4R | AFR
[51/535] cmp_5235bc263b35ea04 | IL4R | AMR
[52/535] cmp_7aa41dc81cd9b3ff | IL4R | CSA
[53/535] cmp_2565e0e2adfe1275 | IL4R | EAS
[54/535] cmp_3618bc9e13b64408 | IL5 | AFR
[55/535] cmp_562bf6b74a067fe1 | IL5 | AMR
[56/535] cmp_596f61a009141a06 | IL5 | CSA
[57/535] cmp_297fbf716b9104dc | IL5 | EAS
[58/535] cmp_377f011c20740fe6 | IL6 | AFR
[59/535] cmp_df338e515712a29b | IL6 | AMR
[60/535] cmp_01c999296b50331d | IL6 | CSA
[61/535] cmp_81b7013723919858 | IL6 | EAS
[62/535] cmp_78ab0cec165a10b6 | ITGB7 | AFR
[63/535] cmp_027ede373e9e32fc | ITGB7 | AMR
[64/535] cmp_0185688e150500b4 | ITGB7 | CSA
[65/535] cmp_2940f1520de2d89c | ITGB7 | EAS
[66/535] cmp_657a71fd538ccde4 | KIT | AFR
[67/535] cmp_22e4bb0bd2604a20 | KIT | AMR
[68/535] cmp_e313208803a5a955 | KIT | CSA
[69/535] cmp_3bba1cac3b396afd | KIT | EAS
[70/535] cmp_3d32b80e340128c1 | MMP12 | AFR
[71/535] cmp_09aa585345ceecf1 | MMP12 | AMR
[72/535] cmp_8b21875c59a4abf6 | MMP12 | CSA
[73/535] cmp_67cc4fd484a447f5 | MMP12 | EAS
[74/535] cmp_81e6fb935e951311 | NFKB1 | AFR
[75/535] cmp_6a4da4dd71f0791b | NFKB1 | AMR
[76/535] cmp_39a9b5261c32bec2 | NFKB1 | CSA
[77/535] cmp_e018d207e91f13e8 | NFKB1 | EAS
[78/535] cmp_e99b9e694a260c3a | NR3C1 | AFR
[79/535] cmp_b5dd8a7fcca42b7c | NR3C1 | AMR
[80/535] cmp_f458ecfcec2c5d9f | NR3C1 | CSA
[81/535] cmp_8063a29b00ae6a87 | NR3C1 | EAS
[82/535] cmp_00c0877e4cf73aff | P2RY2 | AFR
[83/535] cmp_279d799e99cad7e6 | P2RY2 | AMR
[84/535] cmp_c8ca51c9e7ed8887 | P2RY2 | CSA
[85/535] cmp_f9d05cb9b9fddeed | P2RY2 | EAS
[86/535] cmp_f416cef74ff8f5d3 | PDE3A | AFR
[87/535] cmp_715cbde0b191e2ec | PDE3A | AMR
[88/535] cmp_856487be35c75773 | PDE3A | CSA
[89/535] cmp_db5df5f6d2e98002 | PDE3A | EAS
[90/535] cmp_dd1199ab22dd3b77 | PDE4B | AFR
[91/535] cmp_03f2ddb9340f36ed | PDE4B | AMR
[92/535] cmp_4d09c42333a8fe38 | PDE4B | CSA
[93/535] cmp_5d6b9aa7b5fb6072 | PDE4B | EAS
[94/535] cmp_ce64a986a8d15c08 | PDE4D | AFR
[95/535] cmp_8034523652295a06 | PDE4D | AMR
[96/535] cmp_06ec7c1c45431cd9 | PDE4D | CSA
[97/535] cmp_82ff76430d4c159e | PDE4D | EAS
[98/535] cmp_0774efc1872e713e | TNFSF15 | AFR
[99/535] cmp_66091c879cda73f3 | TNFSF15 | AMR
[100/535] cmp_f5f9d92e52842a63 | TNFSF15 | CSA
[101/535] cmp_b5f053fdd7083b6e | TNFSF15 | EAS
[102/535] cmp_ea126469051698c2 | TNFSF4 | AFR
[103/535] cmp_bf99a17326cc295c | TNFSF4 | AMR
[104/535] cmp_c5eb7b0c9e5d28e0 | TNFSF4 | CSA
[105/535] cmp_7b9f8e7b25ae87d7 | TNFSF4 | EAS
[106/535] cmp_e854c14fa9f40a21 | TSLP | AFR
[107/535] cmp_ebe379c15a6da6e9 | TSLP | AMR
[108/535] cmp_381d86345f6977a1 | TSLP | CSA
[109/535] cmp_a54e8bec4ce3739c | TSLP | EAS
[110/535] cmp_1651d20a22bcf975 | TYK2 | AFR
[111/535] cmp_7e05927d4234e8f1 | TYK2 | AMR
[112/535] cmp_4cadfeba397d5fcb | TYK2 | CSA
[113/535] cmp_13ba9b9b5abf239c | TYK2 | EAS
[114/535] cmp_99775e607307b46c | ADORA1 | AFR
[115/535] cmp_f9420030b12a967c | ADORA1 | AMR
[116/535] cmp_b183626c5e1a2682 | ADORA1 | EAS
[117/535] cmp_7b30a058acdf9401 | ADRB2 | AFR
[118/535] cmp_f62aa338ed422bb6 | ADRB2 | AMR
[119/535] cmp_def63fee9adfede7 | ADRB2 | EAS
[120/535] cmp_c8b387d82b73af29 | CHRM3 | AFR
[121/535] cmp_3d2151e97cc0ce0d | CHRM3 | AMR
[122/535] cmp_a6f990f370ee73be | CHRM3 | EAS
[123/535] cmp_d21d81678d910f56 | CSF2 | AFR
[124/535] cmp_79fe799c93b464e6 | CSF2 | AMR
[125/535] cmp_9a5c6fcb69c5503f | CSF2 | EAS
[126/535] cmp_e83cc1f827b5754c | EPHX2 | AFR
[127/535] cmp_3a2a97dcf17ee031 | EPHX2 | AMR
[128/535] cmp_f22a7cef0aba19fb | EPHX2 | EAS
[129/535] cmp_3f52a23106c37195 | GATA3 | AFR
[130/535] cmp_1e4bde6774458ccd | GATA3 | AMR
[131/535] cmp_6248cabd231c57ae | GATA3 | EAS
[132/535] cmp_27f7de000415a5a6 | HCRTR1 | AFR
[133/535] cmp_e693be8f1d56fecd | HCRTR1 | AMR
[134/535] cmp_23dc1acd8f48ad21 | HCRTR1 | EAS
[135/535] cmp_d6892d31bc8e5b1a | HRH4 | AFR
[136/535] cmp_296850778fbada3a | HRH4 | AMR
[137/535] cmp_650706fba16caa25 | HRH4 | EAS
[138/535] cmp_923a11e3e50006fd | IL13 | AFR
[139/535] cmp_02626343e8b15fa9 | IL13 | AMR
