approval_pool,approval_group,classification,n_units,proportion_among_powered,primary_pool_units,powered_fraction_of_primary_pool,inference_status
A,Launched/approved,ALL_POWERED,5,1.0,46,0.10869565217391304,DESCRIPTIVE_ONLY_NO_POOL_TEST
A,Launched/approved,ROBUST_SHARED,1,0.2,46,0.10869565217391304,DESCRIPTIVE_ONLY_NO_POOL_TEST
A,Launched/approved,ROBUST_DISTINCT,1,0.2,46,0.10869565217391304,DESCRIPTIVE_ONLY_NO_POOL_TEST
A,Launched/approved,ANCESTRY_DISCORDANT,1,0.2,46,0.10869565217391304,DESCRIPTIVE_ONLY_NO_POOL_TEST
A,Launched/approved,MIXED_WITH_PRIOR_SENSITIVITY,0,0.0,46,0.10869565217391304,DESCRIPTIVE_ONLY_NO_POOL_TEST
A,Launched/approved,PRIOR_SENSITIVE,2,0.4,46,0.10869565217391304,DESCRIPTIVE_ONLY_NO_POOL_TEST
B,Phase I-III/not launched,ALL_POWERED,9,1.0,167,0.05389221556886228,DESCRIPTIVE_ONLY_NO_POOL_TEST
B,Phase I-III/not launched,ROBUST_SHARED,4,0.4444444444444444,167,0.05389221556886228,DESCRIPTIVE_ONLY_NO_POOL_TEST
B,Phase I-III/not launched,ROBUST_DISTINCT,2,0.2222222222222222,167,0.05389221556886228,DESCRIPTIVE_ONLY_NO_POOL_TEST
B,Phase I-III/not launched,ANCESTRY_DISCORDANT,0,0.0,167,0.05389221556886228,DESCRIPTIVE_ONLY_NO_POOL_TEST
B,Phase I-III/not launched,MIXED_WITH_PRIOR_SENSITIVITY,1,0.1111111111111111,167,0.05389221556886228,DESCRIPTIVE_ONLY_NO_POOL_TEST
B,Phase I-III/not launched,PRIOR_SENSITIVE,2,0.2222222222222222,167,0.05389221556886228,DESCRIPTIVE_ONLY_NO_POOL_TEST
