level,stage,approval_pool,n,denominator_primary,fraction_of_primary
UNIT,PRIMARY_MECHANISTIC_UNIVERSE,ALL,213,213,1.0
UNIT,PRIMARY_MECHANISTIC_UNIVERSE,A,46,46,1.0
UNIT,PRIMARY_MECHANISTIC_UNIVERSE,B,167,167,1.0
UNIT,PORTABILITY_PRE_LD_LOCKED,ALL,98,213,0.460093896713615
UNIT,PORTABILITY_PRE_LD_LOCKED,A,28,46,0.6086956521739131
UNIT,PORTABILITY_PRE_LD_LOCKED,B,70,167,0.41916167664670656
UNIT,PORTABILITY_FINAL,ALL,50,213,0.2347417840375587
UNIT,PORTABILITY_FINAL,A,18,46,0.391304347826087
UNIT,PORTABILITY_FINAL,B,32,167,0.19161676646706588
UNIT,COLOC_INPUT_LOCKED,ALL,213,213,1.0
UNIT,COLOC_INPUT_LOCKED,A,46,46,1.0
UNIT,COLOC_INPUT_LOCKED,B,167,167,1.0
UNIT,COLOC_POWERED_FROZEN,ALL,14,213,0.06572769953051644
UNIT,COLOC_POWERED_FROZEN,A,5,46,0.10869565217391304
UNIT,COLOC_POWERED_FROZEN,B,9,167,0.05389221556886228
UNIT,COLOC_POWERED_FINAL,ALL,14,213,0.06572769953051644
UNIT,COLOC_POWERED_FINAL,A,5,46,0.10869565217391304
UNIT,COLOC_POWERED_FINAL,B,9,167,0.05389221556886228
UNIT,BOTH_FINAL_MECHANISMS,ALL,13,213,0.06103286384976526
UNIT,BOTH_FINAL_MECHANISMS,A,5,46,0.10869565217391304
UNIT,BOTH_FINAL_MECHANISMS,B,8,167,0.04790419161676647
COMPARISON,PRIMARY_MECHANISTIC_COMPARISONS,ALL,538,538,1.0
COMPARISON,PRIMARY_MECHANISTIC_COMPARISONS,A,107,107,1.0
COMPARISON,PRIMARY_MECHANISTIC_COMPARISONS,B,431,431,1.0
COMPARISON,PORTABILITY_FINAL,ALL,104,538,0.19330855018587362
COMPARISON,PORTABILITY_FINAL,A,37,107,0.34579439252336447
COMPARISON,PORTABILITY_FINAL,B,67,431,0.1554524361948956
COMPARISON,COLOC_POWERED_FINAL,ALL,17,538,0.031598513011152414
COMPARISON,COLOC_POWERED_FINAL,A,6,107,0.056074766355140186
COMPARISON,COLOC_POWERED_FINAL,B,11,431,0.025522041763341066
COMPARISON,BOTH_FINAL_MECHANISMS,ALL,15,538,0.027881040892193308
COMPARISON,BOTH_FINAL_MECHANISMS,A,5,107,0.04672897196261682
COMPARISON,BOTH_FINAL_MECHANISMS,B,10,431,0.02320185614849188
