estimator,restriction,n_comparisons,n_units,median_slope,median_effective_n_ratio,n,random_mean,random_ci_lower,random_ci_upper,tau2,i2_percent
naive,all,104,50,0.6238495076025421,0.020912072236356417,104,0.7022900414065796,0.5883626975769404,0.8162173852362188,0.2114382345463052,81.74720488986779
naive,effective_N_ratio_ge_0.01,79,48,0.6281991132861738,0.020998293451400845,79,0.690076475383716,0.5670154005579776,0.8131375502094543,0.214360431989426,84.87800923151228
naive,effective_N_ratio_ge_0.05,8,8,0.8400922437456151,0.15783253633914138,8,0.7669827005657542,0.3797274841335706,1.1542379169979378,0.22201724661645836,82.76655876771717
naive,effective_N_ratio_ge_0.10,6,6,1.0628545282083603,0.15783253633914138,6,0.9957812301501071,0.6086964432880637,1.3828660170121505,0.17138156431742907,82.183729509651
naive,more_balanced_half,53,34,0.63789967898843,0.027307903312677503,53,0.7084566838940674,0.5890328807136839,0.8278804870744508,0.116578802610556,71.64303477041729
fiqt,all,104,50,0.6343049913925966,0.020912072236356417,104,0.7158867411995901,0.598174602462174,0.8335988799370061,0.23020458447983916,82.0161973566726
fiqt,effective_N_ratio_ge_0.01,79,48,0.637764428573694,0.020998293451400845,79,0.701443936492645,0.5742425937759256,0.8286452792093645,0.232885437350583,85.06195963416461
fiqt,effective_N_ratio_ge_0.05,8,8,0.8433136094737488,0.15783253633914138,8,0.7694926251533075,0.3783713661518798,1.1606138841547353,0.2275850789738057,83.05878745432553
fiqt,effective_N_ratio_ge_0.10,6,6,1.0685327071289077,0.15783253633914138,6,1.000944721862973,0.6092368104966025,1.3926526332293436,0.17650377995853744,82.55405447636586
fiqt,more_balanced_half,53,34,0.641968203819022,0.027307903312677503,53,0.7209255774718832,0.597164722904719,0.8446864320390475,0.12844308884641198,71.43991157937761
deming,all,104,50,0.6271835557831823,0.020912072236356417,104,0.6835698671105152,0.5800627595395074,0.7870769746815229,0.18266767220589772,82.71865275599725
deming,effective_N_ratio_ge_0.01,79,48,0.6283266933661993,0.020998293451400845,79,0.6592620247764928,0.5456187690400247,0.7729052805129608,0.18967148000246717,85.52134267464963
deming,effective_N_ratio_ge_0.05,8,8,0.6785779589191785,0.15783253633914138,8,0.8191084538994033,0.47448412060845147,1.1637327871903551,0.17589091594860068,80.24071642607905
deming,effective_N_ratio_ge_0.10,6,6,0.8236695262527817,0.15783253633914138,6,0.9940443771714274,0.6381396781431221,1.3499490761997326,0.14459779695485125,79.3328007441234
deming,more_balanced_half,53,34,0.6549940580637434,0.027307903312677503,53,0.6871732891121429,0.5918370690789133,0.7825095091453725,0.06718426179397807,64.84508686325181
