comparison_uid,gene_trait_uid,gene,candidate_trait_name,candidate_source,comparison_population,eur_coloc_type,comparison_coloc_type,eur_total_n,comparison_total_n,total_n_ratio,eur_cases,eur_controls,comparison_cases,comparison_controls,eur_effective_n,comparison_effective_n,effective_n_ratio
cmp_ab8ccf0cc0913f47,gt_b5915a3fe7e0c8ef,IL13,Asthma,GBMI,AFR,cc,cc,1316443.0,19178.0,0.014568044343735353,117670.0,1198773.0,3603.0,15575.0,428608.36028601317,11704.395661695691,0.027307903312677503
cmp_d6a94e5b9cd24b66,gt_b5915a3fe7e0c8ef,IL13,Asthma,GBMI,AMR,cc,cc,1316443.0,18173.0,0.01380462351959029,117670.0,1198773.0,4069.0,14104.0,428608.36028601317,12631.745116381446,0.029471532258381988
cmp_36a279eb7569f6dc,gt_b5915a3fe7e0c8ef,IL13,Asthma,GBMI,CSA,cc,cc,1316443.0,31106.0,0.02362882403567796,117670.0,1198773.0,4015.0,27091.0,428608.36028601317,13987.059088278791,0.032633659033027576
cmp_a76b488e4d6fc321,gt_b5915a3fe7e0c8ef,IL13,Asthma,GBMI,EAS,cc,cc,1316443.0,341204.0,0.25918630734486797,117670.0,1198773.0,18549.0,322655.0,428608.36028601317,70162.45524671457,0.1636982890391935
cmp_50dfe6ec581edb6f,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,AFR,cc,cc,1376071.0,32658.0,0.023732787043691785,121940.0,1254131.0,5051.0,27607.0,444537.33605315426,17079.17900667524,0.03842012272425425
cmp_1113c8b20072258e,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,AMR,cc,cc,1376071.0,18173.0,0.013206440656041731,121940.0,1254131.0,4069.0,14104.0,444537.33605315426,12631.745116381446,0.02841548750107919
cmp_4af752414605f4d3,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,CSA,cc,cc,1376071.0,31106.0,0.02260493826263325,121940.0,1254131.0,4015.0,27091.0,444537.33605315426,13987.059088278791,0.03146430671597476
cmp_17d744d1985fa469,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,EAS,cc,cc,1376071.0,341204.0,0.24795522905431477,121940.0,1254131.0,18549.0,322655.0,444537.33605315426,70162.45524671457,0.15783253633914138
cmp_2bc6da7bd58f8b90,gt_62933438673c2307,IL33,Asthma,GBMI,AFR,cc,cc,1359430.0,31432.0,0.0231214553158309,118889.0,1240541.0,4762.0,26670.0,433966.2327563758,16162.19648765589,0.03724298175229035
cmp_11df635d08e72758,gt_62933438673c2307,IL33,Asthma,GBMI,AMR,cc,cc,1359430.0,18173.0,0.013368102807794444,118889.0,1240541.0,4069.0,14104.0,433966.2327563758,12631.745116381446,0.02910766820761554
cmp_a0dab9d33f7b3552,gt_62933438673c2307,IL33,Asthma,GBMI,CSA,cc,cc,1376071.0,31106.0,0.02260493826263325,121940.0,1254131.0,4015.0,27091.0,444537.33605315426,13987.059088278791,0.03146430671597476
cmp_af469cf6305c50e3,gt_62933438673c2307,IL33,Asthma,GBMI,EAS,cc,cc,1376071.0,341204.0,0.24795522905431477,121940.0,1254131.0,18549.0,322655.0,444537.33605315426,70162.45524671457,0.15783253633914138
cmp_812c7bbd23890504,gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,AFR,cc,cc,1316443.0,24154.0,0.01834792695164166,117670.0,1198773.0,3603.0,21028.0,428608.36028601317,12303.825910438065,0.02870645337442238
cmp_5235bc263b35ea04,gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,AMR,cc,cc,1349938.0,18173.0,0.013462099740876988,117670.0,1232343.0,4069.0,14104.0,429654.5316526582,12631.745116381446,0.029399771643961656
cmp_7aa41dc81cd9b3ff,gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,CSA,cc,cc,1316443.0,31106.0,0.02362882403567796,117670.0,1198773.0,4015.0,27091.0,428608.36028601317,13987.059088278791,0.032633659033027576
cmp_2565e0e2adfe1275,gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,EAS,cc,cc,1316443.0,341204.0,0.25918630734486797,117670.0,1198773.0,18549.0,322655.0,428608.36028601317,70162.45524671457,0.1636982890391935
cmp_3618bc9e13b64408,gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,AFR,cc,cc,1376071.0,32658.0,0.023732787043691785,121940.0,1254131.0,5051.0,27607.0,444537.33605315426,17079.17900667524,0.03842012272425425
cmp_562bf6b74a067fe1,gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,AMR,cc,cc,1376071.0,18173.0,0.013206440656041731,121940.0,1254131.0,4069.0,14104.0,444537.33605315426,12631.745116381446,0.02841548750107919
cmp_596f61a009141a06,gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,CSA,cc,cc,1376071.0,31106.0,0.02260493826263325,121940.0,1254131.0,4015.0,27091.0,444537.33605315426,13987.059088278791,0.03146430671597476
cmp_297fbf716b9104dc,gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,EAS,cc,cc,1376071.0,341204.0,0.24795522905431477,121940.0,1254131.0,18549.0,322655.0,444537.33605315426,70162.45524671457,0.15783253633914138
cmp_e854c14fa9f40a21,gt_9974caf98cb25074,TSLP,Asthma,GBMI,AFR,cc,cc,1376071.0,32658.0,0.023732787043691785,121940.0,1254131.0,5051.0,27607.0,444537.33605315426,17079.17900667524,0.03842012272425425
