estimator,model,weighting,n_comparisons,n_units,beta_log10_ratio,se_log10_ratio,ci_lower,ci_upper,p_value,r_squared
fiqt,M0_unadjusted,unweighted,104,50,0.09202969432119897,0.27320230688411545,-0.4569908963197025,0.6410502849621005,0.7376644064645608,0.0020102966956351276
fiqt,M0_unadjusted,inverse_variance_approx,104,50,0.3321041199563791,0.22485187376734023,-0.1197526375885774,0.7839608775013356,0.14607680525751063,0.054011449576047865
fiqt,M1_ancestry_adjusted,unweighted,104,50,0.10484304269866279,0.24512728220312813,-0.3877586735615344,0.59744475895886,0.6707372293630139,0.026994610700652344
fiqt,M1_ancestry_adjusted,inverse_variance_approx,104,50,0.14140578025491263,0.3511562560513431,-0.564269136268881,0.8470806967787063,0.6889305889877436,0.26523950955878905
deming,M0_unadjusted,unweighted,104,50,-0.05159543065632655,0.1841637021883626,-0.42168624615210387,0.3184953848394508,0.7805336165447107,0.0011020822308410727
deming,M0_unadjusted,inverse_variance_approx,104,50,0.2748688666784321,0.14831164208791497,-0.023174536639416543,0.5729122699962808,0.0698626631582075,0.04184251015639873
deming,M1_ancestry_adjusted,unweighted,104,50,-0.09669577638556043,0.2701484263407517,-0.6395793643093675,0.44618781153824655,0.7219287405070712,0.11647086131790307
deming,M1_ancestry_adjusted,inverse_variance_approx,104,50,0.1523980421949234,0.2700414339922033,-0.39027053655467847,0.6950666209445252,0.575089917054261,0.37095632434037273
naive,M0_unadjusted,unweighted,104,50,0.09643814029545997,0.2708595622349483,-0.4478745287115582,0.6407508093024781,0.7233354308427399,0.0022435176824531222
naive,M0_unadjusted,inverse_variance_approx,104,50,0.3475759014103005,0.21348426874634643,-0.08143679857900088,0.7765886013996018,0.10991529911623489,0.06101204126550164
naive,M1_ancestry_adjusted,unweighted,104,50,0.10790549231120228,0.2436282484431368,-0.38168380282529557,0.5974947874477001,0.6597797563186598,0.027489350143456548
naive,M1_ancestry_adjusted,inverse_variance_approx,104,50,0.16002526039248077,0.35563736047792854,-0.5546547726219693,0.8747052934069308,0.6547182891703237,0.25581247115875205
