grouping,estimator,coloc_group,n_comparisons_total,n_units,median_slope,q25_slope,q75_slope,n,fixed_mean,fixed_se,fixed_ci_lower,fixed_ci_upper,random_mean,random_se,random_ci_lower,random_ci_upper,tau2,q,q_df,i2_percent
comparison_prior_stability,deming,PRIOR_SENSITIVE,5,5,0.8783520809246045,0.8291091223146158,0.8812524253991286,5,0.8389784305118548,0.06705289373827959,0.7075571737256355,0.9703996872980741,0.904727261087766,0.16308391498276192,0.5850886612637605,1.2243658609117716,0.10698390398739982,22.226529440026912,4,82.00348817032787
comparison_prior_stability,deming,ROBUST_DISTINCT,5,4,0.6993180474608843,0.6048000409418313,1.3432267646133782,5,0.551593168893687,0.0638440144055023,0.42646120003044613,0.6767251377569279,0.7927792305795133,0.24095609281514424,0.3205139668063401,1.2650444943526864,0.23973965073660422,42.52605614286863,4,90.5940019771366
comparison_prior_stability,deming,ROBUST_SHARED,5,5,0.9269489683046768,0.6549940580637434,0.948021005044679,5,0.5824954047737976,0.0635378088157173,0.45796358783840013,0.7070272217091951,0.7679204768746036,0.1783735925202012,0.41831465974198606,1.1175262940072213,0.11084411130966904,19.25952598366512,4,79.23105686301635
comparison_prior_stability,fiqt,PRIOR_SENSITIVE,5,5,0.8673349115504053,0.8223379501189477,1.106244849519583,5,0.870495815935402,0.0581695255064038,0.7564856409450665,0.9845059909257375,0.9824793781482057,0.16061723247517298,0.6676753872003696,1.297283369096042,0.10012795116347666,24.47459272784736,4,83.65652068461685
comparison_prior_stability,fiqt,ROBUST_DISTINCT,5,4,1.088202623884012,0.8587575144586661,1.1106111509952656,5,0.808596320977389,0.09491699478937334,0.6225624296694413,0.9946302122853367,0.9011971437780283,0.18645475718125337,0.5357525349566107,1.2666417525994458,0.11356831044943745,13.22534972437386,4,69.75505311116167
comparison_prior_stability,fiqt,ROBUST_SHARED,5,5,1.0488627903738035,0.5478291870439952,1.0977945841057706,5,0.8035198331680123,0.08461739161829099,0.6376727931304406,0.9693668732055841,0.8387178224154537,0.17431767772399917,0.4970614522077552,1.1803741926231521,0.08720107188524538,11.936006685608726,4,66.48795442764948
comparison_prior_stability,naive,PRIOR_SENSITIVE,5,5,0.8617175649006351,0.8190850129427886,1.101118932561149,5,0.8568475004709473,0.058000967091022565,0.7431676939040501,0.9705273070378444,0.9724769460792619,0.161983459525844,0.6549951993174061,1.2899586928411177,0.10244825456703652,25.058260729623505,4,84.0372001745865
comparison_prior_stability,naive,ROBUST_DISTINCT,5,4,1.0806712781865877,0.8364997509710832,1.1070091645122289,5,0.7403918151434951,0.09317597472267564,0.5577702604626363,0.9230133698243538,0.8737161879931918,0.21684966324034197,0.4486986579824823,1.2987337180039014,0.17325566744905604,18.56798108176291,4,78.4575394471469
comparison_prior_stability,naive,ROBUST_SHARED,5,5,0.8706195225243708,0.5472784447422445,1.0450377782301328,5,0.6461236804288604,0.062103735336971506,0.5244025958629888,0.767844764994732,0.738332135343583,0.15694728000944058,0.43072111905355626,1.0459431516336097,0.0700193721495702,14.570606245111138,4,72.54747034741868
shared_vs_other,deming,NOT_ROBUST_SHARED,10,8,0.8537306016196101,0.6284295425715946,1.2277331798098159,10,0.6882449094838874,0.04623734229396297,0.5976213838468694,0.7788684351209054,0.8466811438784859,0.14160709189086407,0.5691363438169383,1.1242259439400335,0.16403823703118886,74.38730975268554,9,87.90116213380726
shared_vs_other,deming,ROBUST_SHARED,5,5,0.9269489683046768,0.6549940580637434,0.948021005044679,5,0.5824954047737976,0.0635378088157173,0.45796358783840013,0.7070272217091951,0.7679204768746036,0.1783735925202012,0.41831465974198606,1.1175262940072213,0.11084411130966904,19.25952598366512,4,79.23105686301635
shared_vs_other,fiqt,NOT_ROBUST_SHARED,10,8,0.9777687677172087,0.8314428412038773,1.109519575626345,10,0.853595136452883,0.04959666898289623,0.7563874514932516,0.9508028214125144,0.941525207136043,0.1136079411313901,0.7188577341607718,1.1641926801113143,0.08732044416600233,38.00911450439153,9,76.32146889672963
shared_vs_other,fiqt,ROBUST_SHARED,5,5,1.0488627903738035,0.5478291870439952,1.0977945841057706,5,0.8035198331680123,0.08461739161829099,0.6376727931304406,0.9693668732055841,0.8387178224154537,0.17431767772399917,0.4970614522077552,1.1803741926231521,0.08720107188524538,11.936006685608726,4,66.48795442764948
shared_vs_other,naive,NOT_ROBUST_SHARED,10,8,0.9711944215436115,0.8234386974498622,1.105536606524459,10,0.824324333181979,0.0492402232609941,0.727815268999719,0.9208333973642389,0.9201501911761275,0.12169869775392105,0.6816251266130167,1.1586752557392384,0.10588207236538338,44.752098361069784,9,79.88921116639935
shared_vs_other,naive,ROBUST_SHARED,5,5,0.8706195225243708,0.5472784447422445,1.0450377782301328,5,0.6461236804288604,0.062103735336971506,0.5244025958629888,0.767844764994732,0.738332135343583,0.15694728000944058,0.43072111905355626,1.0459431516336097,0.0700193721495702,14.570606245111138,4,72.54747034741868
