gene_trait_uid,estimator,n_comparison_ancestries,comparison_ancestries,unit_iv_fixed_slope,unit_iv_fixed_se,unit_iv_fixed_ci_lower,unit_iv_fixed_ci_upper,within_unit_tau2,within_unit_i2_percent,gene,candidate_trait_name,candidate_source,sensitivity_pool_assignment
gt_08f7168b97dea82d,deming,2,CSA || MID,1.710696276050215,0.32751998143744177,1.068768908215602,2.3526236438848276,0.0,0.0,GIPR,Glycated haemoglobin (HbA1c),Pan-UKB,A
gt_08f7168b97dea82d,fiqt,2,CSA || MID,1.7946681473852597,0.5845412426474657,0.6489883643179384,2.940347930452581,1.5036649089065928,67.50524131651132,GIPR,Glycated haemoglobin (HbA1c),Pan-UKB,A
gt_08f7168b97dea82d,naive,2,CSA || MID,1.787442391011255,0.5813905251248217,0.6479379008137749,2.926946881208735,1.461584278178526,67.20927830382197,GIPR,Glycated haemoglobin (HbA1c),Pan-UKB,A
gt_0b0678ba83486ccf,deming,1,CSA,0.3672581451800027,0.08105451261492068,0.20839421967031072,0.5261220706896947,0.0,0.0,APOE,LDL direct,Pan-UKB,B
gt_0b0678ba83486ccf,fiqt,1,CSA,0.5038597755508503,0.1284979128704802,0.2520084942361432,0.7557110568655574,0.0,0.0,APOE,LDL direct,Pan-UKB,B
gt_0b0678ba83486ccf,naive,1,CSA,0.4286830978597651,0.08666541930734747,0.2588219973123018,0.5985441984072284,0.0,0.0,APOE,LDL direct,Pan-UKB,B
gt_0c426abe19a96c54,deming,1,CSA,0.6949109370771149,0.14360576818260434,0.4134488034670024,0.9763730706872275,0.0,0.0,ENPP1,Phosphate,Pan-UKB,B
gt_0c426abe19a96c54,fiqt,1,CSA,0.5049272261680045,0.27922413531000007,-0.0423420226539345,1.0521964749899433,0.0,0.0,ENPP1,Phosphate,Pan-UKB,B
gt_0c426abe19a96c54,naive,1,CSA,0.5023758933105766,0.27703768964746855,-0.04060800075864668,1.0453597873798,0.0,0.0,ENPP1,Phosphate,Pan-UKB,B
gt_0f50d04f150328dc,deming,1,MID,-0.10460646772825255,1.485508021443342,-3.0161486885025575,2.8069357530460524,0.0,0.0,GDF15,Glycated haemoglobin (HbA1c),Pan-UKB,B
gt_0f50d04f150328dc,fiqt,1,MID,-1.3996816576967184,1.4855080220711512,-4.311223879701506,1.5118605643080698,0.0,0.0,GDF15,Glycated haemoglobin (HbA1c),Pan-UKB,B
gt_0f50d04f150328dc,naive,1,MID,-1.383098282579753,1.4855080220711514,-4.2946405045845415,1.5284439394250355,0.0,0.0,GDF15,Glycated haemoglobin (HbA1c),Pan-UKB,B
gt_128ad7c7ffd40309,deming,2,CSA || MID,0.5025302095445622,0.17333389272475727,0.16280202250390863,0.8422583965852157,0.0,0.0,CSF3R,Neutrophill count,Pan-UKB,A
gt_128ad7c7ffd40309,fiqt,2,CSA || MID,0.37568246046047343,0.19871555106002903,-0.013792862785213633,0.7651577837061605,0.0,0.0,CSF3R,Neutrophill count,Pan-UKB,A
gt_128ad7c7ffd40309,naive,2,CSA || MID,0.37357783627506363,0.19631197146654952,-0.011186557533428176,0.7583422300835554,0.0,0.0,CSF3R,Neutrophill count,Pan-UKB,A
gt_1a54193972b2aa21,deming,1,CSA,0.9586172421275606,0.323305914886812,0.324949292960637,1.5922851912944842,0.0,0.0,SOST,Heel bone mineral density (BMD),Pan-UKB,B
gt_1a54193972b2aa21,fiqt,1,CSA,0.6616941101733164,0.5559606542977257,-0.42796874907154947,1.751356969418182,0.0,0.0,SOST,Heel bone mineral density (BMD),Pan-UKB,B
gt_1a54193972b2aa21,naive,1,CSA,0.6542997590359205,0.5495675491241614,-0.42283284431938273,1.7314323623912238,0.0,0.0,SOST,Heel bone mineral density (BMD),Pan-UKB,B
gt_1c018fe9f451c0ea,deming,1,CSA,0.15628634902083394,0.1589641709468986,-0.15527770086735576,0.46785039890902363,0.0,0.0,ANGPTL8,LDL direct,Pan-UKB,B
gt_1c018fe9f451c0ea,fiqt,1,CSA,0.3846317272485339,0.1959239463482755,0.0006278486969560348,0.7686356058001118,0.0,0.0,ANGPTL8,LDL direct,Pan-UKB,B
gt_1c018fe9f451c0ea,naive,1,CSA,0.38304312314535527,0.19413588526246375,0.0025437799241260772,0.7635424663665844,0.0,0.0,ANGPTL8,LDL direct,Pan-UKB,B
gt_25de020ab85c0f34,deming,1,CSA,0.5245948664586343,0.3475947503941262,-0.15667832552904282,1.2058680584463115,0.0,0.0,APOA1,LDL direct,Pan-UKB,B
gt_25de020ab85c0f34,fiqt,1,CSA,0.5536653553552494,0.1997556823311512,0.162151412278969,0.9451792984315298,0.0,0.0,APOA1,LDL direct,Pan-UKB,B
gt_25de020ab85c0f34,naive,1,CSA,0.5502594319878539,0.19718579165701894,0.16378238207707807,0.9367364818986297,0.0,0.0,APOA1,LDL direct,Pan-UKB,B
gt_2a7e2fce1378c79e,deming,1,AFR,-0.7143098886348315,0.6211795526561577,-1.9317994397736027,0.5031796625039396,0.0,0.0,SLC22A12,Gout,GBMI,A
gt_2a7e2fce1378c79e,fiqt,1,AFR,-0.935111977970227,0.6211795527308751,-2.152601529255442,0.2823775733149876,0.0,0.0,SLC22A12,Gout,GBMI,A
gt_2a7e2fce1378c79e,naive,1,AFR,-0.9268437369114539,0.6211795527308752,-2.144333288196669,0.2906458143737609,0.0,0.0,SLC22A12,Gout,GBMI,A
gt_2fdb14cf300437e0,deming,3,AFR || CSA || EAS,0.3041512861025962,0.1769829292185273,-0.04272888104411893,0.6510314532493113,0.0,0.0,JAK2,Platelet count,Pan-UKB,A
gt_2fdb14cf300437e0,fiqt,3,AFR || CSA || EAS,0.014664130749728109,0.24964789587423647,-0.4746367539799809,0.5039650154794371,0.0,0.0,JAK2,Platelet count,Pan-UKB,A
gt_2fdb14cf300437e0,naive,3,AFR || CSA || EAS,0.014545522025953944,0.24774886754143538,-0.4710333355658438,0.5001243796177517,0.0,0.0,JAK2,Platelet count,Pan-UKB,A
gt_37bb10a4689a1bb1,deming,3,AFR || CSA || MID,-0.2799471404893912,0.2250207674464559,-0.7209797404580078,0.16108545947922542,0.11980977113534434,34.64914849477328,ANGPTL4,Triglycerides,Pan-UKB,B
gt_37bb10a4689a1bb1,fiqt,3,AFR || CSA || MID,0.05210412433383653,0.3675115709632669,-0.6682053186559029,0.7724135673235759,0.0,0.0,ANGPTL4,Triglycerides,Pan-UKB,B
gt_37bb10a4689a1bb1,naive,3,AFR || CSA || MID,0.05289411836514744,0.3660776728935011,-0.6646049360503495,0.7703931727806445,0.0,0.0,ANGPTL4,Triglycerides,Pan-UKB,B
gt_38057e29398d09a6,deming,2,CSA || MID,0.938696076134933,0.1690931156088935,0.607279659507834,1.270112492762032,0.0,0.0,CSF3,Neutrophill count,Pan-UKB,A
gt_38057e29398d09a6,fiqt,2,CSA || MID,1.0004084665116288,0.24919744302313382,0.5119904531468145,1.4888264798764432,0.43046949030042003,57.29527608701655,CSF3,Neutrophill count,Pan-UKB,A
gt_38057e29398d09a6,naive,2,CSA || MID,0.9941183904805792,0.24770046621057812,0.5086343977540655,1.4796023832070928,0.42666053399576037,57.37397994981187,CSF3,Neutrophill count,Pan-UKB,A
gt_3de9daa3443abcc6,deming,3,AFR || CSA || MID,0.46130356819780466,0.344503814708934,-0.21391150116836605,1.1365186375639753,0.32104820587163074,39.11753489508321,FGF21,Triglycerides,Pan-UKB,B
gt_3de9daa3443abcc6,fiqt,3,AFR || CSA || MID,0.7031213233812749,0.3445038145104536,0.027906254404118536,1.378336392358431,0.0,0.0,FGF21,Triglycerides,Pan-UKB,B
gt_3de9daa3443abcc6,naive,3,AFR || CSA || MID,0.700445026906765,0.3445038145104536,0.025229957929608693,1.3756600958839214,0.0,0.0,FGF21,Triglycerides,Pan-UKB,B
gt_3ef75cbdd99b6f07,deming,1,AFR,0.2069812888366297,0.3358026284510654,-0.4511797688413438,0.8651423465146032,0.0,0.0,IL12B,Platelet count,Pan-UKB,B
gt_3ef75cbdd99b6f07,fiqt,1,AFR,0.6308455542114991,0.3358026273860982,-0.027315501379176932,1.289006609802175,0.0,0.0,IL12B,Platelet count,Pan-UKB,B
gt_3ef75cbdd99b6f07,naive,1,AFR,0.6281991132861738,0.3358026273860982,-0.02996194230450222,1.28636016887685,0.0,0.0,IL12B,Platelet count,Pan-UKB,B
gt_4129badd0cfdf3a3,deming,2,CSA || MID,0.7773191824906333,0.2282100354432966,0.3300357321111627,1.2246026328701038,0.0,0.0,PPARD,Body mass index (BMI),Pan-UKB,B
gt_4129badd0cfdf3a3,fiqt,2,CSA || MID,1.0236887972263593,0.22821003538888637,0.5764053469535309,1.4709722474991878,0.0,0.0,PPARD,Body mass index (BMI),Pan-UKB,B
gt_4129badd0cfdf3a3,naive,2,CSA || MID,1.0150798134121863,0.22821003538888635,0.5677963631393579,1.4623632636850148,0.0,0.0,PPARD,Body mass index (BMI),Pan-UKB,B
gt_44be73ebd0d0a1ce,deming,3,AFR || CSA || MID,0.7538761361157743,0.1684522545488917,0.4237157840853731,1.0840364881461755,0.41209102835825623,52.75807230538182,PPARG,Triglycerides,Pan-UKB,A
gt_44be73ebd0d0a1ce,fiqt,3,AFR || CSA || MID,0.8430357604884238,0.1684522535818972,0.512875410353297,1.1731961106235507,0.5520874728300711,59.93835491670551,PPARG,Triglycerides,Pan-UKB,A
gt_44be73ebd0d0a1ce,naive,3,AFR || CSA || MID,0.8366562053958828,0.1684522535818972,0.506495855260756,1.1668165555310095,0.5419347939362437,59.49185650687261,PPARG,Triglycerides,Pan-UKB,A
gt_46885db53b6cf531,deming,1,MID,0.5793492619514347,2.0061008882320155,-3.3525362283371276,4.511234752239997,0.0,0.0,LEPR,Body mass index (BMI),Pan-UKB,B
gt_46885db53b6cf531,fiqt,1,MID,-3.8143900596295133,2.0061008952881854,-7.746275563747915,0.11749544448888827,0.0,0.0,LEPR,Body mass index (BMI),Pan-UKB,B
gt_46885db53b6cf531,naive,1,MID,-3.7678793552031546,2.0061008952881854,-7.699764859321556,0.1640061489152469,0.0,0.0,LEPR,Body mass index (BMI),Pan-UKB,B
gt_5a525d6a0e697a02,deming,3,AFR || CSA || EAS,0.7690664162024864,0.10004797819042559,0.5729759822232035,0.9651568501817693,0.0022584132120828763,5.589132671965632,THPO,Platelet count,Pan-UKB,B
gt_5a525d6a0e697a02,fiqt,3,AFR || CSA || EAS,0.736599127361127,0.08565233480116312,0.5687236359590806,0.9044746187631734,0.09046667746946159,66.7541441457287,THPO,Platelet count,Pan-UKB,B
gt_5a525d6a0e697a02,naive,3,AFR || CSA || EAS,0.7322299439503362,0.08573804130252893,0.564186470892372,0.9002734170083005,0.09008437944153623,66.8649241377092,THPO,Platelet count,Pan-UKB,B
gt_5b728915d445b416,deming,2,CSA || MID,0.7916170211086072,0.26996131386339617,0.2625025687172371,1.3207314734999773,0.0,0.0,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,A
