estimator,restriction,n_rows_before_se_filter,median_slope,median_slope_se_approx,n,fixed_mean,fixed_se,fixed_ci_lower,fixed_ci_upper,random_mean,random_se,random_ci_lower,random_ci_upper,tau2,q,q_df,i2_percent
naive,all,104,0.6238495076025421,0.3263539042330081,104,0.5436212303991433,0.020708368213648482,0.5030335745217983,0.5842088862764884,0.7022900414065796,0.05812726393356388,0.5883626975769404,0.8162173852362188,0.2114382345463052,564.2971357456601,103,81.74720488986779
naive,exclude_worst_precision_quartile,78,0.6309446337153337,0.2677980220885501,78,0.5424858786272224,0.02088826748966406,0.5015456266480419,0.5834261306064029,0.7097790967502215,0.060734892233404406,0.5907408953678275,0.8288172981326156,0.2075959804332119,521.0750000950051,77,85.22285659723437
naive,most_precise_half,52,0.6643446999704712,0.22422304435524643,52,0.5401426789687463,0.021631636182075302,0.49774545112520524,0.5825399068122874,0.7362263705614425,0.0697310151982794,0.5995560921673997,0.8728966489554852,0.2053270048837964,456.26019133639033,51,88.82216748942736
naive,at_least_5_ld_pruned_variants,62,0.6000718454101107,0.2893643201685565,62,0.654692469367804,0.02655985582967327,0.6026361085070682,0.7067488302285398,0.6461504243200163,0.05140238306443544,0.5454036047941913,0.7468972438458414,0.07714045967198303,164.97059431440582,61,63.023713254166736
naive,at_least_10_ld_pruned_variants,16,0.5425485146748616,0.21848737426831955,16,0.597930677553271,0.04083109341816602,0.5179032050042751,0.6779581501022669,0.5844702447280001,0.07589647519054316,0.4357158868009978,0.7332246026550024,0.04676935348594401,39.336434068626374,15,61.86741285742631
fiqt,all,104,0.6343049913925966,0.3275235118164497,104,0.5569008750755343,0.02136844508719789,0.5150194922990046,0.5987822578520641,0.7158867411995901,0.060058317227211486,0.598174602462174,0.8335988799370061,0.23020458447983916,572.7376019565947,103,82.0161973566726
fiqt,exclude_worst_precision_quartile,78,0.6409203650898488,0.2698102548388961,78,0.5559361447588247,0.021564760973370758,0.513669989915803,0.5982022996018463,0.724964467574672,0.06290550912188055,0.6016719352666303,0.8482569998827137,0.22634681925890984,529.2647606934611,77,85.45151581618397
fiqt,most_precise_half,52,0.722528391580089,0.22667495786871555,52,0.5542309782351024,0.022375426155085542,0.5103759488323991,0.5980860076378056,0.7555877037644513,0.0726331034242328,0.6132294369675821,0.8979459705613204,0.22546269735492766,464.4880541765451,51,89.02016972418937
fiqt,at_least_5_ld_pruned_variants,62,0.6026479962492489,0.2907396586229444,62,0.6887939050052937,0.027984576571558086,0.6339451428024364,0.743642667208151,0.6676591658512474,0.05272556533593013,0.5643189567283108,0.770999374974184,0.08214210061081084,160.98497904136255,61,62.10826602379653
fiqt,at_least_10_ld_pruned_variants,16,0.5748819756301877,0.2198452241162922,16,0.6547915057476268,0.0460846746403221,0.5644672032133491,0.7451158082819045,0.6298168001994624,0.0858232686512045,0.4616062846075961,0.7980273157913287,0.06601525271376604,42.50948823677081,15,64.71376009879845
deming,all,104,0.6271835557831823,0.29686488379310993,104,0.5353527743779024,0.018799245147692954,0.49850693095188486,0.57219861780392,0.6835698671105152,0.05281071917007593,0.5800627595395074,0.7870769746815229,0.18266767220589772,596.0183459408511,103,82.71865275599725
deming,exclude_worst_precision_quartile,78,0.6294431455528766,0.21886494716837712,78,0.5365524369709913,0.018968647076324563,0.4993745718659442,0.5737303020760385,0.7024552063014641,0.05570555625700895,0.5932743222989567,0.8116360903039714,0.18393317124675349,563.7535576766398,77,86.34154960948983
deming,most_precise_half,52,0.624930944913197,0.17903428613737987,52,0.5124237948728972,0.019736748235149888,0.473740479160069,0.5511071105857255,0.6599994297554161,0.06434178407555789,0.53389185026627,0.7861070092445623,0.18173007357111814,491.5119717706574,51,89.62385395898416
deming,at_least_5_ld_pruned_variants,62,0.6002549636591502,0.21886494716837712,62,0.599657292478758,0.023193569668309204,0.5541987312559513,0.6451158537015647,0.634745288125942,0.043872001453243735,0.5487577453478953,0.7207328309039887,0.061130803324659554,170.83385279618358,61,64.29279150381444
deming,at_least_10_ld_pruned_variants,16,0.5572081665253494,0.16640224250387098,16,0.5506530696286619,0.0351321943048462,0.48179523409330016,0.6195109051640236,0.5779814551920979,0.062372515661393776,0.4557335708706056,0.7002293395135901,0.03535033524779687,40.82893680659155,15,63.261350470487024
