estimator,comparison_population,n,fixed_mean,fixed_se,fixed_ci_lower,fixed_ci_upper,random_mean,random_se,random_ci_lower,random_ci_upper,tau2,q,q_df,i2_percent
naive,ALL,104,0.5436212303991433,0.020708368213648482,0.5030335745217983,0.5842088862764884,0.7022900414065796,0.05812726393356388,0.5883626975769404,0.8162173852362188,0.2114382345463052,564.2971357456601,103,81.74720488986779
naive,AFR,22,0.2461208216337762,0.03280158249661046,0.18183090130450025,0.31041074196305213,0.4671888601592264,0.12502232209573544,0.22214961158801871,0.7122281087304341,0.22904293529952593,167.3578478441051,21,87.45203749300025
naive,AMR,7,0.7723334686284111,0.1134248371181406,0.5500248729245336,0.9946420643322886,0.7195050645422486,0.20602245190054266,0.31570847881054936,1.123301650273948,0.1852918296180166,17.72136409974048,6,66.14256122592805
naive,CSA,44,0.7185905044162204,0.0325535444618556,0.6547867297018601,0.7823942791305807,0.7415210128674525,0.07111407391916122,0.6021399891919774,0.8809020365429276,0.13736243462728331,165.68809603605484,43,74.04762259405594
naive,EAS,11,0.8589224714671281,0.06056777301546735,0.7402118177330151,0.977633125201241,0.9677123716223632,0.16250972394783755,0.6491991655470553,1.2862255776976712,0.16458320728484177,37.45871152742011,10,73.30394027920605
naive,MID,20,0.6142826100470623,0.09599541177692235,0.42613506028320236,0.8024301598109222,0.7360437523195359,0.17409798543275204,0.39481797109036293,1.0772695335487088,0.1701700214327005,33.21536783670278,19,42.79756258184468
fiqt,ALL,104,0.5569008750755343,0.02136844508719789,0.5150194922990046,0.5987822578520641,0.7158867411995901,0.060058317227211486,0.598174602462174,0.8335988799370061,0.23020458447983916,572.7376019565947,103,82.0161973566726
fiqt,AFR,22,0.2522241661872805,0.03295021852081984,0.18764292460374896,0.316805407770812,0.4771767667521227,0.12653522109405044,0.22917229063197095,0.7251812428722745,0.23548818120882767,169.07623527650563,21,87.5795673084057
fiqt,AMR,7,0.7779836975874157,0.11405183977964371,0.5544461992487814,1.00152119592605,0.724199291645757,0.2073342488225921,0.3178316311918104,1.1305669520997037,0.18783781619668688,17.75379545818161,6,66.20440956339296
fiqt,CSA,44,0.7619910699486704,0.0349720645610304,0.6934470829440412,0.8305350569532995,0.7572557029289094,0.07396961573624516,0.6122779201356017,0.9022334857222172,0.1523370357739886,162.69924680424805,43,73.57086720153319
fiqt,EAS,11,0.8634753816936749,0.06062542775915569,0.7446517267383949,0.9822990366489549,0.9722650885016298,0.16404396933951435,0.6507448167151888,1.293785360288071,0.16881262135707908,38.05633724219429,10,73.72316748099269
fiqt,MID,20,0.6792129670661474,0.09881339785691623,0.48554226607656426,0.8728836680557306,0.7757983648005355,0.1805280949726739,0.42196980045646826,1.1296269291446028,0.19332896199290409,34.40002687690546,19,44.767485013926844
deming,ALL,104,0.5353527743779024,0.018799245147692954,0.49850693095188486,0.57219861780392,0.6835698671105152,0.05281071917007593,0.5800627595395074,0.7870769746815229,0.18266767220589772,596.0183459408511,103,82.71865275599725
deming,AFR,22,0.1621680836497178,0.03253597532010505,0.09839874382042785,0.22593742347900775,0.35556911965161503,0.10100248094011467,0.15760789465979702,0.553530344643433,0.1362358706443776,111.8718102987116,21,81.22851507995857
deming,AMR,7,0.5141189284346909,0.0727213348216445,0.3715877312765892,0.6566501255927926,0.5211767628996472,0.13901175097030052,0.2487187375700073,0.7936347882292871,0.07413692379469144,16.565833044779215,6,63.78087365856363
deming,CSA,44,0.729364517061111,0.028439443438101227,0.6736242321820687,0.7851048019401534,0.7719700667457865,0.06386001223690596,0.6468067427091637,0.8971333907824093,0.11522884067121489,178.8211912656322,43,75.95363295834156
deming,EAS,11,0.9515444271791794,0.06672056904979545,0.8207745148135626,1.0823143395447963,1.0203133860857923,0.1652162332746264,0.6964955192061564,1.3441312529654281,0.18680096374113508,41.19193327585263,10,75.72340212091439
deming,MID,20,0.6340736813051985,0.06526307416786258,0.5061604064158215,0.7619869561945755,0.7180587497814565,0.11147961717039385,0.4995627151171715,0.9365547844457414,0.052581761464942464,28.186158087147504,19,32.59102591685337
