comparison_uid,gene_trait_uid,comparison_population,eur_analysis_n,comparison_analysis_n,sample_size_ratio,median_variant_se_ratio,median_eur_variant_se,median_comparison_variant_se,n_variant_effect_rows
cmp_00943344950234cb,gt_5a525d6a0e697a02,CSA,,,,6.082063942040929,0.0043335000000000005,0.02633,16
cmp_06c4746c5e993d05,gt_d79e322e54d14839,MID,,,,14.067796610169491,0.00292,0.04135,3
cmp_08b22a91172968d8,gt_128ad7c7ffd40309,CSA,,,,7.098565478944932,0.003693,0.03187,5
cmp_090a8b2e128e603c,gt_d1d00e9dc71a2499,CSA,,,,6.082897684839432,0.002898,0.0172,3
cmp_09103f39122355d4,gt_bc3d66c41e611627,CSA,,,,6.639877535399924,0.002613,0.01735,3
cmp_0c0089ac5cd5de30,gt_f49766f3ae4b8a2f,CSA,,,,6.81363467951093,0.003348,0.02229,3
cmp_1113c8b20072258e,gt_e0253f9da76890c4,AMR,,,,8.214351709270096,0.0067692,0.040116,5
cmp_112d8ff54d63db77,gt_44be73ebd0d0a1ce,AFR,,,,8.831683168316832,0.002988,0.0223,3
cmp_11df635d08e72758,gt_62933438673c2307,AMR,,,,7.815327913676039,0.0099442,0.0850865,6
cmp_158459a232adb0d0,gt_0c426abe19a96c54,CSA,,,,5.771079073831368,0.004705,0.02222,9
cmp_17d744d1985fa469,gt_e0253f9da76890c4,EAS,,,,2.4271400026354097,0.0048993000000000005,0.011891,4
cmp_1d49c7f6775630d1,gt_b328521a0423f5c5,MID,,,,16.379600673562663,0.0061,0.1018,15
cmp_1e9ae074e40e398a,gt_2fdb14cf300437e0,AFR,,,,8.453786706394393,0.0032085,0.02398,6
cmp_23670cc5cddedef4,gt_0b0678ba83486ccf,CSA,,,,6.832677432487448,0.003874,0.02511,21
cmp_2565e0e2adfe1275,gt_aff18fde645e6a6f,EAS,,,,2.2103304754780675,0.007129,0.015663,5
cmp_29230f9b79750967,gt_b328521a0423f5c5,AFR,,,,6.822678843226789,0.004157,0.03242,3
cmp_297fbf716b9104dc,gt_8eacc233dce7b2c8,EAS,,,,3.2443563740917747,0.0058504,0.02505,5
cmp_29a6d39cecffd0ba,gt_dab1180e9c6840b2,MID,,,,16.186736205886874,0.0025395,0.04204,4
cmp_2bc6da7bd58f8b90,gt_62933438673c2307,AFR,,,,5.1114278310443115,0.0055141,0.03156,5
cmp_2c670ce121f4e2ed,gt_6100c7305905baed,CSA,,,,6.681818181818181,0.002692,0.02244,7
cmp_327b1ec26d6eee5c,gt_37bb10a4689a1bb1,MID,,,,14.06497622820919,0.002989,0.0404,5
cmp_33e4f0a27f768357,gt_75fe57ef3df525f5,CSA,,,,6.937159821870361,0.003157,0.02111,3
cmp_3618bc9e13b64408,gt_8eacc233dce7b2c8,AFR,,,,9.147899800161934,0.00555425,0.0599325,6
cmp_36a279eb7569f6dc,gt_b5915a3fe7e0c8ef,CSA,,,,5.029527019672846,0.0061808,0.0326765,4
cmp_381d86345f6977a1,gt_9974caf98cb25074,CSA,,,,5.48416116710014,0.011807999999999999,0.038692000000000004,8
cmp_3d5d09a2a4352628,gt_4129badd0cfdf3a3,MID,,,,18.99661508704062,0.004136,0.07857,3
cmp_44f6beefa09c6ba0,gt_37bb10a4689a1bb1,AFR,,,,7.612483772227582,0.0034545,0.03979,4
cmp_480d6daf54baee46,gt_d1d00e9dc71a2499,AFR,,,,7.650103519668737,0.002802,0.02173,3
cmp_4ab05482f9c4b139,gt_5b728915d445b416,CSA,,,,7.3056608260685945,0.003144,0.025509999999999998,8
cmp_4af752414605f4d3,gt_e0253f9da76890c4,CSA,,,,5.437535831552614,0.0067692,0.043328,5
cmp_4cecb255412bf289,gt_93b3040bef26dfa3,MID,,,,14.59535027764179,0.004562,0.06873000000000001,24
cmp_50dfe6ec581edb6f,gt_e0253f9da76890c4,AFR,,,,7.341658951418406,0.0058484,0.0359735,6
