ti_uid,ancestry,allocated_n,total_n,p
ABCA1-D006949,African,189476.0,7323412.0,0.02587263969308295
ABCA1-D006949,East Asian,858667.0,7323412.0,0.11724958257162099
ABCA1-D006949,European,6170554.0,7323412.0,0.8425791147623539
ABCA1-D006949,Hispanic/Latin American,89819.0,7323412.0,0.012264638395327205
ABCA1-D006949,South Asian,14896.0,7323412.0,0.002034024577614915
ABCC8-D003920,African,4847.0,1192071.0,0.004066032979579236
ABCC8-D003920,East Asian,71221.0,1192071.0,0.059745602401199256
ABCC8-D003920,European,1109108.0,1192071.0,0.9304043131659104
ABCC8-D003920,South Asian,6895.0,1192071.0,0.005784051453311087
ABCC8-D003924,African,132735.5,5269376.0,0.02518998454465956
ABCC8-D003924,East Asian,1253820.0,5269376.0,0.23794468263414872
ABCC8-D003924,European,3532594.0,5269376.0,0.670400821653266
ABCC8-D003924,Hispanic/Latin American,99671.5,5269376.0,0.018915237781475455
ABCC8-D003924,South Asian,250555.0,5269376.0,0.04754927338645031
ACE-D006973,African,73664.0,4226555.0,0.0174288516297552
ACE-D006973,East Asian,307442.0,4226555.0,0.07274056530673326
ACE-D006973,European,3793228.0,4226555.0,0.897475130454945
ACE-D006973,Hispanic/Latin American,39264.0,4226555.0,0.009289835338709659
ACE-D006973,Native American,2695.0,4226555.0,0.0006376351425688297
ACE-D006973,Other Asian,4792.0,4226555.0,0.0011337838972875073
ACE-D006973,South Asian,5470.0,4226555.0,0.001294198230000556
ACVR2A-D007676,African,6016.0,1230971.0,0.004887198804845931
ACVR2A-D007676,European,1217616.0,1230971.0,0.9891508410839898
ACVR2A-D007676,South Asian,7339.0,1230971.0,0.005961960111164276
ACVR2A-D013921,European,445000.0,445000.0,1.0
ACVRL1-D000740,African,149286.2,2632487.0,0.0567091879276137
ACVRL1-D000740,East Asian,712810.2,2632487.0,0.2707744425708465
ACVRL1-D000740,European,1471818.2,2632487.0,0.5590979936463124
ACVRL1-D000740,Hispanic/Latin American,149286.2,2632487.0,0.0567091879276137
ACVRL1-D000740,South Asian,149286.2,2632487.0,0.0567091879276137
ADAMTS4-D065631,African,8204.0,4283833.0,0.0019151073349497985
ADAMTS4-D065631,East Asian,181163.0,4283833.0,0.04228993053650784
ADAMTS4-D065631,European,4093068.0,4283833.0,0.955468618874732
ADAMTS4-D065631,Hispanic/Latin American,1398.0,4283833.0,0.0003263432538103143
ADIPOR2-D009765,European,457756.0,457756.0,1.0
ADM-D018805,European,855581.0,855581.0,1.0
ADORA1-D001249,African,8204.0,3689196.0,0.0022237907663349957
ADORA1-D001249,East Asian,5215.0,3689196.0,0.0014135871338904196
ADORA1-D001249,European,3674379.0,3689196.0,0.9959836777444191
ADORA1-D001249,Hispanic/Latin American,1398.0,3689196.0,0.0003789443553554758
ADORA1-D001281,African,8967.0,2374541.0,0.0037763087687262505
ADORA1-D001281,East Asian,362556.0,2374541.0,0.15268466621549176
ADORA1-D001281,European,1997996.0,2374541.0,0.8414240899609651
ADORA1-D001281,Hispanic/Latin American,5022.0,2374541.0,0.0021149350548169098
ADORA1-D029424,African,8204.0,3689196.0,0.0022237907663349957
ADORA1-D029424,East Asian,5215.0,3689196.0,0.0014135871338904196
ADORA1-D029424,European,3674379.0,3689196.0,0.9959836777444191
ADORA1-D029424,Hispanic/Latin American,1398.0,3689196.0,0.0003789443553554758
ADORA2A-D009203,African,2908.0,166459.0,0.017469767330093297
ADORA2A-D009203,East Asian,9396.0,166459.0,0.05644633212983377
ADORA2A-D009203,European,126630.0,166459.0,0.7607278669221851
ADORA2A-D009203,Hispanic/Latin American,3615.0,166459.0,0.02171705945608228
ADORA2A-D009203,Middle Eastern,754.0,166459.0,0.004529643936344686
ADORA2A-D009203,South Asian,23156.0,166459.0,0.13910933022546093
ADORA2B-D001249,European,371898.0,371898.0,1.0
ADRA1A-D006973,European,422713.0,422713.0,1.0
ADRA2B-D006973,East Asian,145445.0,3590147.0,0.04051226871768761
ADRA2B-D006973,European,3444702.0,3590147.0,0.9594877312823124
ADRA2C-D006973,European,844713.0,844713.0,1.0
ADRB1-D006949,East Asian,72866.0,2089750.0,0.034868285680105277
ADRB1-D006949,European,2016884.0,2089750.0,0.9651317143198948
ADRB1-D006973,African,117244.0,7748240.0,0.01513169442350779
ADRB1-D006973,East Asian,1274293.0,7748240.0,0.16446225207272877
ADRB1-D006973,European,6265136.0,7748240.0,0.8085882729497279
ADRB1-D006973,Hispanic/Latin American,48482.0,7748240.0,0.006257162916997925
ADRB1-D006973,Native American,2695.0,7748240.0,0.0003478209244938205
ADRB1-D006973,Other Asian,4792.0,7748240.0,0.0006184630316045966
ADRB1-D006973,South Asian,35598.0,7748240.0,0.004594333680939155
ADRB2-D001249,European,771950.0,771950.0,1.0
ADRB2-D006949,European,398508.0,398508.0,1.0
ADRB2-D006973,European,1587674.0,1587674.0,1.0
ADRB2-D029424,European,771950.0,771950.0,1.0
AGT-D006973,African,95167.0,8468774.0,0.01123739988810659
AGT-D006973,East Asian,451924.0,8468774.0,0.05336356832759972
AGT-D006973,European,7864876.0,8468774.0,0.9286912131555287
AGT-D006973,Hispanic/Latin American,43850.0,8468774.0,0.005177845104852249
AGT-D006973,Native American,2695.0,8468774.0,0.0003182278804464495
AGT-D006973,Other Asian,4792.0,8468774.0,0.0005658434148791785
AGT-D006973,South Asian,5470.0,8468774.0,0.0006459022285870423
AKT1-D001943,East Asian,14068.0,243019.0,0.05788847785564092
AKT1-D001943,European,228951.0,243019.0,0.9421115221443591
AKT1-D010051,European,88660.0,88660.0,1.0
AKT1-D016889,European,88660.0,88660.0,1.0
ALCAM-D001943,East Asian,30974.0,30974.0,1.0
ALDH2-D000437,East Asian,574677.0,922083.0,0.6232378213241108
ALDH2-D000437,European,347406.0,922083.0,0.37676217867588924
ALDH2-D019973,East Asian,574677.0,922083.0,0.6232378213241108
ALDH2-D019973,European,347406.0,922083.0,0.37676217867588924
ALDH2-D051437,East Asian,341322.5,706555.0,0.483079873470572
ALDH2-D051437,European,344104.0,706555.0,0.4870165804502127
ALDH2-D051437,South Asian,21128.5,706555.0,0.02990354607921535
ALOX12-D013921,European,445364.0,445364.0,1.0
ALOX5-D015228,European,836386.0,836386.0,1.0
ALPL-D007014,African,20145.0,1558516.0,0.012925757579646278
ALPL-D007014,East Asian,223916.0,1558516.0,0.1436725705735456
ALPL-D007014,European,1307118.0,1558516.0,0.8386939883838216
ALPL-D007014,South Asian,7337.0,1558516.0,0.004707683462986585
ANGPTL3-D006937,African,244036.0,8247392.0,0.02958947507284727
ANGPTL3-D006937,East Asian,1387261.0,8247392.0,0.16820602197640175
ANGPTL3-D006937,European,6400690.0,8247392.0,0.7760865495419643
ANGPTL3-D006937,Hispanic/Latin American,156805.0,8247392.0,0.019012676977158353
ANGPTL3-D006937,Native American,1208.0,8247392.0,0.0001464705448704269
ANGPTL3-D006937,Oceanian,3830.0,8247392.0,0.0004643892275279264
ANGPTL3-D006937,Other Asian,41664.0,8247392.0,0.005051778792617109
ANGPTL3-D006937,South Asian,11898.0,8247392.0,0.0014426378666128638
ANGPTL3-D006938,African,244036.0,8247392.0,0.02958947507284727
ANGPTL3-D006938,East Asian,1387261.0,8247392.0,0.16820602197640175
ANGPTL3-D006938,European,6400690.0,8247392.0,0.7760865495419643
ANGPTL3-D006938,Hispanic/Latin American,156805.0,8247392.0,0.019012676977158353
ANGPTL3-D006938,Native American,1208.0,8247392.0,0.0001464705448704269
ANGPTL3-D006938,Oceanian,3830.0,8247392.0,0.0004643892275279264
ANGPTL3-D006938,Other Asian,41664.0,8247392.0,0.005051778792617109
ANGPTL3-D006938,South Asian,11898.0,8247392.0,0.0014426378666128638
ANGPTL3-D006949,African,244036.0,8247392.0,0.02958947507284727
ANGPTL3-D006949,East Asian,1387261.0,8247392.0,0.16820602197640175
ANGPTL3-D006949,European,6400690.0,8247392.0,0.7760865495419643
ANGPTL3-D006949,Hispanic/Latin American,156805.0,8247392.0,0.019012676977158353
ANGPTL3-D006949,Native American,1208.0,8247392.0,0.0001464705448704269
ANGPTL3-D006949,Oceanian,3830.0,8247392.0,0.0004643892275279264
ANGPTL3-D006949,Other Asian,41664.0,8247392.0,0.005051778792617109
ANGPTL3-D006949,South Asian,11898.0,8247392.0,0.0014426378666128638
ANGPTL3-D015228,African,244036.0,8247392.0,0.02958947507284727
ANGPTL3-D015228,East Asian,1387261.0,8247392.0,0.16820602197640175
ANGPTL3-D015228,European,6400690.0,8247392.0,0.7760865495419643
ANGPTL3-D015228,Hispanic/Latin American,156805.0,8247392.0,0.019012676977158353
ANGPTL3-D015228,Native American,1208.0,8247392.0,0.0001464705448704269
ANGPTL3-D015228,Oceanian,3830.0,8247392.0,0.0004643892275279264
ANGPTL3-D015228,Other Asian,41664.0,8247392.0,0.005051778792617109
ANGPTL3-D015228,South Asian,11898.0,8247392.0,0.0014426378666128638
ANGPTL3-D050171,African,244036.0,9052089.0,0.02695908093700802
ANGPTL3-D050171,East Asian,1387261.0,9052089.0,0.15325313306132982
ANGPTL3-D050171,European,7205387.0,9052089.0,0.7959916213815397
ANGPTL3-D050171,Hispanic/Latin American,156805.0,9052089.0,0.017322520801551996
ANGPTL3-D050171,Native American,1208.0,9052089.0,0.00013344985892206761
ANGPTL3-D050171,Oceanian,3830.0,9052089.0,0.000423106754694966
ANGPTL3-D050171,Other Asian,41664.0,9052089.0,0.0046026944719611135
ANGPTL3-D050171,South Asian,11898.0,9052089.0,0.0013143927329923512
ANGPTL4-D015228,East Asian,135808.0,2150335.0,0.06315667093731907
ANGPTL4-D015228,European,2014527.0,2150335.0,0.936843329062681
ANGPTL8-D006949,African,62882.0,4511570.0,0.013937941780799145
ANGPTL8-D006949,East Asian,734000.0,4511570.0,0.1626928098200848
ANGPTL8-D006949,European,3683263.0,4511570.0,0.8164038239459878
ANGPTL8-D006949,Hispanic/Latin American,24743.0,4511570.0,0.005484343587708935
ANGPTL8-D006949,South Asian,6682.0,4511570.0,0.0014810808654193552
APOA1-D006937,East Asian,241405.0,2285670.0,0.10561673382421785
APOA1-D006937,European,2044265.0,2285670.0,0.8943832661757821
APOA1-D006938,East Asian,241405.0,2285670.0,0.10561673382421785
APOA1-D006938,European,2044265.0,2285670.0,0.8943832661757821
APOA1-D006949,East Asian,241405.0,2285670.0,0.10561673382421785
APOA1-D006949,European,2044265.0,2285670.0,0.8943832661757821
APOA1-D052456,East Asian,70657.0,1551589.0,0.0455384770064753
APOA1-D052456,European,1480932.0,1551589.0,0.9544615229935247
APOB-D006937,African,411553.8,10487377.0,0.039242777293121055
APOB-D006937,East Asian,1302623.8,10487377.0,0.12420873207857408
APOB-D006937,European,8408357.8,10487377.0,0.8017598490070492
APOB-D006937,Hispanic/Latin American,263762.8,10487377.0,0.02515050236107656
APOB-D006937,Native American,1812.0,10487377.0,0.00017277914201043788
APOB-D006937,Oceanian,5745.0,10487377.0,0.0005478014187913718
APOB-D006937,Other Asian,40527.0,10487377.0,0.003864359982481797
APOB-D006937,South Asian,52994.8,10487377.0,0.0050531987168955595
APOB-D006938,African,411553.8,10487377.0,0.039242777293121055
APOB-D006938,East Asian,1302623.8,10487377.0,0.12420873207857408
APOB-D006938,European,8408357.8,10487377.0,0.8017598490070492
APOB-D006938,Hispanic/Latin American,263762.8,10487377.0,0.02515050236107656
APOB-D006938,Native American,1812.0,10487377.0,0.00017277914201043788
APOB-D006938,Oceanian,5745.0,10487377.0,0.0005478014187913718
APOB-D006938,Other Asian,40527.0,10487377.0,0.003864359982481797
APOB-D006938,South Asian,52994.8,10487377.0,0.0050531987168955595
APOB-D006949,African,411553.8,10487377.0,0.039242777293121055
APOB-D006949,East Asian,1302623.8,10487377.0,0.12420873207857408
APOB-D006949,European,8408357.8,10487377.0,0.8017598490070492
APOB-D006949,Hispanic/Latin American,263762.8,10487377.0,0.02515050236107656
APOB-D006949,Native American,1812.0,10487377.0,0.00017277914201043788
APOB-D006949,Oceanian,5745.0,10487377.0,0.0005478014187913718
APOB-D006949,Other Asian,40527.0,10487377.0,0.003864359982481797
APOB-D006949,South Asian,52994.8,10487377.0,0.0050531987168955595
APOB-D015228,African,411553.8,10487377.0,0.039242777293121055
APOB-D015228,East Asian,1302623.8,10487377.0,0.12420873207857408
APOB-D015228,European,8408357.8,10487377.0,0.8017598490070492
APOB-D015228,Hispanic/Latin American,263762.8,10487377.0,0.02515050236107656
APOB-D015228,Native American,1812.0,10487377.0,0.00017277914201043788
APOB-D015228,Oceanian,5745.0,10487377.0,0.0005478014187913718
APOB-D015228,Other Asian,40527.0,10487377.0,0.003864359982481797
APOB-D015228,South Asian,52994.8,10487377.0,0.0050531987168955595
APOC3-D006937,African,88346.0,3462173.0,0.025517500136474983
APOC3-D006937,East Asian,349387.0,3462173.0,0.10091552328552039
APOC3-D006937,European,2958756.0,3462173.0,0.854595076560299
APOC3-D006937,Hispanic/Latin American,46103.0,3462173.0,0.013316203436396737
APOC3-D006937,Other Asian,10730.0,3462173.0,0.0030992096582117645
APOC3-D006937,South Asian,8851.0,3462173.0,0.0025564869230971414
APOC3-D006949,African,88346.0,3462173.0,0.025517500136474983
APOC3-D006949,East Asian,349387.0,3462173.0,0.10091552328552039
APOC3-D006949,European,2958756.0,3462173.0,0.854595076560299
APOC3-D006949,Hispanic/Latin American,46103.0,3462173.0,0.013316203436396737
APOC3-D006949,Other Asian,10730.0,3462173.0,0.0030992096582117645
APOC3-D006949,South Asian,8851.0,3462173.0,0.0025564869230971414
APOC3-D015228,African,88346.0,3462173.0,0.025517500136474983
APOC3-D015228,East Asian,349387.0,3462173.0,0.10091552328552039
APOC3-D015228,European,2958756.0,3462173.0,0.854595076560299
APOC3-D015228,Hispanic/Latin American,46103.0,3462173.0,0.013316203436396737
APOC3-D015228,Other Asian,10730.0,3462173.0,0.0030992096582117645
APOC3-D015228,South Asian,8851.0,3462173.0,0.0025564869230971414
APOC3-D050171,African,113810.0,4529004.0,0.02512914539267353
APOC3-D050171,East Asian,528026.0,4529004.0,0.1165876647492473
APOC3-D050171,European,3774966.0,4529004.0,0.8335090894156861
APOC3-D050171,Hispanic/Latin American,79722.0,4529004.0,0.017602545725285294
APOC3-D050171,Other Asian,21460.0,4529004.0,0.0047383486523747825
APOC3-D050171,South Asian,11020.0,4529004.0,0.0024332060647329966
APOE-D000544,East Asian,4247.0,1948245.0,0.002179910637522488
APOE-D000544,European,1938698.0,1948245.0,0.995099692287161
APOE-D000544,Hispanic/Latin American,5300.0,1948245.0,0.002720397075316503
APOE-D006938,African,191183.8,7614822.999999999,0.025106794997073474
