ti_uid,ancestry,n_individuals,total_n,p
ABCC8-D003920,African,4847.0,1192071.0,0.004066032979579236
ABCC8-D003920,East Asian,71221.0,1192071.0,0.059745602401199256
ABCC8-D003920,European,1109108.0,1192071.0,0.9304043131659104
ABCC8-D003920,South Asian,6895.0,1192071.0,0.005784051453311087
ACVR2A-D007676,African,6016.0,1230971.0,0.004887198804845931
ACVR2A-D007676,European,1217616.0,1230971.0,0.9891508410839898
ACVR2A-D007676,South Asian,7339.0,1230971.0,0.005961960111164276
ACVR2A-D013921,European,445000.0,445000.0,1.0
ADIPOR2-D009765,European,457756.0,457756.0,1.0
ADM-D018805,European,855581.0,855581.0,1.0
ADORA1-D001281,African,8967.0,2374541.0,0.0037763087687262505
ADORA1-D001281,East Asian,362556.0,2374541.0,0.15268466621549176
ADORA1-D001281,European,1997996.0,2374541.0,0.8414240899609651
ADORA1-D001281,Hispanic/Latin American,5022.0,2374541.0,0.0021149350548169098
ADORA2A-D009203,African,2908.0,166459.0,0.017469767330093297
ADORA2A-D009203,East Asian,9396.0,166459.0,0.05644633212983377
ADORA2A-D009203,European,126630.0,166459.0,0.7607278669221851
ADORA2A-D009203,Hispanic/Latin American,3615.0,166459.0,0.02171705945608228
ADORA2A-D009203,Middle Eastern,754.0,166459.0,0.004529643936344686
ADORA2A-D009203,South Asian,23156.0,166459.0,0.13910933022546093
ADORA2B-D001249,European,371898.0,371898.0,1.0
ADRA1A-D006973,European,422713.0,422713.0,1.0
ADRA2B-D006973,East Asian,145445.0,3590147.0,0.04051226871768761
ADRA2B-D006973,European,3444702.0,3590147.0,0.9594877312823124
ADRA2C-D006973,European,844713.0,844713.0,1.0
ADRB1-D006949,East Asian,72866.0,2089750.0,0.034868285680105277
ADRB1-D006949,European,2016884.0,2089750.0,0.9651317143198948
ADRB2-D001249,European,771950.0,771950.0,1.0
ADRB2-D006949,European,398508.0,398508.0,1.0
ADRB2-D006973,European,1587674.0,1587674.0,1.0
ADRB2-D029424,European,771950.0,771950.0,1.0
AKT1-D001943,East Asian,14068.0,243019.0,0.05788847785564092
AKT1-D001943,European,228951.0,243019.0,0.9421115221443591
