comparison_uid,gene_trait_uid,gene,candidate_trait_name,candidate_source,comparison_population,comparison_reference_population,n_variants,sign_concordance,lead_sign_concordant,pearson_r,median_abs_eur_z,median_variant_se_ratio,median_eur_variant_se,median_comparison_variant_se,n_variant_effect_rows,unit_analysis_role,is_primary_threshold,primary_approval_eligible,n_concordant,n_discordant,variant_stratum
cmp_00943344950234cb,gt_5a525d6a0e697a02,THPO,Platelet count,Pan-UKB,CSA,CSA,16,0.75,True,0.41616508136483465,9.169314102703972,6.082063942040929,0.0043335000000000005,0.02633,16,PRIMARY,True,True,12,4,10-19
cmp_06c4746c5e993d05,gt_d79e322e54d14839,GDF15,Body mass index (BMI),Pan-UKB,MID,MID,3,0.6666666666666666,True,0.9764145955828167,7.203389830508476,14.067796610169491,0.00292,0.04135,3,PRIMARY,True,True,2,1,1-4
cmp_08b22a91172968d8,gt_128ad7c7ffd40309,CSF3R,Neutrophill count,Pan-UKB,CSA,CSA,5,0.8,True,0.8709498659415538,7.500676956404007,7.098565478944932,0.003693,0.03187,5,PRIMARY,True,True,4,1,5-9
cmp_090a8b2e128e603c,gt_d1d00e9dc71a2499,PIK3CA,Platelet count,Pan-UKB,CSA,CSA,3,1.0,True,0.9952075743117442,6.92820133234641,6.082897684839432,0.002898,0.0172,3,PRIMARY,True,True,3,0,1-4
cmp_09103f39122355d4,gt_bc3d66c41e611627,ADRB1,"Systolic blood pressure, automated reading",Pan-UKB,CSA,CSA,3,1.0,True,0.7788579587405454,6.855546687948923,6.639877535399924,0.002613,0.01735,3,PRIMARY,True,True,3,0,1-4
cmp_0c0089ac5cd5de30,gt_f49766f3ae4b8a2f,SREBF1,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,CSA,3,0.6666666666666666,True,0.8107038969670493,5.789702683103698,6.81363467951093,0.003348,0.02229,3,PRIMARY,True,True,2,1,1-4
cmp_1113c8b20072258e,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,AMR,AMR,5,1.0,True,0.7986372949913758,7.646005509641873,8.214351709270096,0.0067692,0.040116,5,PRIMARY,True,True,5,0,5-9
cmp_112d8ff54d63db77,gt_44be73ebd0d0a1ce,PPARG,Triglycerides,Pan-UKB,AFR,AFR,3,0.6666666666666666,True,0.09138407747370376,8.671352074966531,8.831683168316832,0.002988,0.0223,3,PRIMARY,True,True,2,1,1-4
cmp_11df635d08e72758,gt_62933438673c2307,IL33,Asthma,GBMI,AMR,AMR,6,0.3333333333333333,True,0.3446762357708764,9.586477684325025,7.815327913676039,0.0099442,0.0850865,6,PRIMARY,True,True,2,4,5-9
cmp_158459a232adb0d0,gt_0c426abe19a96c54,ENPP1,Phosphate,Pan-UKB,CSA,CSA,9,0.7777777777777778,True,0.5359746516865167,10.937226277372263,5.771079073831368,0.004705,0.02222,9,PRIMARY,True,True,7,2,5-9
cmp_17d744d1985fa469,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,EAS,EAS,4,0.5,True,0.9849555612069163,12.177521961694355,2.4271400026354097,0.0048993000000000005,0.011891,4,PRIMARY,True,True,2,2,1-4
cmp_1d49c7f6775630d1,gt_b328521a0423f5c5,ANGPTL3,Triglycerides,Pan-UKB,MID,MID,15,0.6,True,0.243766253925696,8.905874645119022,16.379600673562663,0.0061,0.1018,15,PRIMARY,True,True,9,6,10-19
cmp_1e9ae074e40e398a,gt_2fdb14cf300437e0,JAK2,Platelet count,Pan-UKB,AFR,AFR,6,0.5,False,0.08246173617710054,10.192120832447195,8.453786706394393,0.0032085,0.02398,6,PRIMARY,True,True,3,3,5-9
cmp_23670cc5cddedef4,gt_0b0678ba83486ccf,APOE,LDL direct,Pan-UKB,CSA,CSA,21,0.8095238095238095,True,0.7156212498231468,27.272727272727273,6.832677432487448,0.003874,0.02511,21,PRIMARY,True,True,17,4,20+
cmp_2565e0e2adfe1275,gt_aff18fde645e6a6f,IL4R,Asthma,GBMI,EAS,EAS,5,1.0,True,0.9880999151648999,7.1986126695909425,2.2103304754780675,0.007129,0.015663,5,PRIMARY,True,True,5,0,5-9
cmp_29230f9b79750967,gt_b328521a0423f5c5,ANGPTL3,Triglycerides,Pan-UKB,AFR,AFR,3,0.6666666666666666,True,0.7401545452215919,9.444310801058457,6.822678843226789,0.004157,0.03242,3,PRIMARY,True,True,2,1,1-4
cmp_297fbf716b9104dc,gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,EAS,EAS,5,1.0,True,0.912353435881961,9.414282991481814,3.2443563740917747,0.0058504,0.02505,5,PRIMARY,True,True,5,0,5-9
cmp_29a6d39cecffd0ba,gt_dab1180e9c6840b2,VEGFA,Glycated haemoglobin (HbA1c),Pan-UKB,MID,MID,4,1.0,True,0.8327517770552844,7.663192529408654,16.186736205886874,0.0025395,0.04204,4,PRIMARY,True,True,4,0,1-4
cmp_2bc6da7bd58f8b90,gt_62933438673c2307,IL33,Asthma,GBMI,AFR,AFR,5,0.6,True,0.621495166406581,9.934847978616773,5.1114278310443115,0.0055141,0.03156,5,PRIMARY,True,True,3,2,5-9
cmp_2c670ce121f4e2ed,gt_6100c7305905baed,EGLN2,Haemoglobin concentration,Pan-UKB,CSA,CSA,7,0.5714285714285714,True,0.23198324847292476,8.116679718089271,6.681818181818181,0.002692,0.02244,7,PRIMARY,True,True,4,3,5-9
cmp_327b1ec26d6eee5c,gt_37bb10a4689a1bb1,ANGPTL4,Triglycerides,Pan-UKB,MID,MID,5,0.4,True,0.1985220183935926,8.644005847953217,14.06497622820919,0.002989,0.0404,5,PRIMARY,True,True,2,3,5-9
cmp_33e4f0a27f768357,gt_75fe57ef3df525f5,PKLR,Haemoglobin concentration,Pan-UKB,CSA,CSA,3,1.0,True,0.8883007300931548,9.183722037125179,6.937159821870361,0.003157,0.02111,3,PRIMARY,True,True,3,0,1-4
cmp_3618bc9e13b64408,gt_8eacc233dce7b2c8,IL5,Asthma,GBMI,AFR,AFR,6,0.5,False,-0.15605367916777116,8.387135964439668,9.147899800161934,0.00555425,0.0599325,6,PRIMARY,True,True,3,3,5-9
cmp_36a279eb7569f6dc,gt_b5915a3fe7e0c8ef,IL13,Asthma,GBMI,CSA,SAS,4,1.0,True,0.8558191709016042,9.055813053080763,5.029527019672846,0.0061808,0.0326765,4,PRIMARY,True,True,4,0,1-4
cmp_381d86345f6977a1,gt_9974caf98cb25074,TSLP,Asthma,GBMI,CSA,SAS,8,1.0,True,0.7516387421723121,7.055335415802423,5.48416116710014,0.011807999999999999,0.038692000000000004,8,PRIMARY,True,True,8,0,5-9
cmp_3d5d09a2a4352628,gt_4129badd0cfdf3a3,PPARD,Body mass index (BMI),Pan-UKB,MID,MID,3,1.0,True,0.8098699215877208,8.039538714991764,18.99661508704062,0.004136,0.07857,3,PRIMARY,True,True,3,0,1-4
cmp_44f6beefa09c6ba0,gt_37bb10a4689a1bb1,ANGPTL4,Triglycerides,Pan-UKB,AFR,AFR,4,0.25,False,0.2386337849829679,9.328791790235943,7.612483772227582,0.0034545,0.03979,4,PRIMARY,True,True,1,3,1-4
cmp_480d6daf54baee46,gt_d1d00e9dc71a2499,PIK3CA,Platelet count,Pan-UKB,AFR,AFR,3,0.3333333333333333,True,0.4153906365677468,6.799850634802092,7.650103519668737,0.002802,0.02173,3,PRIMARY,True,True,1,2,1-4
cmp_4ab05482f9c4b139,gt_5b728915d445b416,PPARG,Glycated haemoglobin (HbA1c),Pan-UKB,CSA,CSA,8,0.625,True,0.24664082848684266,8.875514584008936,7.3056608260685945,0.003144,0.025509999999999998,8,PRIMARY,True,True,5,3,5-9
cmp_4af752414605f4d3,gt_e0253f9da76890c4,IL1RL1,Asthma,GBMI,CSA,SAS,5,0.8,True,0.964347301766002,8.032834731849691,5.437535831552614,0.0067692,0.043328,5,PRIMARY,True,True,4,1,5-9
cmp_4cecb255412bf289,gt_93b3040bef26dfa3,LPL,Triglycerides,Pan-UKB,MID,MID,24,0.6666666666666666,True,0.5747623384981435,16.01162486938349,14.59535027764179,0.004562,0.06873000000000001,24,PRIMARY,True,True,16,8,20+
