restriction,comparison_population,n_comparisons
all_primary,CSA,44
all_primary,AFR,22
all_primary,MID,20
all_primary,EAS,11
all_primary,AMR,7
variants_ge_5,CSA,25
variants_ge_5,AFR,13
variants_ge_5,MID,11
variants_ge_5,EAS,7
variants_ge_5,AMR,6
variants_ge_10,CSA,11
variants_ge_10,MID,4
variants_ge_10,AFR,1
best_sample_balance_quartile,AMR,7
best_sample_balance_quartile,AFR,7
best_sample_balance_quartile,EAS,6
best_sample_balance_quartile,CSA,6
best_se_balance_quartile,CSA,15
best_se_balance_quartile,EAS,6
best_se_balance_quartile,AFR,4
best_se_balance_quartile,AMR,1
variants_ge_5_and_best_sample_balance,AMR,6
variants_ge_5_and_best_sample_balance,AFR,6
variants_ge_5_and_best_sample_balance,EAS,4
variants_ge_5_and_best_sample_balance,CSA,3
variants_ge_5_and_best_se_balance,CSA,8
variants_ge_5_and_best_se_balance,EAS,4
variants_ge_5_and_best_se_balance,AFR,3
variants_ge_5_and_best_se_balance,AMR,1
