restriction,estimator,n_comparisons,mean_slope,median_slope,bootstrap_ci_low,bootstrap_ci_high
all_primary,fiqt,104,0.6834354542364653,0.6343049913925966,0.5433593971677955,0.8313354627295766
all_primary,deming,104,0.6879019384683888,0.6271835557831823,0.5445731995603965,0.7129845724429014
all_primary,naive,104,0.6736441684184881,0.6238495076025421,0.5415932423517684,0.7828663905335371
variants_ge_5,fiqt,62,0.678645776229319,0.6026479962492489,0.5043935008594274,0.8223379501189477
variants_ge_5,deming,62,0.6108376099412806,0.6002549636591502,0.5096162921088676,0.6949109370771149
variants_ge_5,naive,62,0.6639591423254433,0.6000718454101107,0.49803575579338355,0.7828663905335371
variants_ge_10,fiqt,16,0.6709709859818894,0.5748819756301877,0.38427563023767064,0.9020380461525817
variants_ge_10,deming,16,0.5937394557697153,0.5572081665253494,0.42929461761137977,0.8291091223146158
variants_ge_10,naive,16,0.6333279364561839,0.5425485146748616,0.3568562363512485,0.8617175649006351
best_sample_balance_quartile,fiqt,26,0.6936855616362604,0.6668264767888958,0.5478291870439952,0.9570090269669145
best_sample_balance_quartile,deming,26,0.6376008230684393,0.656415964220608,0.43550228693488957,0.7508002657885335
best_sample_balance_quartile,naive,26,0.6895927927107114,0.6643446999704712,0.5472784447422445,0.9519586287370558
best_se_balance_quartile,fiqt,26,0.7337535442924951,0.6668264767888958,0.529296290761627,1.000839071028342
best_se_balance_quartile,deming,26,0.7229877328739585,0.6669833032377874,0.5632239488943348,0.8276096741465312
best_se_balance_quartile,naive,26,0.7283969428146602,0.6643446999704712,0.5263176626492152,0.9519586287370558
variants_ge_5_and_best_sample_balance,fiqt,19,0.7425990415806747,0.7533720334014081,0.5355914938987708,1.0488627903738035
variants_ge_5_and_best_sample_balance,deming,19,0.6732087514415377,0.6283266933661993,0.43465462662245014,0.8022824841161826
variants_ge_5_and_best_sample_balance,naive,19,0.737578196522281,0.7466477681242858,0.531473864036793,1.0450377782301328
variants_ge_5_and_best_se_balance,fiqt,16,0.7356820837107119,0.7054491294303431,0.4852907709234827,1.0488627903738035
variants_ge_5_and_best_se_balance,deming,16,0.7478010942997868,0.6352338327110292,0.5245948664586343,0.8359793743149226
variants_ge_5_and_best_se_balance,naive,16,0.7295050443629993,0.6992930517465097,0.48267842056815197,1.0450377782301328
