mesh_category_code,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C14,C15,C16,C17,C18,C19,C20,C23,C24,C25,F03
C01,10,0,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0
C04,0,112,0,20,1,4,1,0,0,34,2,11,1,22,1,10,8,2,0,0,0
C05,1,0,45,0,6,0,0,1,6,0,0,0,3,31,6,0,22,0,0,0,0
C06,0,20,0,94,0,1,0,0,0,0,0,6,1,0,1,0,6,4,0,0,0
C07,0,1,6,0,7,0,1,0,6,0,0,0,0,6,0,0,6,0,0,0,0
C08,6,4,0,1,0,75,18,0,0,0,1,0,1,0,0,0,40,25,0,0,0
C09,4,1,0,0,1,18,19,0,0,0,0,0,0,0,0,0,11,3,0,0,0
C10,0,0,1,0,0,0,0,67,3,0,3,0,3,1,4,1,7,9,1,0,32
C11,0,0,6,0,6,0,0,3,25,0,1,0,3,7,1,0,6,3,0,0,0
C12,0,34,0,0,0,0,0,0,0,60,0,0,0,4,0,11,6,6,0,0,0
C14,0,2,0,0,0,1,0,3,1,0,67,2,0,4,0,2,2,10,0,0,0
C15,0,11,0,6,0,0,0,0,0,0,2,77,11,0,0,0,20,7,0,0,0
C16,0,1,3,1,0,1,0,3,3,0,0,11,47,15,19,0,12,1,0,0,0
C17,0,22,31,0,6,0,0,1,7,4,4,0,15,102,3,2,48,1,0,0,0
C18,0,1,6,1,0,0,0,4,1,0,0,0,19,3,155,35,4,31,0,0,2
C19,0,10,0,0,0,0,0,1,0,11,2,0,0,2,35,56,4,0,0,0,0
C20,0,8,22,6,6,40,11,7,6,6,2,20,12,48,4,4,135,6,0,0,0
C23,4,2,0,4,0,25,3,9,3,6,10,7,1,1,31,0,6,113,0,0,5
C24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
C25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
F03,0,0,0,0,0,0,0,32,0,0,0,0,0,0,2,0,0,5,1,9,66
