category_1,category_2,n_category_1,n_category_2,intersection,union,jaccard,exact_duplicate
C10,F03,67,66,32,101,0.31683168316831684,False
C05,C17,45,102,31,116,0.2672413793103448,False
C17,C20,102,135,48,189,0.25396825396825395,False
C04,C12,112,60,34,138,0.2463768115942029,False
C08,C09,75,19,18,76,0.23684210526315788,False
C08,C20,75,135,40,170,0.23529411764705882,False
C07,C11,7,25,6,26,0.23076923076923078,False
C18,C19,155,56,35,176,0.19886363636363635,False
C01,C09,10,19,4,25,0.16,False
C08,C23,75,113,25,163,0.15337423312883436,False
C05,C20,45,135,22,158,0.13924050632911392,False
C25,F03,9,66,9,66,0.13636363636363635,False
C18,C23,155,113,31,237,0.1308016877637131,False
C05,C07,45,7,6,46,0.13043478260869565,False
C04,C17,112,102,22,192,0.11458333333333333,False
C16,C17,47,102,15,134,0.11194029850746269,False
C04,C06,112,94,20,186,0.10752688172043011,False
C12,C19,60,56,11,105,0.10476190476190476,False
C15,C20,77,135,20,192,0.10416666666666667,False
C16,C18,47,155,19,183,0.10382513661202186,False
C15,C16,77,47,11,113,0.09734513274336283,False
C05,C11,45,25,6,64,0.09375,False
C09,C20,19,135,11,143,0.07692307692307693,False
C01,C08,10,75,6,79,0.0759493670886076,False
C16,C20,47,135,12,170,0.07058823529411765,False
C04,C19,112,56,10,158,0.06329113924050633,False
C04,C15,112,77,11,178,0.06179775280898876,False
C14,C23,67,113,10,170,0.058823529411764705,False
C11,C17,25,102,7,120,0.058333333333333334,False
C07,C17,7,102,6,103,0.05825242718446602,False
C10,C23,67,113,9,171,0.05263157894736842,False
C07,C20,7,135,6,136,0.04411764705882353,False
C11,C16,25,47,3,69,0.043478260869565216,False
C07,C09,7,19,1,25,0.04,False
C11,C20,25,135,6,154,0.03896103896103896,False
C15,C23,77,113,7,183,0.03825136612021858,False
C06,C15,94,77,6,165,0.03636363636363636,False
C12,C23,60,113,6,167,0.03592814371257485,False
C10,C20,67,135,7,195,0.035897435897435895,False
C05,C16,45,47,3,89,0.033707865168539325,False
C10,C11,67,25,3,89,0.033707865168539325,False
C01,C23,10,113,4,119,0.03361344537815126,False
C04,C20,112,135,8,239,0.03347280334728033,False
C12,C20,60,135,6,189,0.031746031746031744,False
C05,C18,45,155,6,194,0.030927835051546393,False
C23,F03,113,66,5,174,0.028735632183908046,False
C10,C16,67,47,3,111,0.02702702702702703,False
C06,C20,94,135,6,223,0.026905829596412557,False
C12,C17,60,102,4,158,0.02531645569620253,False
C20,C23,135,113,6,242,0.024793388429752067,False
C14,C17,67,102,4,165,0.024242424242424242,False
C09,C23,19,113,3,129,0.023255813953488372,False
C10,C14,67,67,3,131,0.022900763358778626,False
C11,C23,25,113,3,135,0.022222222222222223,False
C04,C08,112,75,4,183,0.02185792349726776,False
C19,C20,56,135,4,187,0.0213903743315508,False
C06,C23,94,113,4,203,0.019704433497536946,False
C01,C05,10,45,1,54,0.018518518518518517,False
C10,C18,67,155,4,218,0.01834862385321101,False
C14,C19,67,56,2,121,0.01652892561983471,False
C24,F03,1,66,1,66,0.015151515151515152,False
C10,C24,67,1,1,67,0.014925373134328358,False
C14,C15,67,77,2,142,0.014084507042253521,False
C18,C20,155,135,4,286,0.013986013986013986,False
C17,C19,102,56,2,156,0.01282051282051282,False
C17,C18,102,155,3,254,0.011811023622047244,False
C04,C14,112,67,2,177,0.011299435028248588,False
C11,C14,25,67,1,91,0.01098901098901099,False
C14,C20,67,135,2,200,0.01,False
C18,F03,155,66,2,219,0.0091324200913242,False
C05,C10,45,67,1,111,0.009009009009009009,False
C04,C23,112,113,2,223,0.008968609865470852,False
C04,C07,112,7,1,118,0.00847457627118644,False
C08,C16,75,47,1,121,0.008264462809917356,False
C10,C19,67,56,1,122,0.00819672131147541,False
