mesh_release,indication_mesh_id,indication_mesh_term,mesh_descriptor_name,mesh_category_code,mesh_category_name,tree_numbers,n_tree_numbers_in_category,term_matches_descriptor
2026,D001850,"Bone Diseases, Infectious","Bone Diseases, Infectious",C01,Infections,C01.160,1,True
2026,D029481,"Bronchitis, Chronic","Bronchitis, Chronic",C01,Infections,C01.748.099.567,1,True
2026,D000086382,COVID-19,COVID-19,C01,Infections,C01.748.610.763.500|C01.925.705.500|C01.925.782.600.550.200.163,3,True
2026,D012220,Rhinitis,Rhinitis,C01,Infections,C01.748.674,1,True
2026,D018805,Sepsis,Sepsis,C01,Infections,C01.757,1,True
2026,D012852,Sinusitis,Sinusitis,C01,Infections,C01.748.749,1,True
2026,D001943,Breast Neoplasms,Breast Neoplasms,C04,Neoplasms,C04.588.180,1,True
2026,D002289,"Carcinoma, Non-Small-Cell Lung","Carcinoma, Non-Small-Cell Lung",C04,Neoplasms,C04.588.894.797.520.109.220.249,1,True
2026,D015179,Colorectal Neoplasms,Colorectal Neoplasms,C04,Neoplasms,C04.588.274.476.411.307,1,True
2026,D016889,Endometrial Neoplasms,Endometrial Neoplasms,C04,Neoplasms,C04.588.945.418.948.585,1,True
2026,D004938,Esophageal Neoplasms,Esophageal Neoplasms,C04,Neoplasms,C04.588.274.476.205|C04.588.443.353,2,True
2026,D005770,Gastrointestinal Neoplasms,Gastrointestinal Neoplasms,C04,Neoplasms,C04.588.274.476,1,True
2026,D005909,Glioblastoma,Glioblastoma,C04,Neoplasms,C04.557.465.625.600.380.080.335|C04.557.470.670.380.080.335|C04.557.580.625.600.380.080.335,3,True
2026,D006258,Head and Neck Neoplasms,Head and Neck Neoplasms,C04,Neoplasms,C04.588.443,1,True
2026,D019337,Hematologic Neoplasms,Hematologic Neoplasms,C04,Neoplasms,C04.588.448,1,True
2026,D006689,Hodgkin Disease,Hodgkin Disease,C04,Neoplasms,C04.557.386.355,1,True
2026,D055623,"Keratosis, Actinic","Keratosis, Actinic",C04,Neoplasms,C04.834.450,1,True
2026,D007680,Kidney Neoplasms,Kidney Neoplasms,C04,Neoplasms,C04.588.945.947.535,1,True
2026,D007889,Leiomyoma,Leiomyoma,C04,Neoplasms,C04.557.450.590.450,1,True
2026,D007890,Leiomyosarcoma,Leiomyosarcoma,C04,Neoplasms,C04.557.450.590.455|C04.557.450.795.455,2,True
2026,D015451,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Lymphocytic, Chronic, B-Cell",C04,Neoplasms,C04.557.337.428.080.125,1,True
2026,D015464,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive","Leukemia, Myelogenous, Chronic, BCR-ABL Positive",C04,Neoplasms,C04.557.337.539.250,1,True
2026,D008175,Lung Neoplasms,Lung Neoplasms,C04,Neoplasms,C04.588.894.797.520,1,True
2026,D008223,Lymphoma,Lymphoma,C04,Neoplasms,C04.557.386,1,True
2026,D008224,"Lymphoma, Follicular","Lymphoma, Follicular",C04,Neoplasms,C04.557.386.480.350,1,True
2026,D008527,Medulloblastoma,Medulloblastoma,C04,Neoplasms,C04.557.465.625.600.380.515|C04.557.465.625.600.590.500|C04.557.470.670.380.515|C04.557.470.670.590.500|C04.557.580.625.600.380.515|C04.557.580.625.600.590.500,6,True
2026,D008545,Melanoma,Melanoma,C04,Neoplasms,C04.557.465.625.650.510|C04.557.580.625.650.510|C04.557.665.510|C04.588.805.377,4,True
2026,D009101,Multiple Myeloma,Multiple Myeloma,C04,Neoplasms,C04.557.595.500,1,True
2026,D009303,Nasopharyngeal Neoplasms,Nasopharyngeal Neoplasms,C04,Neoplasms,C04.588.443.665.710.650,1,True
2026,D009369,Neoplasms,Neoplasms,C04,Neoplasms,C04,1,True
2026,D018307,"Neoplasms, Squamous Cell","Neoplasms, Squamous Cell",C04,Neoplasms,C04.557.470.700,1,True
2026,D018242,"Neuroectodermal Tumors, Primitive","Neuroectodermal Tumors, Primitive",C04,Neoplasms,C04.557.465.625.600.590|C04.557.470.670.590|C04.557.580.625.600.590,3,True
2026,D010051,Ovarian Neoplasms,Ovarian Neoplasms,C04,Neoplasms,C04.588.322.455,1,True
2026,D011085,Polycystic Ovary Syndrome,Polycystic Ovary Syndrome,C04,Neoplasms,C04.182.612.765,1,True
2026,D011087,Polycythemia Vera,Polycythemia Vera,C04,Neoplasms,C04.588.448.200.500,1,True
2026,D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Precursor Cell Lymphoblastic Leukemia-Lymphoma,C04,Neoplasms,C04.557.337.428.600,1,True
2026,D011471,Prostatic Neoplasms,Prostatic Neoplasms,C04,Neoplasms,C04.588.945.440.770,1,True
2026,D012208,Rhabdomyosarcoma,Rhabdomyosarcoma,C04,Neoplasms,C04.557.450.590.550.660|C04.557.450.795.550.660,2,True
2026,D055752,Small Cell Lung Carcinoma,Small Cell Lung Carcinoma,C04,Neoplasms,C04.588.894.797.520.109.220.624,1,True
2026,D013274,Stomach Neoplasms,Stomach Neoplasms,C04,Neoplasms,C04.588.274.476.767,1,True
2026,D013736,Testicular Neoplasms,Testicular Neoplasms,C04,Neoplasms,C04.588.322.762|C04.588.945.440.915,2,True
2026,D014523,Urethral Neoplasms,Urethral Neoplasms,C04,Neoplasms,C04.588.945.947.945,1,True
2026,D001749,Urinary Bladder Neoplasms,Urinary Bladder Neoplasms,C04,Neoplasms,C04.588.945.947.960,1,True
2026,D014565,Urogenital Neoplasms,Urogenital Neoplasms,C04,Neoplasms,C04.588.945,1,True
2026,D014983,Xeroderma Pigmentosum,Xeroderma Pigmentosum,C04,Neoplasms,C04.834.867,1,True
2026,D001171,"Arthritis, Juvenile","Arthritis, Juvenile",C05,Musculoskeletal Diseases,C05.550.114.122|C05.799.056,2,True
2026,D015535,"Arthritis, Psoriatic","Arthritis, Psoriatic",C05,Musculoskeletal Diseases,C05.116.900.853.625.800.424|C05.550.114.145|C05.550.114.865.800.424,3,True
2026,D001172,"Arthritis, Rheumatoid","Arthritis, Rheumatoid",C05,Musculoskeletal Diseases,C05.550.114.154|C05.799.114,2,True
2026,D001850,"Bone Diseases, Infectious","Bone Diseases, Infectious",C05,Musculoskeletal Diseases,C05.116.165,1,True
2026,D001851,"Bone Diseases, Metabolic","Bone Diseases, Metabolic",C05,Musculoskeletal Diseases,C05.116.198,1,True
2026,D006073,Gout,Gout,C05,Musculoskeletal Diseases,C05.550.114.423|C05.550.354.500|C05.799.414,3,True
2026,D009223,Myotonic Dystrophy,Myotonic Dystrophy,C05,Musculoskeletal Diseases,C05.651.534.500.500|C05.651.662.750,2,True
2026,D010003,Osteoarthritis,Osteoarthritis,C05,Musculoskeletal Diseases,C05.550.114.606|C05.799.613,2,True
2026,D010024,Osteoporosis,Osteoporosis,C05,Musculoskeletal Diseases,C05.116.198.579,1,True
2026,D012859,Sjogren's Syndrome,Sjogren's Syndrome,C05,Musculoskeletal Diseases,C05.550.114.154.774|C05.799.114.774,2,True
2026,D013167,"Spondylitis, Ankylosing","Spondylitis, Ankylosing",C05,Musculoskeletal Diseases,C05.116.900.853.625.800.744.500|C05.550.069.340.500|C05.550.114.865.800.744.500,3,True
2026,D002446,Celiac Disease,Celiac Disease,C06,Digestive System Diseases,C06.405.469.637.250,1,True
2026,D002761,Cholangitis,Cholangitis,C06,Digestive System Diseases,C06.130.120.200,1,True
2026,D003093,"Colitis, Ulcerative","Colitis, Ulcerative",C06,Digestive System Diseases,C06.405.205.265.231|C06.405.205.731.249|C06.405.469.158.188.231|C06.405.469.432.249,4,True
