model_id,exposure,n,n_events,n_gene_clusters,warning_messages,n_parameters,events_per_parameter,design_rank,design_full_rank,condition_number,converged,separation_warning,max_abs_beta,max_cluster_se
M1,n_ancestries_all,790,157,383,,2,78.5,2,True,5.461087483779579,True,False,1.7036327180815507,0.20887386497386215
M2,n_ancestries_all,790,157,383,,3,52.333333333333336,3,True,8.68970846271344,True,False,1.9351109994596623,0.2415611373514475
M3,n_ancestries_all,790,157,383,,4,39.25,4,True,13.530750237788185,True,False,2.015791233059209,0.24280982769321302
M4,n_ancestries_all,790,157,383,,19,8.263157894736842,19,True,39.616898014085166,True,False,1.989422746498253,0.5387965579651448
M1,n_ancestries_initial,790,157,383,,2,78.5,2,True,4.969620649577799,True,False,1.7892032628144319,0.19886135660051935
M2,n_ancestries_initial,790,157,383,,3,52.333333333333336,3,True,8.209237347370546,True,False,1.931316557334502,0.2405208570518931
M3,n_ancestries_initial,790,157,383,,4,39.25,4,True,13.349228235583967,True,False,1.992835935683481,0.23913912703769513
M4,n_ancestries_initial,790,157,383,,19,8.263157894736842,19,True,38.6383950050226,True,False,1.9844292171816136,0.5251832110396881
M1,n_ancestries_replication,790,157,383,,2,78.5,2,True,2.5270647985733463,True,False,1.449129664461112,0.14768939746825496
M2,n_ancestries_replication,790,157,383,,3,52.333333333333336,3,True,6.518029395771478,True,False,2.0563303441244822,0.2539825066006304
M3,n_ancestries_replication,790,157,383,,4,39.25,4,True,12.895292834601712,True,False,2.0567039245458374,0.2458829424084364
M4,n_ancestries_replication,790,157,383,,19,8.263157894736842,19,True,37.82513122962532,True,False,1.9841568774245197,0.5529080556309542
M1,has_replication,790,157,383,,2,78.5,2,True,2.681645523558377,True,False,1.5809098288195618,0.21273012138286013
M2,has_replication,790,157,383,,3,52.333333333333336,3,True,5.168299034752392,True,False,1.9396618429813919,0.2529142095133605
M3,has_replication,790,157,383,,4,39.25,4,True,13.717534749824726,True,False,2.0697865832405715,0.3248522161998165
M4,has_replication,790,157,383,,19,8.263157894736842,19,True,36.42320536864333,True,False,2.1068078989383485,0.5429424088067658
M1,has_african,790,157,383,,2,78.5,2,True,2.426002128610445,True,False,1.5901032607266454,0.24732161137312406
M2,has_african,790,157,383,,3,52.333333333333336,3,True,5.643048116720302,True,False,1.8978763895430146,0.2957730377715984
M3,has_african,790,157,383,,4,39.25,4,True,13.671636843912747,True,False,1.9661286351484213,0.30064402874295704
M4,has_african,790,157,383,,19,8.263157894736842,19,True,36.46740610859044,True,False,1.9221986397479613,0.5282048142875033
M1,has_east_asian,790,157,383,,2,78.5,2,True,2.618033988749895,True,False,1.5527908767694485,0.22732111324647392
M2,has_east_asian,790,157,383,,3,52.333333333333336,3,True,5.176924919589236,True,False,1.9354595883687067,0.25696372020066904
M3,has_east_asian,790,157,383,,4,39.25,4,True,12.261734674217893,True,False,2.0158998541875595,0.2554723931512338
M4,has_east_asian,790,157,383,,19,8.263157894736842,19,True,36.50629322360666,True,False,1.9848792274239795,0.5512947668863906
M1,has_south_asian,790,157,383,,2,78.5,2,True,2.514138908184039,True,False,1.5244446996007068,0.23996620214271572
M2,has_south_asian,790,157,383,,3,52.333333333333336,3,True,5.7642334342329695,True,False,1.9104194997284538,0.2388224305411745
M3,has_south_asian,790,157,383,,4,39.25,4,True,13.520396021310598,True,False,1.9919812704067676,0.23890887309067133
M4,has_south_asian,790,157,383,,19,8.263157894736842,19,True,36.22899071234524,True,False,1.986992380961487,0.5419340872803623
