variable,type,included_n,excluded_n,included_mean,excluded_mean,included_median,excluded_median,standardized_difference,test,p_value,included_proportion,excluded_proportion,odds_ratio_inclusion
n_support_rows,numeric,790,564,9.843037974683543,1.4326241134751774,4.0,1.0,0.6478376533436662,Mann-Whitney U,4.3243196045345546e-92,,,
n_assoc_sources,numeric,790,564,1.3582278481012657,1.0106382978723405,1.0,1.0,0.7894082473530697,Mann-Whitney U,2.2284893814833297e-41,,,
earliest_assoc_year,numeric,790,422,2015.6658227848102,2022.7203791469194,2017.0,2023.0,-2.16917493144508,Mann-Whitney U,1.3251593631591627e-174,,,
n_distinct_assoc_years,numeric,790,564,3.2037974683544306,0.74822695035461,2.0,1.0,1.23276710513318,Mann-Whitney U,2.2193452200717654e-141,,,
n_assoc_traits,numeric,790,564,1.4759493670886077,1.2606382978723405,1.0,1.0,0.26903531374145023,Mann-Whitney U,1.079693301915345e-05,,,
n_pairs_for_gene,numeric,790,564,4.4113924050632916,8.101063829787234,3.0,6.0,-0.660219108712386,Mann-Whitney U,6.065760446793674e-22,,,
n_support_rows_genebass,numeric,790,564,0.24936708860759493,0.0070921985815602835,0.0,0.0,0.27438721094656954,Mann-Whitney U,4.747229747479655e-09,,,
n_support_rows_intogen,numeric,790,564,0.07088607594936709,1.049645390070922,0.0,1.0,-1.2801378555784804,Mann-Whitney U,1.027538638229043e-144,,,
n_support_rows_omim,numeric,790,564,0.11139240506329114,0.3404255319148936,0.0,0.0,-0.3970385123820158,Mann-Whitney U,2.541764499208893e-18,,,
n_support_rows_otg,numeric,790,564,8.862025316455696,0.012411347517730497,3.0,0.0,0.769728728046132,Mann-Whitney U,1.8627879104435502e-232,,,
n_support_rows_piccolo,numeric,790,564,0.549367088607595,0.02304964539007092,0.0,0.0,0.33685903379737225,Mann-Whitney U,1.869971366073155e-18,,,
approval,binary,790,564,,,,,-0.03904207216814268,Fisher exact,0.49531419869782334,0.19873417721518988,0.21453900709219859,0.908059483242594
multi_indication_gene,binary,790,564,,,,,-0.1602385176433758,Fisher exact,0.004071364684172809,0.769620253164557,0.8333333333333334,0.6681318681318681
