indication_mesh_id,indication_mesh_term,n_total,n_included,n_linked,n_A,n_B,included_A,included_B,retention_rate,linkage_rate,retention_A,retention_B
D015179,Colorectal Neoplasms,38,14,14,4,34,0,14,0.3684210526315789,0.3684210526315789,0.0,0.4117647058823529
D009765,Obesity,32,31,31,4,28,4,27,0.96875,0.96875,1.0,0.9642857142857143
D001249,Asthma,30,29,29,4,26,4,25,0.9666666666666667,0.9666666666666667,1.0,0.9615384615384616
D001943,Breast Neoplasms,30,16,16,5,25,2,14,0.5333333333333333,0.5333333333333333,0.4,0.56
D002289,"Carcinoma, Non-Small-Cell Lung",29,2,2,15,14,1,1,0.06896551724137931,0.06896551724137931,0.06666666666666667,0.07142857142857142
D003093,"Colitis, Ulcerative",28,26,26,3,25,2,24,0.9285714285714286,0.9285714285714286,0.6666666666666666,0.96
D011471,Prostatic Neoplasms,28,16,16,1,27,1,15,0.5714285714285714,0.5714285714285714,1.0,0.5555555555555556
D006949,Hyperlipidemias,22,22,22,4,18,4,18,1.0,1.0,1.0,1.0
D003424,Crohn Disease,22,19,19,1,21,1,18,0.8636363636363636,0.8636363636363636,1.0,0.8571428571428571
D029424,"Pulmonary Disease, Chronic Obstructive",20,20,20,3,17,3,17,1.0,1.0,1.0,1.0
D010051,Ovarian Neoplasms,20,7,7,3,17,0,7,0.35,0.35,0.0,0.4117647058823529
D006973,Hypertension,19,19,19,8,11,8,11,1.0,1.0,1.0,1.0
D007249,Inflammation,18,18,18,1,17,1,17,1.0,1.0,1.0,1.0
D003924,"Diabetes Mellitus, Type 2",18,18,18,9,9,9,9,1.0,1.0,1.0,1.0
D004938,Esophageal Neoplasms,18,1,1,1,17,0,1,0.05555555555555555,0.05555555555555555,0.0,0.058823529411764705
D008545,Melanoma,17,4,4,2,15,0,4,0.23529411764705882,0.23529411764705882,0.0,0.26666666666666666
D008228,"Lymphoma, Non-Hodgkin",16,0,0,2,14,0,0,0.0,0.0,0.0,0.0
D008527,Medulloblastoma,16,1,1,0,16,0,1,0.0625,0.0625,,0.0625
D013274,Stomach Neoplasms,16,3,3,4,12,0,3,0.1875,0.1875,0.0,0.25
D006258,Head and Neck Neoplasms,15,2,2,1,14,0,2,0.13333333333333333,0.13333333333333333,0.0,0.14285714285714285
D001172,"Arthritis, Rheumatoid",15,15,15,3,12,3,12,1.0,1.0,1.0,1.0
D006937,Hypercholesterolemia,14,14,14,3,11,3,11,1.0,1.0,1.0,1.0
D015228,Hypertriglyceridemia,14,14,14,3,11,3,11,1.0,1.0,1.0,1.0
D055752,Small Cell Lung Carcinoma,14,1,1,4,10,0,1,0.07142857142857142,0.07142857142857142,0.0,0.1
D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,14,1,1,3,11,0,1,0.07142857142857142,0.07142857142857142,0.0,0.09090909090909091
D003920,Diabetes Mellitus,14,13,13,3,11,2,11,0.9285714285714286,0.9285714285714286,0.6666666666666666,1.0
D015451,"Leukemia, Lymphocytic, Chronic, B-Cell",13,1,1,1,12,1,0,0.07692307692307693,0.07692307692307693,1.0,0.0
D001749,Urinary Bladder Neoplasms,13,1,1,3,10,1,0,0.07692307692307693,0.07692307692307693,0.3333333333333333,0.0
D007680,Kidney Neoplasms,13,2,2,5,8,2,0,0.15384615384615385,0.15384615384615385,0.4,0.0
D011565,Psoriasis,12,12,12,3,9,3,9,1.0,1.0,1.0,1.0
D000544,Alzheimer Disease,12,11,11,1,11,1,10,0.9166666666666666,0.9166666666666666,1.0,0.9090909090909091
D005909,Glioblastoma,12,1,1,0,12,0,1,0.08333333333333333,0.08333333333333333,,0.08333333333333333
D016889,Endometrial Neoplasms,12,1,1,3,9,0,1,0.08333333333333333,0.08333333333333333,0.0,0.1111111111111111
D015470,"Leukemia, Myeloid, Acute",12,0,0,4,8,0,0,0.0,0.0,0.0,0.0
D003876,"Dermatitis, Atopic",12,12,12,2,10,2,10,1.0,1.0,1.0,1.0
D000740,Anemia,11,11,11,4,7,4,7,1.0,1.0,1.0,1.0
D009369,Neoplasms,11,11,11,1,10,1,10,1.0,1.0,1.0,1.0
D008180,"Lupus Erythematosus, Systemic",11,10,10,0,11,0,10,0.9090909090909091,0.9090909090909091,,0.9090909090909091
D008113,Liver Neoplasms,10,0,0,1,9,0,0,0.0,0.0,0.0,0.0
D013922,Thrombocytosis,10,10,10,2,8,2,8,1.0,1.0,1.0,1.0
D013921,Thrombocytopenia,10,10,10,4,6,4,6,1.0,1.0,1.0,1.0
D001327,Autoimmune Diseases,10,10,10,0,10,0,10,1.0,1.0,,1.0
D008223,Lymphoma,10,1,1,1,9,0,1,0.1,0.1,0.0,0.1111111111111111
D065631,"Rhinitis, Allergic",9,9,9,1,8,1,8,1.0,1.0,1.0,1.0
D016403,"Lymphoma, Large B-Cell, Diffuse",9,0,0,2,7,0,0,0.0,0.0,0.0,0.0
D013964,Thyroid Neoplasms,9,0,0,3,6,0,0,0.0,0.0,0.0,0.0
D015535,"Arthritis, Psoriatic",9,9,9,3,6,3,6,1.0,1.0,1.0,1.0
D050197,Atherosclerosis,9,9,9,1,8,1,8,1.0,1.0,1.0,1.0
D002583,Uterine Cervical Neoplasms,9,0,0,0,9,0,0,0.0,0.0,,0.0
D015212,Inflammatory Bowel Diseases,9,9,9,0,9,0,9,1.0,1.0,,1.0
D012174,Retinitis Pigmentosa,8,2,2,1,7,0,2,0.25,0.25,0.0,0.2857142857142857
D008175,Lung Neoplasms,8,1,1,0,8,0,1,0.125,0.125,,0.125
D006938,Hyperlipoproteinemia Type II,8,8,8,3,5,3,5,1.0,1.0,1.0,1.0
D009101,Multiple Myeloma,8,2,2,0,8,0,2,0.25,0.25,,0.25
D009103,Multiple Sclerosis,8,7,7,0,8,0,7,0.875,0.875,,0.875
D016553,"Purpura, Thrombocytopenic, Idiopathic",7,5,5,2,5,1,4,0.7142857142857143,0.7142857142857143,0.5,0.8
D004827,Epilepsy,7,2,2,5,2,2,0,0.2857142857142857,0.2857142857142857,0.4,0.0
D016393,"Lymphoma, B-Cell",7,0,0,1,6,0,0,0.0,0.0,0.0,0.0
D007676,"Kidney Failure, Chronic",7,6,6,1,6,1,5,0.8571428571428571,0.8571428571428571,1.0,0.8333333333333334
D005770,Gastrointestinal Neoplasms,7,2,2,0,7,0,2,0.2857142857142857,0.2857142857142857,,0.2857142857142857
D001008,Anxiety Disorders,7,7,7,1,6,1,6,1.0,1.0,1.0,1.0
D001281,Atrial Fibrillation,7,6,6,2,5,2,4,0.8571428571428571,0.8571428571428571,1.0,0.8
D018358,Neuroendocrine Tumors,7,0,0,4,3,0,0,0.0,0.0,0.0,0.0
D010300,Parkinson Disease,7,6,6,0,7,0,6,0.8571428571428571,0.8571428571428571,,0.8571428571428571
D012859,Sjogren's Syndrome,6,6,6,1,5,1,5,1.0,1.0,1.0,1.0
D004829,"Epilepsy, Generalized",6,2,2,6,0,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,
D007319,Sleep Initiation and Maintenance Disorders,6,6,6,3,3,3,3,1.0,1.0,1.0,1.0
D013927,Thrombosis,6,5,5,3,3,2,3,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0
D057765,Eosinophilic Esophagitis,6,6,6,2,4,2,4,1.0,1.0,1.0,1.0
D010190,Pancreatic Neoplasms,5,0,0,0,5,0,0,0.0,0.0,,0.0
D006467,Hemophilia A,5,3,3,5,0,3,0,0.6,0.6,0.6,
D018307,"Neoplasms, Squamous Cell",5,1,1,0,5,0,1,0.2,0.2,,0.2
D001714,Bipolar Disorder,5,5,5,3,2,3,2,1.0,1.0,1.0,1.0
D050171,Dyslipidemias,5,5,5,3,2,3,2,1.0,1.0,1.0,1.0
D051437,Renal Insufficiency,5,5,5,0,5,0,5,1.0,1.0,,1.0
D020246,Venous Thrombosis,5,4,4,2,3,2,2,0.8,0.8,1.0,0.6666666666666666
D003922,"Diabetes Mellitus, Type 1",5,4,5,0,5,0,4,0.8,1.0,,0.8
D015464,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",5,1,1,2,3,0,1,0.2,0.2,0.0,0.3333333333333333
D012893,Sleep Wake Disorders,5,5,5,1,4,1,4,1.0,1.0,1.0,1.0
D013789,Thalassemia,5,3,3,1,4,0,3,0.6,0.6,0.0,0.75
D006967,Hypersensitivity,5,4,4,0,5,0,4,0.8,0.8,,0.8
D009472,Neuronal Ceroid-Lipofuscinoses,5,0,0,1,4,0,0,0.0,0.0,0.0,0.0
D057180,Frontotemporal Dementia,4,2,2,0,4,0,2,0.5,0.5,,0.5
D010024,Osteoporosis,4,3,3,1,3,1,2,0.75,0.75,1.0,0.6666666666666666
D013736,Testicular Neoplasms,4,2,2,0,4,0,2,0.5,0.5,,0.5
D002318,Cardiovascular Diseases,4,4,4,0,4,0,4,1.0,1.0,,1.0
D002276,Carcinoid Tumor,4,0,0,0,4,0,0,0.0,0.0,,0.0
D012559,Schizophrenia,4,4,4,1,3,1,3,1.0,1.0,1.0,1.0
