category_code,category_name,n_total,n_included,n_linked,n_A,n_B,included_A,included_B,retention_rate,linkage_rate,retention_A,retention_B
C04,Neoplasms,520,112,112,82,438,12,100,0.2153846153846154,0.2153846153846154,0.14634146341463414,0.228310502283105
C20,Immune System Diseases,230,135,136,30,200,16,119,0.5869565217391305,0.591304347826087,0.5333333333333333,0.595
C18,Nutritional and Metabolic Diseases,204,155,156,54,150,36,119,0.7598039215686274,0.7647058823529411,0.6666666666666666,0.7933333333333333
C15,Hemic and Lymphatic Diseases,196,77,77,50,146,24,53,0.39285714285714285,0.39285714285714285,0.48,0.363013698630137
C06,Digestive System Diseases,182,94,97,22,160,7,87,0.5164835164835165,0.532967032967033,0.3181818181818182,0.54375
C23,"Pathological Conditions, Signs and Symptoms",147,113,113,25,122,19,94,0.7687074829931972,0.7687074829931972,0.76,0.7704918032786885
C17,Skin and Connective Tissue Diseases,145,102,105,26,119,16,86,0.7034482758620689,0.7241379310344828,0.6153846153846154,0.7226890756302521
C12,Urogenital Diseases,138,60,60,19,119,8,52,0.43478260869565216,0.43478260869565216,0.42105263157894735,0.4369747899159664
C10,Nervous System Diseases,127,67,67,35,92,16,51,0.5275590551181102,0.5275590551181102,0.45714285714285713,0.5543478260869565
C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",124,47,47,46,78,15,32,0.3790322580645161,0.3790322580645161,0.32608695652173914,0.41025641025641024
C08,Respiratory Tract Diseases,124,75,75,32,92,13,62,0.6048387096774194,0.6048387096774194,0.40625,0.6739130434782609
C19,Endocrine System Diseases,97,56,57,24,73,16,40,0.5773195876288659,0.5876288659793815,0.6666666666666666,0.547945205479452
C14,Cardiovascular Diseases,84,67,67,23,61,19,48,0.7976190476190477,0.7976190476190477,0.8260869565217391,0.7868852459016393
F03,Mental Disorders,72,66,66,17,55,17,49,0.9166666666666666,0.9166666666666666,1.0,0.8909090909090909
C05,Musculoskeletal Diseases,59,45,45,12,47,11,34,0.7627118644067796,0.7627118644067796,0.9166666666666666,0.723404255319149
C11,Eye Diseases,41,25,25,6,35,4,21,0.6097560975609756,0.6097560975609756,0.6666666666666666,0.6
C09,Otorhinolaryngologic Diseases,20,19,19,1,19,1,18,0.95,0.95,1.0,0.9473684210526315
C07,Stomatognathic Diseases,11,7,7,1,10,1,6,0.6363636363636364,0.6363636363636364,1.0,0.6
C01,Infections,10,10,10,2,8,2,8,1.0,1.0,1.0,1.0
C25,Chemically-Induced Disorders,9,9,9,2,7,2,7,1.0,1.0,1.0,1.0
C24,Occupational Diseases,2,1,1,1,1,1,0,0.5,0.5,1.0,0.0
