gene,chrom,gene_start_1based,gene_end_1based,gene_length_bp,window_type,flank_each_side_bp,query_start_0based,query_end_0based_exclusive,window_length_bp,gene_fraction_of_window,overlaps_extended_mhc
ABCC8,11,17414432,17498449,84018,gene_body,0,17414431,17498449,84018,1.0,False
ABCC8,11,17414432,17498449,84018,gene_body_plus_10kb,10000,17404431,17508449,104018,0.8077255859562767,False
ACE,17,61554422,61599209,44788,gene_body,0,61554421,61599209,44788,1.0,False
ACE,17,61554422,61599209,44788,gene_body_plus_10kb,10000,61544421,61609209,64788,0.6913008581836142,False
ADIPOR2,12,1797740,1897844,100105,gene_body,0,1797739,1897844,100105,1.0,False
ADIPOR2,12,1797740,1897844,100105,gene_body_plus_10kb,10000,1787739,1907844,120105,0.8334790391740561,False
ADORA1,1,203059782,203136533,76752,gene_body,0,203059781,203136533,76752,1.0,False
ADORA1,1,203059782,203136533,76752,gene_body_plus_10kb,10000,203049781,203146533,96752,0.7932859269059037,False
ADORA2B,17,15848231,15879060,30830,gene_body,0,15848230,15879060,30830,1.0,False
ADORA2B,17,15848231,15879060,30830,gene_body_plus_10kb,10000,15838230,15889060,50830,0.6065315758410388,False
ADRA1A,8,26605667,26724790,119124,gene_body,0,26605666,26724790,119124,1.0,False
ADRA1A,8,26605667,26724790,119124,gene_body_plus_10kb,10000,26595666,26734790,139124,0.8562433512549955,False
ADRA2B,2,96778707,96781984,3278,gene_body,0,96778706,96781984,3278,1.0,False
ADRA2B,2,96778707,96781984,3278,gene_body_plus_10kb,10000,96768706,96791984,23278,0.1408196580462239,False
ADRA2C,4,3768075,3770251,2177,gene_body,0,3768074,3770251,2177,1.0,False
ADRA2C,4,3768075,3770251,2177,gene_body_plus_10kb,10000,3758074,3780251,22177,0.09816476529738016,False
ADRB1,10,115803806,115806667,2862,gene_body,0,115803805,115806667,2862,1.0,False
ADRB1,10,115803806,115806667,2862,gene_body_plus_10kb,10000,115793805,115816667,22862,0.1251858979966757,False
ADRB2,5,148206156,148208196,2041,gene_body,0,148206155,148208196,2041,1.0,False
ADRB2,5,148206156,148208196,2041,gene_body_plus_10kb,10000,148196155,148218196,22041,0.09260015425797377,False
AGT,1,230838269,230850043,11775,gene_body,0,230838268,230850043,11775,1.0,False
AGT,1,230838269,230850043,11775,gene_body_plus_10kb,10000,230828268,230860043,31775,0.37057435090479934,False
ALDH2,12,112204691,112247782,43092,gene_body,0,112204690,112247782,43092,1.0,False
ALDH2,12,112204691,112247782,43092,gene_body_plus_10kb,10000,112194690,112257782,63092,0.6830025993786851,False
CACNA1C,12,2079952,2802108,722157,gene_body,0,2079951,2802108,722157,1.0,False
CACNA1C,12,2079952,2802108,722157,gene_body_plus_10kb,10000,2069951,2812108,742157,0.9730515241384236,False
CALCA,11,14988214,14993900,5687,gene_body,0,14988213,14993900,5687,1.0,False
CALCA,11,14988214,14993900,5687,gene_body_plus_10kb,10000,14978213,15003900,25687,0.22139603690582785,False
CALCR,7,93053799,93204042,150244,gene_body,0,93053798,93204042,150244,1.0,False
CALCR,7,93053799,93204042,150244,gene_body_plus_10kb,10000,93043798,93214042,170244,0.8825215572942365,False
CCKBR,11,6280966,6293357,12392,gene_body,0,6280965,6293357,12392,1.0,False
CCKBR,11,6280966,6293357,12392,gene_body_plus_10kb,10000,6270965,6303357,32392,0.3825635959496172,False
CHRM3,1,239549865,240078750,528886,gene_body,0,239549864,240078750,528886,1.0,False
CHRM3,1,239549865,240078750,528886,gene_body_plus_10kb,10000,239539864,240088750,548886,0.9635625612604439,False
CHRNA3,15,78885394,78913637,28244,gene_body,0,78885393,78913637,28244,1.0,False
CHRNA3,15,78885394,78913637,28244,gene_body_plus_10kb,10000,78875393,78923637,48244,0.5854406765608159,False
CHRNA4,20,61975420,62009753,34334,gene_body,0,61975419,62009753,34334,1.0,False
CHRNA4,20,61975420,62009753,34334,gene_body_plus_10kb,10000,61965419,62019753,54334,0.631906356977215,False
CHRNB4,15,78916461,79020096,103636,gene_body,0,78916460,79020096,103636,1.0,False
CHRNB4,15,78916461,79020096,103636,gene_body_plus_10kb,10000,78906460,79030096,123636,0.838234818337701,False
CSF2,5,131409483,131411859,2377,gene_body,0,131409482,131411859,2377,1.0,False
CSF2,5,131409483,131411859,2377,gene_body_plus_10kb,10000,131399482,131421859,22377,0.10622514188675873,False
