ti_uid,gene,pool,indication_mesh_id,indication_mesh_term,panukb_phenotype_id,comparison_population,window_type,chrom,gene_start_1based,gene_end_1based,gene_length_bp,query_start_0based,query_end_0based_exclusive,window_length_bp,gene_fraction_of_window,overlaps_extended_mhc,n_records_raw,n_biallelic_snps,n_eur_effect_complete,n_cross_effect_complete,n_cross_not_low_confidence,n_cross_maf_ge_0_01,n_duplicate_variant_rows,n_eur_p_le_1e_5_cross_usable,n_eur_gws_cross_usable,passes_raw_count_gate,raw_gate_minimum,final_ld_independent_minimum
ADIPOR2-D009765,ADIPOR2,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,12,1797740,1897844,100105,1797739,1897844,100105,1.0,False,875,782,635,360,278,242,0,0,0,False,10,10
ADIPOR2-D009765,ADIPOR2,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,12,1797740,1897844,100105,1787739,1907844,120105,0.8334790391740561,False,1081,973,798,452,348,305,0,0,0,False,10,10
CALCA-D009765,CALCA,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,11,14988214,14993900,5687,14988213,14993900,5687,1.0,False,55,51,38,22,17,3,0,0,0,False,10,10
CALCA-D009765,CALCA,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,11,14988214,14993900,5687,14978213,15003900,25687,0.22139603690582785,False,253,244,190,112,89,33,0,0,0,False,10,10
CALCR-D009765,CALCR,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,7,93053799,93204042,150244,93053798,93204042,150244,1.0,False,1400,1289,1006,624,456,371,0,0,0,False,10,10
CALCR-D009765,CALCR,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,7,93053799,93204042,150244,93043798,93214042,170244,0.8825215572942365,False,1581,1457,1137,701,513,425,0,0,0,False,10,10
DPP4-D009765,DPP4,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,2,162848751,162931052,82302,162848750,162931052,82302,1.0,False,696,654,510,236,189,187,0,0,0,False,10,10
DPP4-D009765,DPP4,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,2,162848751,162931052,82302,162838750,162941052,102302,0.8045004007741784,False,853,801,625,286,224,215,0,0,0,False,10,10
FGFR1-D009765,FGFR1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,8,38268656,38326352,57697,38268655,38326352,57697,1.0,False,475,448,359,120,73,67,0,0,0,False,10,10
FGFR1-D009765,FGFR1,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,8,38268656,38326352,57697,38258655,38336352,77697,0.7425898039821357,False,663,617,497,186,127,109,0,0,0,False,10,10
FGFR4-D009765,FGFR4,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,5,176513887,176525145,11259,176513886,176525145,11259,1.0,False,110,103,92,50,31,24,0,0,0,False,10,10
FGFR4-D009765,FGFR4,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,5,176513887,176525145,11259,176503886,176535145,31259,0.3601842669311238,False,350,326,279,168,118,104,0,0,0,False,10,10
GDF15-D009765,GDF15,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,19,18485541,18499986,14446,18485540,18499986,14446,1.0,False,142,126,122,68,57,53,0,0,0,False,10,10
GDF15-D009765,GDF15,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body_plus_10kb,19,18485541,18499986,14446,18475540,18509986,34446,0.41938106021018406,False,276,246,233,135,109,101,0,0,0,False,10,10
GFRAL-D009765,GFRAL,B,D009765,Obesity,icd10|E66|both_sexes||,MID,gene_body,6,55192267,55267291,75025,55192266,55267291,75025,1.0,False,1347,1257,1059,757,419,382,0,0,0,False,10,10
