gene,chrom,chrom_ucsc,start_1based,end_1based,start_0based,strand,gene_ids,gene_types,n_gene_records_collapsed,gencode_release,genome_build,n_canonical_chromosomes,multichromosome_symbol,coordinate_gene_symbol,coordinate_match_method,coordinate_status,window_bp,window_start_1based,window_end_1based,window_start_0based
ABCA1,9,chr9,104781006,104928155,104781005,-,ENSG00000165029.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ABCA1,exact_gene_name,MATCHED,100000,104681006,105028155,104681005
ABCC8,11,chr11,17392498,17476894,17392497,-,ENSG00000006071.16,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ABCC8,exact_gene_name,MATCHED,100000,17292498,17576894,17292497
ACE,17,chr17,63477061,63498380,63477060,+,ENSG00000159640.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ACE,exact_gene_name,MATCHED,100000,63377061,63598380,63377060
ACVR2A,2,chr2,147844517,147930826,147844516,+,ENSG00000121989.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ACVR2A,exact_gene_name,MATCHED,100000,147744517,148030826,147744516
ACVRL1,12,chr12,51906908,51923361,51906907,+,ENSG00000139567.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ACVRL1,exact_gene_name,MATCHED,100000,51806908,52023361,51806907
ADAMTS4,1,chr1,161184302,161199054,161184301,-,ENSG00000158859.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADAMTS4,exact_gene_name,MATCHED,100000,161084302,161299054,161084301
ADIPOR2,12,chr12,1688574,1788674,1688573,+,ENSG00000006831.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADIPOR2,exact_gene_name,MATCHED,100000,1588574,1888674,1588573
ADORA1,1,chr1,203090654,203167405,203090653,+,ENSG00000163485.17,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADORA1,exact_gene_name,MATCHED,100000,202990654,203267405,202990653
ADORA2B,17,chr17,15945130,15975746,15945129,+,ENSG00000170425.4,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADORA2B,exact_gene_name,MATCHED,100000,15845130,16075746,15845129
ADRA1A,8,chr8,26748150,26867278,26748149,-,ENSG00000120907.18,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADRA1A,exact_gene_name,MATCHED,100000,26648150,26967278,26648149
ADRA2B,2,chr2,96112876,96116571,96112875,-,ENSG00000274286.2,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADRA2B,exact_gene_name,MATCHED,100000,96012876,96216571,96012875
ADRA2C,4,chr4,3766348,3768526,3766347,+,ENSG00000184160.8,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADRA2C,exact_gene_name,MATCHED,100000,3666348,3868526,3666347
ADRB1,10,chr10,114043866,114046904,114043865,+,ENSG00000043591.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADRB1,exact_gene_name,MATCHED,100000,113943866,114146904,113943865
ADRB2,5,chr5,148826611,148828623,148826610,+,ENSG00000169252.6,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ADRB2,exact_gene_name,MATCHED,100000,148726611,148928623,148726610
AGT,1,chr1,230690776,230745576,230690775,-,ENSG00000135744.9,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,AGT,exact_gene_name,MATCHED,100000,230590776,230845576,230590775
ALDH2,12,chr12,111766887,111817532,111766886,+,ENSG00000111275.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ALDH2,exact_gene_name,MATCHED,100000,111666887,111917532,111666886
ALOX12,17,chr17,6996049,7010754,6996048,+,ENSG00000108839.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ALOX12,exact_gene_name,MATCHED,100000,6896049,7110754,6896048
ALOX5,10,chr10,45374176,45446119,45374175,+,ENSG00000012779.11,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ALOX5,exact_gene_name,MATCHED,100000,45274176,45546119,45274175
ANGPTL3,1,chr1,62597520,62606313,62597519,+,ENSG00000132855.5,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ANGPTL3,exact_gene_name,MATCHED,100000,62497520,62706313,62497519
ANGPTL4,19,chr19,8363289,8374370,8363288,+,ENSG00000167772.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ANGPTL4,exact_gene_name,MATCHED,100000,8263289,8474370,8263288
ANGPTL8,19,chr19,11237450,11241943,11237449,+,ENSG00000130173.13,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,ANGPTL8,exact_gene_name,MATCHED,100000,11137450,11341943,11137449
APOA1,11,chr11,116835751,116837622,116835750,-,ENSG00000118137.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,APOA1,exact_gene_name,MATCHED,100000,116735751,116937622,116735750
APOB,2,chr2,21001429,21044073,21001428,-,ENSG00000084674.15,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,APOB,exact_gene_name,MATCHED,100000,20901429,21144073,20901428
APOC3,11,chr11,116829706,116833072,116829705,+,ENSG00000110245.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,APOC3,exact_gene_name,MATCHED,100000,116729706,116933072,116729705
APOE,19,chr19,44905791,44909393,44905790,+,ENSG00000130203.10,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,APOE,exact_gene_name,MATCHED,100000,44805791,45009393,44805790
APOL1,22,chr22,36253071,36267530,36253070,+,ENSG00000100342.21,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,APOL1,exact_gene_name,MATCHED,100000,36153071,36367530,36153070
AXL,19,chr19,41219223,41261766,41219222,+,ENSG00000167601.12,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,AXL,exact_gene_name,MATCHED,100000,41119223,41361766,41119222
BCL11A,2,chr2,60450520,60554467,60450519,-,ENSG00000119866.22,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,BCL11A,exact_gene_name,MATCHED,100000,60350520,60654467,60350519
BCL2,18,chr18,63123346,63320128,63123345,-,ENSG00000171791.14,protein_coding,1,GENCODE v38,GRCh38.p13,1,False,BCL2,exact_gene_name,MATCHED,100000,63023346,63420128,63023345
