extraction_key,source,gene_trait_uid,gene,candidate_trait_key,candidate_trait_name,population,genome_build,unit_analysis_role,mixed_pool,status,cache_action,data_url,index_url,local_index_path,local_index_sha256,chrom,tabix_contig,contig_match_method,window_start_1based,window_end_1based,n_raw_records,n_parsed_records,n_malformed_records,n_unique_variant_keys,n_duplicate_variant_key_rows,minimum_position,maximum_position,n_outside_locked_window,header_method,n_columns,output_parquet,output_sidecar,output_size_bytes,output_sha256,failure_reason,completed_at_utc
gt_24b34ddef722adb5__AFR,GBMI,gt_24b34ddef722adb5,ADORA1,GBMI::Asthma,Asthma,AFR,GRCh38,PRIMARY,False,EXTRACTED,REUSED,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,input/tabix_indexes/15b3/GBMI_6ccf8d691a62_Asthma_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,f57874ae837ab86821dc50fa1627cbca730c7578b145ad5c7d3499674dccf39f,1,1,exact_contig_match,202990654,203267405,1797,1797,0,1797,0,202990850,203267344,0,tabix_metadata_header,17,intermediate/15b3/GBMI/gt_24b34ddef722adb5__AFR.parquet,intermediate/15b3/GBMI/gt_24b34ddef722adb5__AFR.json,79837,ca2570d5d3f6071d2ad09d7d1f0bdfad44f9c082ef6ce64f6796d9c961e99c33,,2026-07-24T20:26:23.752270+00:00
gt_24b34ddef722adb5__AMR,GBMI,gt_24b34ddef722adb5,ADORA1,GBMI::Asthma,Asthma,AMR,GRCh38,PRIMARY,False,EXTRACTED,REUSED,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,input/tabix_indexes/15b3/GBMI_3b43342a3123_Asthma_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,7534ec4fb9205dbbf1249a6611e42bff6996921dcc25c8973aea04a4b60aaa4c,1,1,exact_contig_match,202990654,203267405,1043,1043,0,1043,0,202990837,203267344,0,tabix_metadata_header,17,intermediate/15b3/GBMI/gt_24b34ddef722adb5__AMR.parquet,intermediate/15b3/GBMI/gt_24b34ddef722adb5__AMR.json,49046,28b13c70de8337bb7ac6fc6dc6f2c507a964ba499222279034bc178996d5652b,,2026-07-24T20:26:44.497422+00:00
gt_24b34ddef722adb5__CSA,GBMI,gt_24b34ddef722adb5,ADORA1,GBMI::Asthma,Asthma,CSA,GRCh38,PRIMARY,False,EXTRACTED,REUSED,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_sas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_sas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,input/tabix_indexes/15b3/GBMI_543e57982869_Asthma_Bothsex_sas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,dab00f1d0cd46eed5e017b3ebca90e5e0a932bd370f468831f46d418584915ec,1,1,exact_contig_match,202990654,203267405,873,873,0,873,0,202990837,203267344,0,tabix_metadata_header,17,intermediate/15b3/GBMI/gt_24b34ddef722adb5__CSA.parquet,intermediate/15b3/GBMI/gt_24b34ddef722adb5__CSA.json,41481,85bba28ac4a368f877ad1a754cd13cd26cc2fa0ebc029d63251732c1e3e21570,,2026-07-24T20:27:47.365003+00:00
gt_24b34ddef722adb5__EAS,GBMI,gt_24b34ddef722adb5,ADORA1,GBMI::Asthma,Asthma,EAS,GRCh38,PRIMARY,False,EXTRACTED,REUSED,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,input/tabix_indexes/15b3/GBMI_5984648da2e3_Asthma_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,01724c22525c9ed5482480dd9a382a3a82c33b4358e879e6b649182f844b5330,1,1,exact_contig_match,202990654,203267405,1548,1548,0,1548,0,202990837,203267344,0,tabix_metadata_header,17,intermediate/15b3/GBMI/gt_24b34ddef722adb5__EAS.parquet,intermediate/15b3/GBMI/gt_24b34ddef722adb5__EAS.json,68524,d68a408f6d8a9a398d2b2374bff8f3e62bf7c0716df6d272e476968f125f73eb,,2026-07-24T20:27:02.141567+00:00
gt_24b34ddef722adb5__EUR,GBMI,gt_24b34ddef722adb5,ADORA1,GBMI::Asthma,Asthma,EUR,GRCh38,PRIMARY,False,EXTRACTED,REUSED,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,input/tabix_indexes/15b3/GBMI_e9119daf5f1f_Asthma_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,5c83cc6efb1aea9ad99bb556da4c9255f6e7532b63f9213f035dba577c8196d2,1,1,exact_contig_match,202990654,203267405,2584,2584,0,2584,0,202990837,203267344,0,tabix_metadata_header,17,intermediate/15b3/GBMI/gt_24b34ddef722adb5__EUR.parquet,intermediate/15b3/GBMI/gt_24b34ddef722adb5__EUR.json,126403,196c5b04111f361333cff26dd0aba1aa88e68c1e8e888aebc8be8062ffc03107,,2026-07-24T20:27:20.394510+00:00
gt_d1a63f782d9591b6__AFR,GBMI,gt_d1a63f782d9591b6,ADORA2B,GBMI::Asthma,Asthma,AFR,GRCh38,PRIMARY,False,EXTRACTED,REUSED,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,input/tabix_indexes/15b3/GBMI_6ccf8d691a62_Asthma_Bothsex_afr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,f57874ae837ab86821dc50fa1627cbca730c7578b145ad5c7d3499674dccf39f,17,17,exact_contig_match,15845130,16075746,1799,1799,0,1799,0,15845198,16075518,0,tabix_metadata_header,17,intermediate/15b3/GBMI/gt_d1a63f782d9591b6__AFR.parquet,intermediate/15b3/GBMI/gt_d1a63f782d9591b6__AFR.json,79704,1da676faea6fe7111d794f4aa04edca4ddebeb5b69d41f63d4a209ffeb10d7ad,,2026-07-24T20:26:29.938397+00:00
gt_d1a63f782d9591b6__AMR,GBMI,gt_d1a63f782d9591b6,ADORA2B,GBMI::Asthma,Asthma,AMR,GRCh38,PRIMARY,False,EXTRACTED,REUSED,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,input/tabix_indexes/15b3/GBMI_3b43342a3123_Asthma_Bothsex_amr_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,7534ec4fb9205dbbf1249a6611e42bff6996921dcc25c8973aea04a4b60aaa4c,17,17,exact_contig_match,15845130,16075746,903,903,0,903,0,15845220,16075349,0,tabix_metadata_header,17,intermediate/15b3/GBMI/gt_d1a63f782d9591b6__AMR.parquet,intermediate/15b3/GBMI/gt_d1a63f782d9591b6__AMR.json,43023,834e79bcdef5436be0ed1f074c7e1f84ebc5cb2cd3b073b4d8b0e499efec2783,,2026-07-24T20:26:49.195668+00:00
gt_d1a63f782d9591b6__CSA,GBMI,gt_d1a63f782d9591b6,ADORA2B,GBMI::Asthma,Asthma,CSA,GRCh38,PRIMARY,False,EXTRACTED,REUSED,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_sas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_sas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,input/tabix_indexes/15b3/GBMI_543e57982869_Asthma_Bothsex_sas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,dab00f1d0cd46eed5e017b3ebca90e5e0a932bd370f468831f46d418584915ec,17,17,exact_contig_match,15845130,16075746,476,476,0,476,0,15845220,16075349,0,tabix_metadata_header,17,intermediate/15b3/GBMI/gt_d1a63f782d9591b6__CSA.parquet,intermediate/15b3/GBMI/gt_d1a63f782d9591b6__CSA.json,26149,33a5db27649b2cfaf3fc122d7379fae0c53180ed0e1d80a1805ef7b33ad0db6f,,2026-07-24T20:27:51.673432+00:00
gt_d1a63f782d9591b6__EAS,GBMI,gt_d1a63f782d9591b6,ADORA2B,GBMI::Asthma,Asthma,EAS,GRCh38,PRIMARY,False,EXTRACTED,REUSED,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,input/tabix_indexes/15b3/GBMI_5984648da2e3_Asthma_Bothsex_eas_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,01724c22525c9ed5482480dd9a382a3a82c33b4358e879e6b649182f844b5330,17,17,exact_contig_match,15845130,16075746,805,805,0,805,0,15845220,16075349,0,tabix_metadata_header,17,intermediate/15b3/GBMI/gt_d1a63f782d9591b6__EAS.parquet,intermediate/15b3/GBMI/gt_d1a63f782d9591b6__EAS.json,39470,f3274b735ba7e8683c5c659011fbaf60962c48fb8ae1e5ba6e0b2e3729ea712a,,2026-07-24T20:27:07.004827+00:00
gt_d1a63f782d9591b6__EUR,GBMI,gt_d1a63f782d9591b6,ADORA2B,GBMI::Asthma,Asthma,EUR,GRCh38,PRIMARY,False,EXTRACTED,REUSED,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz,https://gbmi-sumstats.s3.amazonaws.com/Asthma_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,input/tabix_indexes/15b3/GBMI_e9119daf5f1f_Asthma_Bothsex_eur_inv_var_meta_GBMI_052021_nbbkgt1.txt.gz.tbi,5c83cc6efb1aea9ad99bb556da4c9255f6e7532b63f9213f035dba577c8196d2,17,17,exact_contig_match,15845130,16075746,2166,2166,0,2166,0,15845220,16075700,0,tabix_metadata_header,17,intermediate/15b3/GBMI/gt_d1a63f782d9591b6__EUR.parquet,intermediate/15b3/GBMI/gt_d1a63f782d9591b6__EUR.json,106741,326e58c9f638ec29ed408f6c4d0fc81efdc5cfe43c0b51c3209952464300def0,,2026-07-24T20:27:27.073948+00:00
