gene,chrom,chrom_ucsc,start_1based,end_1based,start_0based,strand,gene_ids,gene_types,n_gene_records_collapsed,gencode_release,genome_build,n_canonical_chromosomes,multichromosome_symbol,coordinate_gene_symbol,coordinate_match_method,coordinate_status,window_bp,window_start_1based,window_end_1based,window_start_0based,required_for_source,source_requiring_build
ABCA1,9,chr9,107543283,107690518,107543282,-,ENSG00000165029.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ABCA1,exact_gene_name,MATCHED,100000,107443283,107790518,107443282,True,Pan-UKB
ABCC8,11,chr11,17414432,17498449,17414431,-,ENSG00000006071.7,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ABCC8,exact_gene_name,MATCHED,100000,17314432,17598449,17314431,True,Pan-UKB
ACE,17,chr17,61554422,61599209,61554421,+,ENSG00000159640.10 || ENSG00000264813.1,protein_coding,2,GENCODE v19,GRCh37.p13,1,False,ACE,exact_gene_name,MATCHED,100000,61454422,61699209,61454421,True,Pan-UKB
ACVR2A,2,chr2,148602086,148688393,148602085,+,ENSG00000121989.10,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ACVR2A,exact_gene_name,MATCHED,100000,148502086,148788393,148502085,True,Pan-UKB
ACVRL1,12,chr12,52300692,52317145,52300691,+,ENSG00000139567.8,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ACVRL1,exact_gene_name,MATCHED,100000,52200692,52417145,52200691,True,Pan-UKB
ADAMTS4,1,chr1,161154098,161168846,161154097,-,ENSG00000158859.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ADAMTS4,exact_gene_name,MATCHED,100000,161054098,161268846,161054097,True,Pan-UKB
ADIPOR2,12,chr12,1797740,1897844,1797739,+,ENSG00000006831.9,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ADIPOR2,exact_gene_name,MATCHED,100000,1697740,1997844,1697739,True,Pan-UKB
ADORA1,1,chr1,203059782,203136533,203059781,+,ENSG00000163485.11,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ADORA1,exact_gene_name,MATCHED,100000,202959782,203236533,202959781,True,Pan-UKB
ADORA2B,17,chr17,15848231,15879060,15848230,+,ENSG00000170425.3,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ADORA2B,exact_gene_name,MATCHED,100000,15748231,15979060,15748230,True,Pan-UKB
ADRA1A,8,chr8,26605667,26724790,26605666,-,ENSG00000120907.13,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ADRA1A,exact_gene_name,MATCHED,100000,26505667,26824790,26505666,True,Pan-UKB
ADRA2B,2,chr2,96778707,96781984,96778706,-,ENSG00000222040.3,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ADRA2B,exact_gene_name,MATCHED,100000,96678707,96881984,96678706,True,Pan-UKB
ADRA2C,4,chr4,3768075,3770251,3768074,+,ENSG00000184160.6,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ADRA2C,exact_gene_name,MATCHED,100000,3668075,3870251,3668074,True,Pan-UKB
ADRB1,10,chr10,115803806,115806667,115803805,+,ENSG00000043591.4,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ADRB1,exact_gene_name,MATCHED,100000,115703806,115906667,115703805,True,Pan-UKB
ADRB2,5,chr5,148206156,148208196,148206155,+,ENSG00000169252.4,protein_coding,1,GENCODE v19,GRCh37.p13,1,False,ADRB2,exact_gene_name,MATCHED,100000,148106156,148308196,148106155,True,Pan-UKB
