gene,chrom,start_1based,end_1based,strand,gene_ids,gene_types,gene_statuses,annotation_sources,n_gene_records,start_0based,coordinate_source,genome_assembly,coordinate_rule,n_pairs,n_indications,n_A,n_B
ABCC8,11,17414432,17498449,-,ENSG00000006071.7,protein_coding,KNOWN,HAVANA,1,17414431,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,2,0
ACE,17,61554422,61599209,+,ENSG00000159640.10 || ENSG00000264813.1,protein_coding,KNOWN || NOVEL,HAVANA,2,61554421,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,1,0
ADIPOR2,12,1797740,1897844,+,ENSG00000006831.9,protein_coding,KNOWN,HAVANA,1,1797739,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
ADORA1,1,203059782,203136533,+,ENSG00000163485.11,protein_coding,KNOWN,HAVANA,1,203059781,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
ADORA2B,17,15848231,15879060,+,ENSG00000170425.3,protein_coding,KNOWN,HAVANA,1,15848230,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
ADRA1A,8,26605667,26724790,-,ENSG00000120907.13,protein_coding,KNOWN,HAVANA,1,26605666,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
ADRA2B,2,96778707,96781984,-,ENSG00000222040.3,protein_coding,KNOWN,HAVANA,1,96778706,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,1,0
ADRA2C,4,3768075,3770251,+,ENSG00000184160.6,protein_coding,KNOWN,HAVANA,1,3768074,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,1,0
ADRB1,10,115803806,115806667,+,ENSG00000043591.4,protein_coding,KNOWN,HAVANA,1,115803805,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,1,0
ADRB2,5,148206156,148208196,+,ENSG00000169252.4,protein_coding,KNOWN,HAVANA,1,148206155,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,3,3,3,0
AGT,1,230838269,230850043,-,ENSG00000135744.7,protein_coding,KNOWN,HAVANA,1,230838268,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,1,0
ALDH2,12,112204691,112247782,+,ENSG00000111275.8,protein_coding,KNOWN,HAVANA,1,112204690,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,2,2,0,2
CACNA1C,12,2079952,2802108,+,ENSG00000151067.16,protein_coding,KNOWN,HAVANA,1,2079951,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,1,0
CALCA,11,14988214,14993900,-,ENSG00000110680.8,protein_coding,KNOWN,HAVANA,1,14988213,GENCODE release 19,GRCh37.p13,Outer span of all GENCODE v19 gene records sharing the same symbol on one chromosome.,1,1,0,1
